# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/bexar-county-districts/overall-score-lowest
# rows: 15 (excluding this header and the column row)
# ranking: Bexar County school districts with the lowest overall score in 2025-26
# population: 15 districts of 15 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,15,0,015905,Edgewood ISD,Bexar,D,68,7670,https://txschools.net/district/edgewood-isd-015905
2,15,0,015916,Judson ISD,Bexar,C,71,22556,https://txschools.net/district/judson-isd-015916
3,15,0,015904,Harlandale ISD,Bexar,C,74,11096,https://txschools.net/district/harlandale-isd-015904
4,15,1,015907,San Antonio ISD,Bexar,C,75,42508,https://txschools.net/district/san-antonio-isd-015907
4,15,1,015908,South San Antonio ISD,Bexar,C,75,7083,https://txschools.net/district/south-san-antonio-isd-015908
6,15,0,015911,East Central ISD,Bexar,C,76,11798,https://txschools.net/district/east-central-isd-015911
7,15,0,015915,Northside ISD,Bexar,C,78,98031,https://txschools.net/district/northside-isd-015915
8,15,0,015912,Southwest ISD,Bexar,C,79,14839,https://txschools.net/district/southwest-isd-015912
9,15,0,015910,North East ISD,Bexar,B,81,53464,https://txschools.net/district/north-east-isd-015910
10,15,0,015917,Southside ISD,Bexar,B,83,6091,https://txschools.net/district/southside-isd-015917
11,15,0,015913,Lackland ISD,Bexar,B,87,966,https://txschools.net/district/lackland-isd-015913
12,15,1,015901,Alamo Heights ISD,Bexar,B,88,4723,https://txschools.net/district/alamo-heights-isd-015901
12,15,1,015909,Somerset ISD,Bexar,B,88,4169,https://txschools.net/district/somerset-isd-015909
14,15,0,015906,Randolph Field ISD,Bexar,A,94,1402,https://txschools.net/district/randolph-field-isd-015906
15,15,0,015914,Ft Sam Houston ISD,Bexar,A,95,1543,https://txschools.net/district/ft-sam-houston-isd-015914
