# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/bowie-county-districts/overall-score-gains
# rows: 13 (excluding this header and the column row)
# ranking: Bowie County school districts with the largest overall score gains since 2021-22
# population: 13 districts of 13 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,13,0,019914,Leary ISD,Bowie,A,9,81,90,106,https://txschools.net/district/leary-isd-019914
2,13,0,019905,New Boston ISD,Bowie,B,8,79,87,1060,https://txschools.net/district/new-boston-isd-019905
3,13,1,019910,Malta ISD,Bowie,B,5,84,89,208,https://txschools.net/district/malta-isd-019910
3,13,1,019909,Simms ISD,Bowie,B,5,81,86,462,https://txschools.net/district/simms-isd-019909
5,13,0,019901,DeKalb ISD,Bowie,B,4,79,83,928,https://txschools.net/district/dekalb-isd-019901
6,13,0,019907,Texarkana ISD,Bowie,C,1,75,76,7623,https://txschools.net/district/texarkana-isd-019907
7,13,3,019902,Hooks ISD,Bowie,B,-1,83,82,883,https://txschools.net/district/hooks-isd-019902
7,13,3,019912,Pleasant Grove ISD,Bowie,A,-1,92,91,2348,https://txschools.net/district/pleasant-grove-isd-019912
7,13,3,019911,Red Lick ISD,Bowie,A,-1,91,90,515,https://txschools.net/district/red-lick-isd-019911
7,13,3,019906,Redwater ISD,Bowie,B,-1,87,86,1092,https://txschools.net/district/redwater-isd-019906
11,13,1,019908,Liberty-Eylau ISD,Bowie,D,-3,69,66,1784,https://txschools.net/district/liberty-eylau-isd-019908
11,13,1,019903,Maud ISD,Bowie,A,-3,93,90,459,https://txschools.net/district/maud-isd-019903
13,13,0,019913,Hubbard ISD,Bowie,F,-35,87,52,54,https://txschools.net/district/hubbard-isd-019913
