# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/el-paso-county-districts/overall-score-gains
# rows: 16 (excluding this header and the column row)
# ranking: El Paso County school districts with the largest overall score gains since 2021-22
# population: 16 districts of 16 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,16,0,071908,Tornillo ISD,El Paso,B,11,69,80,694,https://txschools.net/district/tornillo-isd-071908
2,16,0,071901,Clint ISD,El Paso,B,3,83,86,9829,https://txschools.net/district/clint-isd-071901
3,16,0,071903,Fabens ISD,El Paso,B,2,78,80,1812,https://txschools.net/district/fabens-isd-071903
4,16,1,071902,El Paso ISD,El Paso,B,1,81,82,46113,https://txschools.net/district/el-paso-isd-071902
4,16,1,071909,Socorro ISD,El Paso,B,1,86,87,45850,https://txschools.net/district/socorro-isd-071909
6,16,2,071804,El Paso Academy,El Paso,A,0,92,92,294,https://txschools.net/district/el-paso-academy-071804
6,16,2,071809,Vista Del Futuro Charter School,El Paso,B,0,85,85,346,https://txschools.net/district/vista-del-futuro-charter-school-071809
6,16,2,071905,Ysleta ISD,El Paso,B,0,88,88,32593,https://txschools.net/district/ysleta-isd-071905
9,16,0,071806,Harmony Public Schools - West Texas,El Paso,B,-2,90,88,6738,https://txschools.net/district/harmony-public-schools-west-texas-071806
10,16,0,071801,Burnham Wood Charter School District,El Paso,B,-4,87,83,1895,https://txschools.net/district/burnham-wood-charter-school-district-071801
11,16,0,071906,Anthony ISD,El Paso,B,-6,92,86,681,https://txschools.net/district/anthony-isd-071906
12,16,1,071907,Canutillo ISD,El Paso,C,-7,85,78,5604,https://txschools.net/district/canutillo-isd-071907
12,16,1,071904,San Elizario ISD,El Paso,C,-7,78,71,2776,https://txschools.net/district/san-elizario-isd-071904
14,16,0,071803,Triumph Public High Schools-West Texas,El Paso,B,-9,94,85,348,https://txschools.net/district/triumph-public-high-schools-west-texas-071803
15,16,0,071807,La Fe Preparatory School,El Paso,B,-11,96,85,185,https://txschools.net/district/la-fe-preparatory-school-071807
16,16,0,071810,El Paso Leadership Academy,El Paso,F,-19,77,58,665,https://txschools.net/district/el-paso-leadership-academy-071810
