# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/harris-county-districts/overall-score-declines
# rows: 51 (excluding this header and the column row)
# ranking: Harris County school districts with the largest overall score declines since 2021-22
# population: 51 districts of 57 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# population: 4 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,51,0,101814,The Varnett Public School,Harris,D,-26,90,64,1084,https://txschools.net/district/the-varnett-public-school-101814
2,51,0,101873,Yellowstone College Preparatory,Harris,D,-25,91,66,361,https://txschools.net/district/yellowstone-college-preparatory-101873
3,51,0,101872,Etoile Academy Charter School,Harris,F,-24,83,59,1064,https://txschools.net/district/etoile-academy-charter-school-101872
4,51,0,101840,Two Dimensions Preparatory Academy,Harris,D,-18,80,62,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
5,51,0,101874,Legacy School of Sport Sciences,Harris,D,-17,86,69,550,https://txschools.net/district/legacy-school-of-sport-sciences-101874
6,51,0,101855,Meyerpark Charter,Harris,C,-15,87,72,259,https://txschools.net/district/meyerpark-charter-101855
7,51,0,101859,Step Charter School,Harris,B,-13,93,80,723,https://txschools.net/district/step-charter-school-101859
8,51,1,101856,Draw Academy,Harris,C,-11,85,74,695,https://txschools.net/district/draw-academy-101856
8,51,1,101802,Ser-Ninos Charter School,Harris,C,-11,87,76,1206,https://txschools.net/district/ser-ninos-charter-school-101802
10,51,0,101925,Huffman ISD,Harris,C,-10,81,71,3698,https://txschools.net/district/huffman-isd-101925
