# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/harris-county-districts/overall-score-highest
# rows: 19 (excluding this header and the column row)
# ranking: Harris County school districts with the highest overall score in 2025-26
# population: 19 districts of 19 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,19,0,101921,Tomball ISD,Harris,A,92,23202,https://txschools.net/district/tomball-isd-101921
2,19,2,101910,Galena Park ISD,Harris,B,88,20108,https://txschools.net/district/galena-park-isd-101910
2,19,2,101914,Katy ISD,Harris,B,88,95136,https://txschools.net/district/katy-isd-101914
2,19,2,101915,Klein ISD,Harris,B,88,51154,https://txschools.net/district/klein-isd-101915
5,19,1,101907,Cypress-Fairbanks ISD,Harris,B,86,114430,https://txschools.net/district/cypress-fairbanks-isd-101907
5,19,1,101916,La Porte ISD,Harris,B,86,6900,https://txschools.net/district/la-porte-isd-101916
7,19,1,101912,Houston ISD,Harris,B,85,167793,https://txschools.net/district/houston-isd-101912
7,19,1,101920,Spring Branch ISD,Harris,B,85,31584,https://txschools.net/district/spring-branch-isd-101920
9,19,0,101917,Pasadena ISD,Harris,B,84,44046,https://txschools.net/district/pasadena-isd-101917
10,19,1,101908,Deer Park ISD,Harris,B,83,12001,https://txschools.net/district/deer-park-isd-101908
10,19,1,101913,Humble ISD,Harris,B,83,47734,https://txschools.net/district/humble-isd-101913
12,19,1,101905,Channelview ISD,Harris,B,81,9086,https://txschools.net/district/channelview-isd-101905
12,19,1,101906,Crosby ISD,Harris,B,81,7183,https://txschools.net/district/crosby-isd-101906
14,19,0,101911,Goose Creek CISD,Harris,B,80,23308,https://txschools.net/district/goose-creek-cisd-101911
15,19,1,101902,Aldine ISD,Harris,C,79,52115,https://txschools.net/district/aldine-isd-101902
15,19,1,101924,Sheldon ISD,Harris,C,79,10576,https://txschools.net/district/sheldon-isd-101924
17,19,0,101903,Alief ISD,Harris,C,78,36376,https://txschools.net/district/alief-isd-101903
18,19,0,101919,Spring ISD,Harris,C,76,32328,https://txschools.net/district/spring-isd-101919
19,19,0,101925,Huffman ISD,Harris,C,71,3698,https://txschools.net/district/huffman-isd-101925
