# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/harris-county-districts/overall-score-lowest
# rows: 55 (excluding this header and the column row)
# ranking: Harris County school districts with the lowest overall score in 2025-26
# population: 55 districts of 57 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,55,0,101881,Up Excellence Academy,Harris,F,47,116,https://txschools.net/district/up-excellence-academy-101881
2,55,1,101875,Bloom Academy Charter School,Harris,F,59,364,https://txschools.net/district/bloom-academy-charter-school-101875
2,55,1,101872,Etoile Academy Charter School,Harris,F,59,1064,https://txschools.net/district/etoile-academy-charter-school-101872
4,55,0,101840,Two Dimensions Preparatory Academy,Harris,D,62,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
5,55,0,101814,The Varnett Public School,Harris,D,64,1084,https://txschools.net/district/the-varnett-public-school-101814
6,55,0,101873,Yellowstone College Preparatory,Harris,D,66,361,https://txschools.net/district/yellowstone-college-preparatory-101873
7,55,0,101874,Legacy School of Sport Sciences,Harris,D,69,550,https://txschools.net/district/legacy-school-of-sport-sciences-101874
8,55,0,101925,Huffman ISD,Harris,C,71,3698,https://txschools.net/district/huffman-isd-101925
9,55,0,101855,Meyerpark Charter,Harris,C,72,259,https://txschools.net/district/meyerpark-charter-101855
10,55,0,101856,Draw Academy,Harris,C,74,695,https://txschools.net/district/draw-academy-101856
11,55,0,101804,George I Sanchez Charter,Harris,C,75,941,https://txschools.net/district/george-i-sanchez-charter-101804
12,55,1,101802,Ser-Ninos Charter School,Harris,C,76,1206,https://txschools.net/district/ser-ninos-charter-school-101802
12,55,1,101919,Spring ISD,Harris,C,76,32328,https://txschools.net/district/spring-isd-101919
14,55,0,101877,Elevate Collegiate Charter School,Harris,C,77,224,https://txschools.net/district/elevate-collegiate-charter-school-101877
15,55,0,101903,Alief ISD,Harris,C,78,36376,https://txschools.net/district/alief-isd-101903
16,55,2,101902,Aldine ISD,Harris,C,79,52115,https://txschools.net/district/aldine-isd-101902
16,55,2,101847,Beatrice Mayes Institute Charter School,Harris,C,79,628,https://txschools.net/district/beatrice-mayes-institute-charter-school-101847
16,55,2,101924,Sheldon ISD,Harris,C,79,10576,https://txschools.net/district/sheldon-isd-101924
19,55,4,101810,Academy of Accelerated Learning Inc,Harris,B,80,711,https://txschools.net/district/academy-of-accelerated-learning-inc-101810
19,55,4,101842,Comquest Academy,Harris,B,80,35,https://txschools.net/district/comquest-academy-101842
19,55,4,101911,Goose Creek CISD,Harris,B,80,23308,https://txschools.net/district/goose-creek-cisd-101911
19,55,4,101859,Step Charter School,Harris,B,80,723,https://txschools.net/district/step-charter-school-101859
19,55,4,101868,The Pro-Vision Academy,Harris,B,80,239,https://txschools.net/district/the-pro-vision-academy-101868
24,55,3,101905,Channelview ISD,Harris,B,81,9086,https://txschools.net/district/channelview-isd-101905
24,55,3,101906,Crosby ISD,Harris,B,81,7183,https://txschools.net/district/crosby-isd-101906
24,55,3,101838,Southwest Public Schools,Harris,B,81,1727,https://txschools.net/district/southwest-public-schools-101838
24,55,3,101864,The Lawson Academy,Harris,B,81,317,https://txschools.net/district/the-lawson-academy-101864
28,55,0,101871,A' Unlimited Potential,Harris,B,82,190,https://txschools.net/district/a-unlimited-potential-101871
29,55,3,101803,Aristoi Classical Academy,Harris,B,83,1713,https://txschools.net/district/aristoi-classical-academy-101803
29,55,3,101908,Deer Park ISD,Harris,B,83,12001,https://txschools.net/district/deer-park-isd-101908
29,55,3,101913,Humble ISD,Harris,B,83,47734,https://txschools.net/district/humble-isd-101913
29,55,3,101861,The Rhodes School for Performing Arts,Harris,B,83,405,https://txschools.net/district/the-rhodes-school-for-performing-arts-101861
33,55,2,101815,Alief Montessori Community School,Harris,B,84,416,https://txschools.net/district/alief-montessori-community-school-101815
33,55,2,101870,Beta Academy,Harris,B,84,1674,https://txschools.net/district/beta-academy-101870
33,55,2,101917,Pasadena ISD,Harris,B,84,44046,https://txschools.net/district/pasadena-isd-101917
36,55,1,101912,Houston ISD,Harris,B,85,167793,https://txschools.net/district/houston-isd-101912
36,55,1,101920,Spring Branch ISD,Harris,B,85,31584,https://txschools.net/district/spring-branch-isd-101920
38,55,2,101853,Bakerripley Community Schools,Harris,B,86,1908,https://txschools.net/district/bakerripley-community-schools-101853
38,55,2,101907,Cypress-Fairbanks ISD,Harris,B,86,114430,https://txschools.net/district/cypress-fairbanks-isd-101907
38,55,2,101916,La Porte ISD,Harris,B,86,6900,https://txschools.net/district/la-porte-isd-101916
41,55,2,101858,Harmony Public Schools - Houston North,Harris,B,87,8807,https://txschools.net/district/harmony-public-schools-houston-north-101858
41,55,2,101828,Houston Gateway Academy Inc,Harris,B,87,2364,https://txschools.net/district/houston-gateway-academy-inc-101828
41,55,2,101806,Raul Yzaguirre Schools for Success,Harris,B,87,2180,https://txschools.net/district/raul-yzaguirre-schools-for-success-101806
44,55,2,101910,Galena Park ISD,Harris,B,88,20108,https://txschools.net/district/galena-park-isd-101910
44,55,2,101914,Katy ISD,Harris,B,88,95136,https://txschools.net/district/katy-isd-101914
44,55,2,101915,Klein ISD,Harris,B,88,51154,https://txschools.net/district/klein-isd-101915
47,55,0,101845,Yes Prep Public Schools Inc,Harris,B,89,20806,https://txschools.net/district/yes-prep-public-schools-inc-101845
48,55,3,101819,Amigos Por Vida-Friends for Life Pub Chtr Sch,Harris,A,90,802,https://txschools.net/district/amigos-por-vida-friends-for-life-pub-chtr-sch-101819
48,55,3,101837,Calvin Nelms Charter Schools,Harris,A,90,414,https://txschools.net/district/calvin-nelms-charter-schools-101837
48,55,3,101846,Harmony Public Schools - Houston South,Harris,A,90,4100,https://txschools.net/district/harmony-public-schools-houston-south-101846
48,55,3,101878,Houston Classical Charter School,Harris,A,90,430,https://txschools.net/district/houston-classical-charter-school-101878
52,55,1,101849,Accelerated Intermediate Academy,Harris,A,91,166,https://txschools.net/district/accelerated-intermediate-academy-101849
52,55,1,101821,Houston Heights High School,Harris,A,91,152,https://txschools.net/district/houston-heights-high-school-101821
54,55,0,101921,Tomball ISD,Harris,A,92,23202,https://txschools.net/district/tomball-isd-101921
55,55,0,101862,Harmony Public Schools - Houston West,Harris,A,94,6906,https://txschools.net/district/harmony-public-schools-houston-west-101862
