# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/hidalgo-county-districts/overall-score-gains
# rows: 14 (excluding this header and the column row)
# ranking: Hidalgo County school districts with the largest overall score gains since 2021-22
# population: 14 districts of 15 districts are ranked here.
# population: 1 has no figure at the start of the window and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,14,0,108914,La Villa ISD,Hidalgo,B,12,68,80,459,https://txschools.net/district/la-villa-isd-108914
2,14,0,108902,Donna ISD,Hidalgo,B,3,78,81,12436,https://txschools.net/district/donna-isd-108902
3,14,0,108913,Weslaco ISD,Hidalgo,B,2,85,87,16012,https://txschools.net/district/weslaco-isd-108913
4,14,3,108905,Hidalgo ISD,Hidalgo,B,1,81,82,2788,https://txschools.net/district/hidalgo-isd-108905
4,14,3,108906,McAllen ISD,Hidalgo,B,1,88,89,19405,https://txschools.net/district/mcallen-isd-108906
4,14,3,108908,Mission CISD,Hidalgo,B,1,82,83,13186,https://txschools.net/district/mission-cisd-108908
4,14,3,108909,Pharr-San Juan-Alamo ISD,Hidalgo,A,1,89,90,29043,https://txschools.net/district/pharr-san-juan-alamo-isd-108909
8,14,0,108907,Mercedes ISD,Hidalgo,C,-1,74,73,3940,https://txschools.net/district/mercedes-isd-108907
9,14,1,108904,Edinburg CISD,Hidalgo,B,-2,87,85,32466,https://txschools.net/district/edinburg-cisd-108904
9,14,1,108916,Valley View ISD,Hidalgo,A,-2,93,91,3304,https://txschools.net/district/valley-view-isd-108916
11,14,1,108912,La Joya ISD,Hidalgo,B,-3,83,80,21606,https://txschools.net/district/la-joya-isd-108912
11,14,1,108910,Progreso ISD,Hidalgo,B,-3,83,80,1291,https://txschools.net/district/progreso-isd-108910
13,14,0,108911,Sharyland ISD,Hidalgo,B,-5,93,88,9653,https://txschools.net/district/sharyland-isd-108911
14,14,0,108903,Edcouch-Elsa ISD,Hidalgo,D,-9,78,69,4162,https://txschools.net/district/edcouch-elsa-isd-108903
