# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/lubbock-county-districts/overall-score-gains
# rows: 12 (excluding this header and the column row)
# ranking: Lubbock County school districts with the largest overall score gains since 2021-22
# population: 12 districts of 12 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,12,0,152806,Betty M Condra School for Education Innovation,Lubbock,D,10,59,69,168,https://txschools.net/district/betty-m-condra-school-for-education-innovation-152806
2,12,0,152908,Roosevelt ISD,Lubbock,B,7,76,83,1115,https://txschools.net/district/roosevelt-isd-152908
3,12,0,152901,Lubbock ISD,Lubbock,B,5,77,82,23029,https://txschools.net/district/lubbock-isd-152901
4,12,0,152902,New Deal ISD,Lubbock,B,3,84,87,697,https://txschools.net/district/new-deal-isd-152902
5,12,0,152802,Rise Academy,Lubbock,A,0,93,93,287,https://txschools.net/district/rise-academy-152802
6,12,0,152910,Idalou ISD,Lubbock,A,-1,91,90,1036,https://txschools.net/district/idalou-isd-152910
7,12,2,152906,Lubbock-Cooper ISD,Lubbock,B,-3,90,87,8094,https://txschools.net/district/lubbock-cooper-isd-152906
7,12,2,152909,Shallowater ISD,Lubbock,B,-3,92,89,1714,https://txschools.net/district/shallowater-isd-152909
7,12,2,152903,Slaton ISD,Lubbock,C,-3,77,74,1308,https://txschools.net/district/slaton-isd-152903
10,12,2,152907,Frenship ISD,Lubbock,C,-8,85,77,12042,https://txschools.net/district/frenship-isd-152907
10,12,2,152504,Texas Tech University K-12,Lubbock,B,-8,93,85,829,https://txschools.net/district/texas-tech-university-k-12-152504
10,12,2,152803,Triumph Public High Schools-Lubbock,Lubbock,C,-8,80,72,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
