# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/lubbock-county-districts/overall-score-highest
# rows: 12 (excluding this header and the column row)
# ranking: Lubbock County school districts with the highest overall score in 2025-26
# population: 12 districts of 12 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,12,0,152802,Rise Academy,Lubbock,A,93,287,https://txschools.net/district/rise-academy-152802
2,12,0,152910,Idalou ISD,Lubbock,A,90,1036,https://txschools.net/district/idalou-isd-152910
3,12,0,152909,Shallowater ISD,Lubbock,B,89,1714,https://txschools.net/district/shallowater-isd-152909
4,12,1,152906,Lubbock-Cooper ISD,Lubbock,B,87,8094,https://txschools.net/district/lubbock-cooper-isd-152906
4,12,1,152902,New Deal ISD,Lubbock,B,87,697,https://txschools.net/district/new-deal-isd-152902
6,12,0,152504,Texas Tech University K-12,Lubbock,B,85,829,https://txschools.net/district/texas-tech-university-k-12-152504
7,12,0,152908,Roosevelt ISD,Lubbock,B,83,1115,https://txschools.net/district/roosevelt-isd-152908
8,12,0,152901,Lubbock ISD,Lubbock,B,82,23029,https://txschools.net/district/lubbock-isd-152901
9,12,0,152907,Frenship ISD,Lubbock,C,77,12042,https://txschools.net/district/frenship-isd-152907
10,12,0,152903,Slaton ISD,Lubbock,C,74,1308,https://txschools.net/district/slaton-isd-152903
11,12,0,152803,Triumph Public High Schools-Lubbock,Lubbock,C,72,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
12,12,0,152806,Betty M Condra School for Education Innovation,Lubbock,D,69,168,https://txschools.net/district/betty-m-condra-school-for-education-innovation-152806
