# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/nueces-county-districts/overall-score-highest
# rows: 12 (excluding this header and the column row)
# ranking: Nueces County school districts with the highest overall score in 2025-26
# population: 12 districts of 12 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,12,0,178902,Bishop CISD,Nueces,A,91,1427,https://txschools.net/district/bishop-cisd-178902
2,12,0,178906,London ISD,Nueces,A,90,1922,https://txschools.net/district/london-isd-178906
3,12,0,178914,Flour Bluff ISD,Nueces,B,88,5375,https://txschools.net/district/flour-bluff-isd-178914
4,12,1,178901,Agua Dulce ISD,Nueces,B,86,387,https://txschools.net/district/agua-dulce-isd-178901
4,12,1,178908,Port Aransas ISD,Nueces,B,86,577,https://txschools.net/district/port-aransas-isd-178908
6,12,0,178903,Calallen ISD,Nueces,B,84,3677,https://txschools.net/district/calallen-isd-178903
7,12,1,178913,Banquete ISD,Nueces,B,83,724,https://txschools.net/district/banquete-isd-178913
7,12,1,178904,Corpus Christi ISD,Nueces,B,83,31976,https://txschools.net/district/corpus-christi-isd-178904
9,12,0,178905,Driscoll ISD,Nueces,B,82,1030,https://txschools.net/district/driscoll-isd-178905
10,12,0,178912,Tuloso-Midway ISD,Nueces,B,81,3659,https://txschools.net/district/tuloso-midway-isd-178912
11,12,1,178909,Robstown ISD,Nueces,D,69,2478,https://txschools.net/district/robstown-isd-178909
11,12,1,178915,West Oso ISD,Nueces,D,69,1777,https://txschools.net/district/west-oso-isd-178915
