# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-02-districts/overall-score-declines
# rows: 46 (excluding this header and the column row)
# ranking: Region 02: Corpus Christi school districts with the largest overall score declines since 2021-22
# population: 46 districts of 46 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,46,0,125906,La Gloria ISD,Jim Wells,D,-29,93,64,126,https://txschools.net/district/la-gloria-isd-125906
2,46,0,178807,Corpus Christi Montessori School,Nueces,F,-26,75,49,132,https://txschools.net/district/corpus-christi-montessori-school-178807
3,46,0,024901,Brooks County ISD,Brooks,D,-16,79,63,1074,https://txschools.net/district/brooks-county-isd-024901
4,46,0,013902,Pawnee ISD,Bee,C,-12,90,78,252,https://txschools.net/district/pawnee-isd-013902
5,46,0,178915,West Oso ISD,Nueces,D,-10,79,69,1777,https://txschools.net/district/west-oso-isd-178915
6,46,0,178801,Dr M L Garza-Gonzalez Charter School,Nueces,B,-8,88,80,154,https://txschools.net/district/dr-m-l-garza-gonzalez-charter-school-178801
7,46,0,178905,Driscoll ISD,Nueces,B,-7,89,82,1030,https://txschools.net/district/driscoll-isd-178905
8,46,1,178808,Seashore Charter Schools,Nueces,B,-5,85,80,422,https://txschools.net/district/seashore-charter-schools-178808
8,46,1,013905,Skidmore-Tynan ISD,Bee,B,-5,89,84,769,https://txschools.net/district/skidmore-tynan-isd-013905
10,46,3,178913,Banquete ISD,Nueces,B,-4,87,83,724,https://txschools.net/district/banquete-isd-178913
10,46,3,131001,Kenedy County Wide CSD,Kenedy,B,-4,89,85,123,https://txschools.net/district/kenedy-county-wide-csd-131001
10,46,3,178908,Port Aransas ISD,Nueces,B,-4,90,86,577,https://txschools.net/district/port-aransas-isd-178908
10,46,3,013801,St Mary's Academy Charter School,Bee,C,-4,81,77,329,https://txschools.net/district/st-mary-s-academy-charter-school-013801
14,46,5,066901,Benavides ISD,Duval,D,-3,72,69,352,https://txschools.net/district/benavides-isd-066901
14,46,5,178906,London ISD,Nueces,A,-3,93,90,1922,https://txschools.net/district/london-isd-178906
14,46,5,066005,Ramirez CSD,Duval,D,-3,72,69,24,https://txschools.net/district/ramirez-csd-066005
14,46,5,205906,Sinton ISD,San Patricio,B,-3,83,80,1959,https://txschools.net/district/sinton-isd-205906
14,46,5,149902,Three Rivers ISD,Live Oak,C,-3,74,71,541,https://txschools.net/district/three-rivers-isd-149902
14,46,5,178912,Tuloso-Midway ISD,Nueces,B,-3,84,81,3659,https://txschools.net/district/tuloso-midway-isd-178912
