# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-03-districts/overall-score-lowest
# rows: 37 (excluding this header and the column row)
# ranking: Region 03: Victoria school districts with the lowest overall score in 2025-26
# population: 37 districts of 37 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,37,0,241904,Wharton ISD,Wharton,F,58,1707,https://txschools.net/district/wharton-isd-241904
2,37,0,143904,Vysehrad ISD,Lavaca,D,63,46,https://txschools.net/district/vysehrad-isd-143904
3,37,0,235901,Bloomington ISD,Victoria,D,68,705,https://txschools.net/district/bloomington-isd-235901
4,37,0,196902,Woodsboro ISD,Refugio,C,70,383,https://txschools.net/district/woodsboro-isd-196902
5,37,1,196901,Austwell-Tivoli ISD,Refugio,C,73,122,https://txschools.net/district/austwell-tivoli-isd-196901
5,37,1,128903,Runge ISD,Karnes,C,73,172,https://txschools.net/district/runge-isd-128903
7,37,1,158904,Matagorda ISD,Matagorda,C,75,118,https://txschools.net/district/matagorda-isd-158904
7,37,1,143905,Sweet Home ISD,Lavaca,C,75,164,https://txschools.net/district/sweet-home-isd-143905
9,37,2,062901,Cuero ISD,Dewitt,C,76,1802,https://txschools.net/district/cuero-isd-062901
9,37,2,045903,Rice CISD,Colorado,C,76,1287,https://txschools.net/district/rice-cisd-045903
9,37,2,158906,Van Vleck ISD,Matagorda,C,76,1048,https://txschools.net/district/van-vleck-isd-158906
12,37,1,241901,Boling ISD,Wharton,C,78,1143,https://txschools.net/district/boling-isd-241901
12,37,1,235902,Victoria ISD,Victoria,C,78,12534,https://txschools.net/district/victoria-isd-235902
14,37,0,158901,Bay City ISD,Matagorda,C,79,3312,https://txschools.net/district/bay-city-isd-158901
15,37,1,241903,El Campo ISD,Wharton,B,81,3206,https://txschools.net/district/el-campo-isd-241903
15,37,1,128902,Kenedy ISD,Karnes,B,81,733,https://txschools.net/district/kenedy-isd-128902
17,37,2,088902,Goliad ISD,Goliad,B,82,1191,https://txschools.net/district/goliad-isd-088902
17,37,2,158905,Palacios ISD,Matagorda,B,82,1266,https://txschools.net/district/palacios-isd-158905
17,37,2,062904,Yorktown ISD,Dewitt,B,82,552,https://txschools.net/district/yorktown-isd-062904
20,37,3,029901,Calhoun County ISD,Calhoun,B,83,3381,https://txschools.net/district/calhoun-county-isd-029901
20,37,3,120902,Ganado ISD,Jackson,B,83,720,https://txschools.net/district/ganado-isd-120902
20,37,3,196903,Refugio ISD,Refugio,B,83,591,https://txschools.net/district/refugio-isd-196903
20,37,3,062905,Westhoff ISD,Dewitt,B,83,100,https://txschools.net/district/westhoff-isd-062905
24,37,2,143902,Moulton ISD,Lavaca,B,84,258,https://txschools.net/district/moulton-isd-143902
24,37,2,062902,Nordheim ISD,Dewitt,B,84,111,https://txschools.net/district/nordheim-isd-062902
24,37,2,062903,Yoakum ISD,Dewitt,B,84,1409,https://txschools.net/district/yoakum-isd-062903
27,37,2,241902,East Bernard ISD,Wharton,B,85,987,https://txschools.net/district/east-bernard-isd-241902
27,37,2,120901,Edna ISD,Jackson,B,85,1538,https://txschools.net/district/edna-isd-120901
27,37,2,062906,Meyersville ISD,Dewitt,B,85,167,https://txschools.net/district/meyersville-isd-062906
30,37,4,143906,Ezzell ISD,Lavaca,B,89,124,https://txschools.net/district/ezzell-isd-143906
30,37,4,143901,Hallettsville ISD,Lavaca,B,89,1129,https://txschools.net/district/hallettsville-isd-143901
30,37,4,120905,Industrial ISD,Jackson,B,89,1153,https://txschools.net/district/industrial-isd-120905
30,37,4,241906,Louise ISD,Wharton,B,89,510,https://txschools.net/district/louise-isd-241906
30,37,4,235904,Nursery ISD,Victoria,B,89,179,https://txschools.net/district/nursery-isd-235904
35,37,1,158902,Tidehaven ISD,Matagorda,A,91,1038,https://txschools.net/district/tidehaven-isd-158902
35,37,1,045905,Weimar ISD,Colorado,A,91,735,https://txschools.net/district/weimar-isd-045905
37,37,0,143903,Shiner ISD,Lavaca,A,93,700,https://txschools.net/district/shiner-isd-143903
