# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-04-districts/overall-score-declines
# rows: 46 (excluding this header and the column row)
# ranking: Region 04: Houston school districts with the largest overall score declines since 2021-22
# population: 46 districts of 46 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,46,0,101925,Huffman ISD,Harris,C,-10,81,71,3698,https://txschools.net/district/huffman-isd-101925
2,46,0,237905,Royal ISD,Waller,D,-7,71,64,3086,https://txschools.net/district/royal-isd-237905
3,46,0,146907,Tarkington ISD,Liberty,C,-6,79,73,1864,https://txschools.net/district/tarkington-isd-146907
4,46,0,084908,Hitchcock ISD,Galveston,D,-5,72,67,1937,https://txschools.net/district/hitchcock-isd-084908
5,46,0,020902,Angleton ISD,Brazoria,B,-4,88,84,7241,https://txschools.net/district/angleton-isd-020902
6,46,1,020910,Damon ISD,Brazoria,B,-2,90,88,87,https://txschools.net/district/damon-isd-020910
6,46,1,101911,Goose Creek CISD,Harris,B,-2,82,80,23308,https://txschools.net/district/goose-creek-cisd-101911
8,46,1,101924,Sheldon ISD,Harris,C,-1,80,79,10576,https://txschools.net/district/sheldon-isd-101924
8,46,1,020906,Sweeny ISD,Brazoria,C,-1,80,79,1691,https://txschools.net/district/sweeny-isd-020906
10,46,3,146901,Cleveland ISD,Liberty,D,0,65,65,12648,https://txschools.net/district/cleveland-isd-146901
10,46,3,101908,Deer Park ISD,Harris,B,0,83,83,12001,https://txschools.net/district/deer-park-isd-101908
10,46,3,079907,Fort Bend ISD,Fort Bend,B,0,82,82,77929,https://txschools.net/district/fort-bend-isd-079907
10,46,3,084911,Friendswood ISD,Galveston,A,0,92,92,6116,https://txschools.net/district/friendswood-isd-084911
14,46,9,020905,Brazosport ISD,Brazoria,B,1,82,83,10843,https://txschools.net/district/brazosport-isd-020905
14,46,9,101905,Channelview ISD,Harris,B,1,80,81,9086,https://txschools.net/district/channelview-isd-101905
14,46,9,020907,Columbia-Brazoria ISD,Brazoria,C,1,76,77,2942,https://txschools.net/district/columbia-brazoria-isd-020907
14,46,9,101906,Crosby ISD,Harris,B,1,80,81,7183,https://txschools.net/district/crosby-isd-101906
14,46,9,101907,Cypress-Fairbanks ISD,Harris,B,1,85,86,114430,https://txschools.net/district/cypress-fairbanks-isd-101907
14,46,9,101914,Katy ISD,Harris,B,1,87,88,95136,https://txschools.net/district/katy-isd-101914
14,46,9,079906,Needville ISD,Fort Bend,A,1,89,90,3673,https://txschools.net/district/needville-isd-079906
14,46,9,101917,Pasadena ISD,Harris,B,1,83,84,44046,https://txschools.net/district/pasadena-isd-101917
14,46,9,020908,Pearland ISD,Brazoria,A,1,90,91,20555,https://txschools.net/district/pearland-isd-020908
14,46,9,101921,Tomball ISD,Harris,A,1,91,92,23202,https://txschools.net/district/tomball-isd-101921
24,46,3,036902,Barbers Hill ISD,Chambers,A,2,91,93,8069,https://txschools.net/district/barbers-hill-isd-036902
24,46,3,101910,Galena Park ISD,Harris,B,2,86,88,20108,https://txschools.net/district/galena-park-isd-101910
24,46,3,079901,Lamar CISD,Fort Bend,B,2,85,87,48645,https://txschools.net/district/lamar-cisd-079901
24,46,3,101919,Spring ISD,Harris,C,2,74,76,32328,https://txschools.net/district/spring-isd-101919
28,46,0,101903,Alief ISD,Harris,C,3,75,78,36376,https://txschools.net/district/alief-isd-101903
