# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-04-districts/overall-score-gains
# rows: 82 (excluding this header and the column row)
# ranking: Region 04: Houston school districts with the largest overall score gains since 2021-22
# population: 82 districts of 88 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# population: 4 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,82,0,101868,The Pro-Vision Academy,Harris,B,21,59,80,239,https://txschools.net/district/the-pro-vision-academy-101868
2,82,0,101875,Bloom Academy Charter School,Harris,F,19,40,59,364,https://txschools.net/district/bloom-academy-charter-school-101875
3,82,0,237902,Hempstead ISD,Waller,C,18,59,77,1563,https://txschools.net/district/hempstead-isd-237902
4,82,0,123803,Tekoa Academy of Accelerated Studies STEM School,Jefferson,A,14,82,96,395,https://txschools.net/district/tekoa-academy-of-accelerated-studies-stem-school-123803
5,82,0,146902,Dayton ISD,Liberty,C,13,65,78,5777,https://txschools.net/district/dayton-isd-146902
6,82,1,101902,Aldine ISD,Harris,C,10,69,79,52115,https://txschools.net/district/aldine-isd-101902
6,82,1,084901,Dickinson ISD,Galveston,B,10,78,88,12569,https://txschools.net/district/dickinson-isd-084901
8,82,0,101821,Houston Heights High School,Harris,A,9,82,91,152,https://txschools.net/district/houston-heights-high-school-101821
9,82,0,020904,Danbury ISD,Brazoria,B,8,81,89,645,https://txschools.net/district/danbury-isd-020904
10,82,1,084902,Galveston ISD,Galveston,B,7,73,80,6664,https://txschools.net/district/galveston-isd-084902
10,82,1,101915,Klein ISD,Harris,B,7,81,88,51154,https://txschools.net/district/klein-isd-101915
12,82,7,101842,Comquest Academy,Harris,B,6,74,80,35,https://txschools.net/district/comquest-academy-101842
12,82,7,101912,Houston ISD,Harris,B,6,79,85,167793,https://txschools.net/district/houston-isd-101912
12,82,7,101916,La Porte ISD,Harris,B,6,80,86,6900,https://txschools.net/district/la-porte-isd-101916
12,82,7,084909,Santa Fe ISD,Galveston,B,6,75,81,4326,https://txschools.net/district/santa-fe-isd-084909
12,82,7,101920,Spring Branch ISD,Harris,B,6,79,85,31584,https://txschools.net/district/spring-branch-isd-101920
12,82,7,079910,Stafford MSD,Fort Bend,B,6,79,85,3529,https://txschools.net/district/stafford-msd-079910
12,82,7,237904,Waller ISD,Waller,B,6,74,80,10846,https://txschools.net/district/waller-isd-237904
12,82,7,101845,Yes Prep Public Schools Inc,Harris,B,6,83,89,20806,https://txschools.net/district/yes-prep-public-schools-inc-101845
20,82,3,020901,Alvin ISD,Brazoria,B,5,81,86,29994,https://txschools.net/district/alvin-isd-020901
20,82,3,101853,Bakerripley Community Schools,Harris,B,5,81,86,1908,https://txschools.net/district/bakerripley-community-schools-101853
20,82,3,084910,Clear Creek ISD,Galveston,B,5,84,89,38634,https://txschools.net/district/clear-creek-isd-084910
20,82,3,101913,Humble ISD,Harris,B,5,78,83,47734,https://txschools.net/district/humble-isd-101913
24,82,1,045902,Columbus ISD,Colorado,B,4,77,81,1594,https://txschools.net/district/columbus-isd-045902
24,82,1,084906,Texas City ISD,Galveston,C,4,73,77,7379,https://txschools.net/district/texas-city-isd-084906
26,82,0,101903,Alief ISD,Harris,C,3,75,78,36376,https://txschools.net/district/alief-isd-101903
27,82,5,036902,Barbers Hill ISD,Chambers,A,2,91,93,8069,https://txschools.net/district/barbers-hill-isd-036902
27,82,5,101837,Calvin Nelms Charter Schools,Harris,A,2,88,90,414,https://txschools.net/district/calvin-nelms-charter-schools-101837
