# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-04-districts/overall-score-highest
# rows: 46 (excluding this header and the column row)
# ranking: Region 04: Houston school districts with the highest overall score in 2025-26
# population: 46 districts of 46 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,46,0,036902,Barbers Hill ISD,Chambers,A,93,8069,https://txschools.net/district/barbers-hill-isd-036902
2,46,1,084911,Friendswood ISD,Galveston,A,92,6116,https://txschools.net/district/friendswood-isd-084911
2,46,1,101921,Tomball ISD,Harris,A,92,23202,https://txschools.net/district/tomball-isd-101921
4,46,0,020908,Pearland ISD,Brazoria,A,91,20555,https://txschools.net/district/pearland-isd-020908
5,46,0,079906,Needville ISD,Fort Bend,A,90,3673,https://txschools.net/district/needville-isd-079906
6,46,1,084910,Clear Creek ISD,Galveston,B,89,38634,https://txschools.net/district/clear-creek-isd-084910
6,46,1,020904,Danbury ISD,Brazoria,B,89,645,https://txschools.net/district/danbury-isd-020904
8,46,4,020910,Damon ISD,Brazoria,B,88,87,https://txschools.net/district/damon-isd-020910
8,46,4,084901,Dickinson ISD,Galveston,B,88,12569,https://txschools.net/district/dickinson-isd-084901
8,46,4,101910,Galena Park ISD,Harris,B,88,20108,https://txschools.net/district/galena-park-isd-101910
8,46,4,101914,Katy ISD,Harris,B,88,95136,https://txschools.net/district/katy-isd-101914
8,46,4,101915,Klein ISD,Harris,B,88,51154,https://txschools.net/district/klein-isd-101915
13,46,0,079901,Lamar CISD,Fort Bend,B,87,48645,https://txschools.net/district/lamar-cisd-079901
14,46,2,020901,Alvin ISD,Brazoria,B,86,29994,https://txschools.net/district/alvin-isd-020901
14,46,2,101907,Cypress-Fairbanks ISD,Harris,B,86,114430,https://txschools.net/district/cypress-fairbanks-isd-101907
14,46,2,101916,La Porte ISD,Harris,B,86,6900,https://txschools.net/district/la-porte-isd-101916
17,46,2,101912,Houston ISD,Harris,B,85,167793,https://txschools.net/district/houston-isd-101912
17,46,2,101920,Spring Branch ISD,Harris,B,85,31584,https://txschools.net/district/spring-branch-isd-101920
17,46,2,079910,Stafford MSD,Fort Bend,B,85,3529,https://txschools.net/district/stafford-msd-079910
20,46,1,020902,Angleton ISD,Brazoria,B,84,7241,https://txschools.net/district/angleton-isd-020902
20,46,1,101917,Pasadena ISD,Harris,B,84,44046,https://txschools.net/district/pasadena-isd-101917
22,46,2,020905,Brazosport ISD,Brazoria,B,83,10843,https://txschools.net/district/brazosport-isd-020905
22,46,2,101908,Deer Park ISD,Harris,B,83,12001,https://txschools.net/district/deer-park-isd-101908
22,46,2,101913,Humble ISD,Harris,B,83,47734,https://txschools.net/district/humble-isd-101913
25,46,0,079907,Fort Bend ISD,Fort Bend,B,82,77929,https://txschools.net/district/fort-bend-isd-079907
26,46,3,101905,Channelview ISD,Harris,B,81,9086,https://txschools.net/district/channelview-isd-101905
26,46,3,045902,Columbus ISD,Colorado,B,81,1594,https://txschools.net/district/columbus-isd-045902
26,46,3,101906,Crosby ISD,Harris,B,81,7183,https://txschools.net/district/crosby-isd-101906
26,46,3,084909,Santa Fe ISD,Galveston,B,81,4326,https://txschools.net/district/santa-fe-isd-084909
30,46,2,084902,Galveston ISD,Galveston,B,80,6664,https://txschools.net/district/galveston-isd-084902
30,46,2,101911,Goose Creek CISD,Harris,B,80,23308,https://txschools.net/district/goose-creek-cisd-101911
30,46,2,237904,Waller ISD,Waller,B,80,10846,https://txschools.net/district/waller-isd-237904
33,46,2,101902,Aldine ISD,Harris,C,79,52115,https://txschools.net/district/aldine-isd-101902
33,46,2,101924,Sheldon ISD,Harris,C,79,10576,https://txschools.net/district/sheldon-isd-101924
33,46,2,020906,Sweeny ISD,Brazoria,C,79,1691,https://txschools.net/district/sweeny-isd-020906
36,46,1,101903,Alief ISD,Harris,C,78,36376,https://txschools.net/district/alief-isd-101903
36,46,1,146902,Dayton ISD,Liberty,C,78,5777,https://txschools.net/district/dayton-isd-146902
38,46,2,020907,Columbia-Brazoria ISD,Brazoria,C,77,2942,https://txschools.net/district/columbia-brazoria-isd-020907
38,46,2,237902,Hempstead ISD,Waller,C,77,1563,https://txschools.net/district/hempstead-isd-237902
38,46,2,084906,Texas City ISD,Galveston,C,77,7379,https://txschools.net/district/texas-city-isd-084906
41,46,0,101919,Spring ISD,Harris,C,76,32328,https://txschools.net/district/spring-isd-101919
42,46,0,146907,Tarkington ISD,Liberty,C,73,1864,https://txschools.net/district/tarkington-isd-146907
43,46,0,101925,Huffman ISD,Harris,C,71,3698,https://txschools.net/district/huffman-isd-101925
44,46,0,084908,Hitchcock ISD,Galveston,D,67,1937,https://txschools.net/district/hitchcock-isd-084908
45,46,0,146901,Cleveland ISD,Liberty,D,65,12648,https://txschools.net/district/cleveland-isd-146901
46,46,0,237905,Royal ISD,Waller,D,64,3086,https://txschools.net/district/royal-isd-237905
