# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-04-districts/overall-score-lowest
# rows: 86 (excluding this header and the column row)
# ranking: Region 04: Houston school districts with the lowest overall score in 2025-26
# population: 86 districts of 88 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,86,0,101881,Up Excellence Academy,Harris,F,47,116,https://txschools.net/district/up-excellence-academy-101881
2,86,1,101875,Bloom Academy Charter School,Harris,F,59,364,https://txschools.net/district/bloom-academy-charter-school-101875
2,86,1,101872,Etoile Academy Charter School,Harris,F,59,1064,https://txschools.net/district/etoile-academy-charter-school-101872
4,86,0,101840,Two Dimensions Preparatory Academy,Harris,D,62,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
5,86,1,237905,Royal ISD,Waller,D,64,3086,https://txschools.net/district/royal-isd-237905
5,86,1,101814,The Varnett Public School,Harris,D,64,1084,https://txschools.net/district/the-varnett-public-school-101814
7,86,0,146901,Cleveland ISD,Liberty,D,65,12648,https://txschools.net/district/cleveland-isd-146901
8,86,0,101873,Yellowstone College Preparatory,Harris,D,66,361,https://txschools.net/district/yellowstone-college-preparatory-101873
9,86,0,084908,Hitchcock ISD,Galveston,D,67,1937,https://txschools.net/district/hitchcock-isd-084908
10,86,0,101874,Legacy School of Sport Sciences,Harris,D,69,550,https://txschools.net/district/legacy-school-of-sport-sciences-101874
11,86,0,084802,Odyssey Academy Inc,Galveston,C,70,1778,https://txschools.net/district/odyssey-academy-inc-084802
12,86,0,101925,Huffman ISD,Harris,C,71,3698,https://txschools.net/district/huffman-isd-101925
13,86,0,101855,Meyerpark Charter,Harris,C,72,259,https://txschools.net/district/meyerpark-charter-101855
14,86,0,146907,Tarkington ISD,Liberty,C,73,1864,https://txschools.net/district/tarkington-isd-146907
15,86,0,101856,Draw Academy,Harris,C,74,695,https://txschools.net/district/draw-academy-101856
16,86,0,101804,George I Sanchez Charter,Harris,C,75,941,https://txschools.net/district/george-i-sanchez-charter-101804
