# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-06-districts/overall-score-declines
# rows: 58 (excluding this header and the column row)
# ranking: Region 06: Huntsville school districts with the largest overall score declines since 2021-22
# population: 58 districts of 60 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 1 has no figure at the start of the window and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,58,0,228905,Apple Springs ISD,Trinity,D,-20,89,69,156,https://txschools.net/district/apple-springs-isd-228905
2,58,1,198902,Calvert ISD,Robertson,D,-12,81,69,143,https://txschools.net/district/calvert-isd-198902
2,58,1,113906,Kennard ISD,Houston,C,-12,91,79,254,https://txschools.net/district/kennard-isd-113906
4,58,1,021805,Arrow Academy,Brazos,B,-11,91,80,427,https://txschools.net/district/arrow-academy-021805
4,58,1,228904,Centerville ISD,Trinity,D,-11,80,69,143,https://txschools.net/district/centerville-isd-228904
6,58,0,228901,Groveton ISD,Trinity,C,-10,83,73,740,https://txschools.net/district/groveton-isd-228901
7,58,2,166901,Cameron ISD,Milam,D,-8,77,69,1389,https://txschools.net/district/cameron-isd-166901
7,58,2,166902,Gause ISD,Milam,B,-8,90,82,149,https://txschools.net/district/gause-isd-166902
7,58,2,204904,Shepherd ISD,San Jacinto,C,-8,82,74,1967,https://txschools.net/district/shepherd-isd-204904
10,58,1,236802,Sam Houston State University Charter School,Walker,B,-6,91,85,343,https://txschools.net/district/sam-houston-state-university-charter-school-236802
10,58,1,026903,Snook ISD,Burleson,B,-6,86,80,585,https://txschools.net/district/snook-isd-026903
12,58,1,145901,Buffalo ISD,Leon,B,-4,89,85,971,https://txschools.net/district/buffalo-isd-145901
12,58,1,113905,Latexo ISD,Houston,C,-4,80,76,551,https://txschools.net/district/latexo-isd-113905
14,58,0,187904,Corrigan-Camden ISD,Polk,B,-3,85,82,800,https://txschools.net/district/corrigan-camden-isd-187904
15,58,5,026901,Caldwell ISD,Burleson,B,-2,85,83,1828,https://txschools.net/district/caldwell-isd-026901
15,58,5,145902,Centerville ISD,Leon,C,-2,79,77,633,https://txschools.net/district/centerville-isd-145902
15,58,5,113901,Crockett ISD,Houston,D,-2,70,68,1098,https://txschools.net/district/crockett-isd-113901
15,58,5,198905,Hearne ISD,Robertson,D,-2,66,64,719,https://txschools.net/district/hearne-isd-198905
15,58,5,145911,Leon ISD,Leon,B,-2,87,85,790,https://txschools.net/district/leon-isd-145911
15,58,5,154901,Madisonville CISD,Madison,B,-2,91,89,2339,https://txschools.net/district/madisonville-cisd-154901
21,58,2,113902,Grapeland ISD,Houston,C,-1,77,76,578,https://txschools.net/district/grapeland-isd-113902
21,58,2,170908,New Caney ISD,Montgomery,C,-1,80,79,19642,https://txschools.net/district/new-caney-isd-170908
21,58,2,170907,Splendora ISD,Montgomery,C,-1,74,73,5882,https://txschools.net/district/splendora-isd-170907
24,58,2,021902,Bryan ISD,Brazos,C,0,77,77,15653,https://txschools.net/district/bryan-isd-021902
24,58,2,093904,Navasota ISD,Grimes,C,0,77,77,3127,https://txschools.net/district/navasota-isd-093904
