# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-07-districts/overall-score-gains
# rows: 100 (excluding this header and the column row)
# ranking: Region 07: Kilgore school districts with the largest overall score gains since 2021-22
# population: 100 districts of 101 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,100,0,174911,Douglass ISD,Nacogdoches,A,17,79,96,405,https://txschools.net/district/douglass-isd-174911
2,100,0,201902,Henderson ISD,Rusk,B,16,64,80,3151,https://txschools.net/district/henderson-isd-201902
3,100,0,202903,Hemphill ISD,Sabine,A,15,77,92,728,https://txschools.net/district/hemphill-isd-202903
4,100,1,183801,Panola Charter School,Panola,A,11,85,96,174,https://txschools.net/district/panola-charter-school-183801
4,100,1,203901,San Augustine ISD,San Augustine,C,11,62,73,585,https://txschools.net/district/san-augustine-isd-203901
6,100,1,174901,Chireno ISD,Nacogdoches,B,10,71,81,343,https://txschools.net/district/chireno-isd-174901
6,100,1,210902,Joaquin ISD,Shelby,A,10,83,93,695,https://txschools.net/district/joaquin-isd-210902
8,100,0,174909,Martinsville ISD,Nacogdoches,B,9,79,88,315,https://txschools.net/district/martinsville-isd-174909
9,100,3,174903,Garrison ISD,Nacogdoches,A,8,82,90,739,https://txschools.net/district/garrison-isd-174903
9,100,3,234905,Martins Mill ISD,Van Zandt,B,8,78,86,447,https://txschools.net/district/martins-mill-isd-234905
9,100,3,092904,Pine Tree ISD,Gregg,B,8,79,87,4435,https://txschools.net/district/pine-tree-isd-092904
9,100,3,250905,Yantis ISD,Wood,C,8,68,76,309,https://txschools.net/district/yantis-isd-250905
13,100,4,212909,Chapel Hill ISD,Smith,C,7,69,76,3186,https://txschools.net/district/chapel-hill-isd-212909
13,100,4,201907,Mount Enterprise ISD,Rusk,B,7,82,89,482,https://txschools.net/district/mount-enterprise-isd-201907
13,100,4,210905,Timpson ISD,Shelby,B,7,78,85,718,https://txschools.net/district/timpson-isd-210905
13,100,4,107907,Trinidad ISD,Henderson,B,7,73,80,175,https://txschools.net/district/trinidad-isd-107907
13,100,4,003906,Zavalla ISD,Angelina,B,7,75,82,308,https://txschools.net/district/zavalla-isd-003906
18,100,3,250906,Alba-Golden ISD,Wood,B,6,79,85,772,https://txschools.net/district/alba-golden-isd-250906
18,100,3,092801,East Texas Charter Schools,Gregg,A,6,91,97,125,https://txschools.net/district/east-texas-charter-schools-092801
18,100,3,092901,Gladewater ISD,Gregg,C,6,73,79,1577,https://txschools.net/district/gladewater-isd-092901
18,100,3,230906,New Diana ISD,Upshur,B,6,81,87,1150,https://txschools.net/district/new-diana-isd-230906
22,100,1,037907,Rusk ISD,Cherokee,B,5,77,82,1980,https://txschools.net/district/rusk-isd-037907
22,100,1,201910,Tatum ISD,Rusk,B,5,80,85,1327,https://txschools.net/district/tatum-isd-201910
24,100,2,001904,Frankston ISD,Anderson,B,4,84,88,785,https://txschools.net/district/frankston-isd-001904
24,100,2,092907,Spring Hill ISD,Gregg,A,4,89,93,1941,https://txschools.net/district/spring-hill-isd-092907
