# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-08-districts/overall-score-gains
# rows: 46 (excluding this header and the column row)
# ranking: Region 08: Mt Pleasant school districts with the largest overall score gains since 2021-22
# population: 46 districts of 46 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,46,0,112910,Sulphur Bluff ISD,Hopkins,B,15,72,87,195,https://txschools.net/district/sulphur-bluff-isd-112910
2,46,0,155901,Jefferson ISD,Marion,C,12,65,77,1105,https://txschools.net/district/jefferson-isd-155901
3,46,0,034906,McLeod ISD,Cass,A,10,82,92,420,https://txschools.net/district/mcleod-isd-034906
4,46,0,019914,Leary ISD,Bowie,A,9,81,90,106,https://txschools.net/district/leary-isd-019914
5,46,1,194904,Clarksville ISD,Red River,D,8,61,69,504,https://txschools.net/district/clarksville-isd-194904
5,46,1,019905,New Boston ISD,Bowie,B,8,79,87,1060,https://txschools.net/district/new-boston-isd-019905
7,46,0,225902,Mount Pleasant ISD,Titus,B,7,81,88,5019,https://txschools.net/district/mount-pleasant-isd-225902
8,46,0,034901,Atlanta ISD,Cass,B,6,81,87,1918,https://txschools.net/district/atlanta-isd-034901
9,46,3,112908,Como-Pickton CISD,Hopkins,B,5,81,86,751,https://txschools.net/district/como-pickton-cisd-112908
9,46,3,019910,Malta ISD,Bowie,B,5,84,89,208,https://txschools.net/district/malta-isd-019910
9,46,3,139911,North Lamar ISD,Lamar,C,5,72,77,2362,https://txschools.net/district/north-lamar-isd-139911
9,46,3,019909,Simms ISD,Bowie,B,5,81,86,462,https://txschools.net/district/simms-isd-019909
13,46,1,034902,Avinger ISD,Cass,B,4,83,87,103,https://txschools.net/district/avinger-isd-034902
13,46,1,019901,DeKalb ISD,Bowie,B,4,79,83,928,https://txschools.net/district/dekalb-isd-019901
15,46,1,225907,Harts Bluff ISD,Titus,C,3,75,78,873,https://txschools.net/district/harts-bluff-isd-225907
15,46,1,080901,Mount Vernon ISD,Franklin,B,3,83,86,1514,https://txschools.net/district/mount-vernon-isd-080901
17,46,3,139905,Chisum ISD,Lamar,B,2,81,83,1167,https://txschools.net/district/chisum-isd-139905
17,46,3,060902,Cooper ISD,Delta,C,2,77,79,879,https://txschools.net/district/cooper-isd-060902
17,46,3,112906,North Hopkins ISD,Hopkins,B,2,84,86,517,https://txschools.net/district/north-hopkins-isd-112906
17,46,3,139909,Paris ISD,Lamar,B,2,78,80,3728,https://txschools.net/district/paris-isd-139909
21,46,4,034909,Bloomburg ISD,Cass,B,1,87,88,202,https://txschools.net/district/bloomburg-isd-034909
21,46,4,060914,Fannindel ISD,Delta,D,1,67,68,152,https://txschools.net/district/fannindel-isd-060914
21,46,4,032902,Pittsburg ISD,Camp,A,1,90,91,2228,https://txschools.net/district/pittsburg-isd-032902
21,46,4,112909,Saltillo ISD,Hopkins,A,1,90,91,236,https://txschools.net/district/saltillo-isd-112909
21,46,4,019907,Texarkana ISD,Bowie,C,1,75,76,7623,https://txschools.net/district/texarkana-isd-019907
26,46,2,194902,Avery ISD,Red River,A,0,93,93,295,https://txschools.net/district/avery-isd-194902
