# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-09-districts/overall-score-declines
# rows: 37 (excluding this header and the column row)
# ranking: Region 09: Wichita Falls school districts with the largest overall score declines since 2021-22
# population: 37 districts of 37 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,37,1,138904,Benjamin ISD,Knox,B,-9,90,81,96,https://txschools.net/district/benjamin-isd-138904
1,37,1,244905,Northside ISD,Wilbarger,B,-9,90,81,246,https://txschools.net/district/northside-isd-244905
3,37,1,243902,Electra ISD,Wichita,C,-7,78,71,418,https://txschools.net/district/electra-isd-243902
3,37,1,169910,Forestburg ISD,Montague,B,-7,89,82,172,https://txschools.net/district/forestburg-isd-169910
5,37,0,252901,Graham ISD,Young,C,-4,81,77,2139,https://txschools.net/district/graham-isd-252901
6,37,0,012901,Seymour ISD,Baylor,B,-3,91,88,598,https://txschools.net/district/seymour-isd-012901
7,37,1,252902,Newcastle ISD,Young,B,-2,91,89,231,https://txschools.net/district/newcastle-isd-252902
7,37,1,224902,Woodson ISD,Throckmorton,B,-2,91,89,158,https://txschools.net/district/woodson-isd-224902
9,37,2,169908,Montague ISD,Montague,A,-1,94,93,170,https://txschools.net/district/montague-isd-169908
9,37,2,099903,Quanah ISD,Hardeman,B,-1,88,87,396,https://txschools.net/district/quanah-isd-099903
9,37,2,169911,Saint Jo ISD,Montague,B,-1,83,82,298,https://txschools.net/district/saint-jo-isd-169911
12,37,3,119901,Bryson ISD,Jack,B,0,89,89,262,https://txschools.net/district/bryson-isd-119901
12,37,3,243901,Burkburnett ISD,Wichita,C,0,77,77,3142,https://txschools.net/district/burkburnett-isd-243901
12,37,3,243906,City View ISD,Wichita,B,0,81,81,1169,https://txschools.net/district/city-view-isd-243906
12,37,3,169909,Prairie Valley ISD,Montague,B,0,88,88,138,https://txschools.net/district/prairie-valley-isd-169909
16,37,4,099902,Chillicothe ISD,Hardeman,B,1,82,83,172,https://txschools.net/district/chillicothe-isd-099902
16,37,4,039902,Henrietta ISD,Clay,B,1,80,81,862,https://txschools.net/district/henrietta-isd-039902
16,37,4,005902,Holliday ISD,Archer,A,1,89,90,1127,https://txschools.net/district/holliday-isd-005902
16,37,4,243903,Iowa Park CISD,Wichita,B,1,86,87,1974,https://txschools.net/district/iowa-park-cisd-243903
16,37,4,252903,Olney ISD,Young,B,1,86,87,701,https://txschools.net/district/olney-isd-252903
21,37,2,078901,Crowell ISD,Foard,B,2,86,88,172,https://txschools.net/district/crowell-isd-078901
21,37,2,243905,Wichita Falls ISD,Wichita,C,2,73,75,12435,https://txschools.net/district/wichita-falls-isd-243905
21,37,2,005904,Windthorst ISD,Archer,A,2,89,91,491,https://txschools.net/district/windthorst-isd-005904
24,37,1,244901,Harrold ISD,Wilbarger,B,5,83,88,159,https://txschools.net/district/harrold-isd-244901
24,37,1,138903,Munday CISD,Knox,B,5,83,88,375,https://txschools.net/district/munday-cisd-138903
26,37,3,169901,Bowie ISD,Montague,B,6,74,80,1457,https://txschools.net/district/bowie-isd-169901
26,37,3,119903,Perrin-Whitt CISD,Jack,A,6,84,90,306,https://txschools.net/district/perrin-whitt-cisd-119903
26,37,3,039903,Petrolia CISD,Clay,C,6,73,79,485,https://txschools.net/district/petrolia-cisd-039903
26,37,3,224901,Throckmorton Collegiate ISD,Throckmorton,B,6,74,80,145,https://txschools.net/district/throckmorton-collegiate-isd-224901
30,37,0,169902,Nocona ISD,Montague,B,8,78,86,764,https://txschools.net/district/nocona-isd-169902
31,37,1,119902,Jacksboro ISD,Jack,B,9,76,85,1032,https://txschools.net/district/jacksboro-isd-119902
31,37,1,244903,Vernon ISD,Wilbarger,C,9,67,76,1685,https://txschools.net/district/vernon-isd-244903
33,37,1,005901,Archer City ISD,Archer,A,10,83,93,486,https://txschools.net/district/archer-city-isd-005901
33,37,1,169906,Gold Burg ISD,Montague,C,10,66,76,149,https://txschools.net/district/gold-burg-isd-169906
35,37,0,039905,Midway ISD,Clay,B,11,74,85,128,https://txschools.net/district/midway-isd-039905
36,37,0,138902,Knox City-O'Brien CISD,Knox,A,22,73,95,183,https://txschools.net/district/knox-city-o-brien-cisd-138902
37,37,0,039904,Bellevue ISD,Clay,A,28,64,92,242,https://txschools.net/district/bellevue-isd-039904
