# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-09-districts/overall-score-highest
# rows: 37 (excluding this header and the column row)
# ranking: Region 09: Wichita Falls school districts with the highest overall score in 2025-26
# population: 37 districts of 37 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,37,0,138902,Knox City-O'Brien CISD,Knox,A,95,183,https://txschools.net/district/knox-city-o-brien-cisd-138902
2,37,1,005901,Archer City ISD,Archer,A,93,486,https://txschools.net/district/archer-city-isd-005901
2,37,1,169908,Montague ISD,Montague,A,93,170,https://txschools.net/district/montague-isd-169908
4,37,0,039904,Bellevue ISD,Clay,A,92,242,https://txschools.net/district/bellevue-isd-039904
5,37,0,005904,Windthorst ISD,Archer,A,91,491,https://txschools.net/district/windthorst-isd-005904
6,37,1,005902,Holliday ISD,Archer,A,90,1127,https://txschools.net/district/holliday-isd-005902
6,37,1,119903,Perrin-Whitt CISD,Jack,A,90,306,https://txschools.net/district/perrin-whitt-cisd-119903
8,37,2,119901,Bryson ISD,Jack,B,89,262,https://txschools.net/district/bryson-isd-119901
8,37,2,252902,Newcastle ISD,Young,B,89,231,https://txschools.net/district/newcastle-isd-252902
8,37,2,224902,Woodson ISD,Throckmorton,B,89,158,https://txschools.net/district/woodson-isd-224902
11,37,4,078901,Crowell ISD,Foard,B,88,172,https://txschools.net/district/crowell-isd-078901
11,37,4,244901,Harrold ISD,Wilbarger,B,88,159,https://txschools.net/district/harrold-isd-244901
11,37,4,138903,Munday CISD,Knox,B,88,375,https://txschools.net/district/munday-cisd-138903
11,37,4,169909,Prairie Valley ISD,Montague,B,88,138,https://txschools.net/district/prairie-valley-isd-169909
11,37,4,012901,Seymour ISD,Baylor,B,88,598,https://txschools.net/district/seymour-isd-012901
16,37,2,243903,Iowa Park CISD,Wichita,B,87,1974,https://txschools.net/district/iowa-park-cisd-243903
16,37,2,252903,Olney ISD,Young,B,87,701,https://txschools.net/district/olney-isd-252903
16,37,2,099903,Quanah ISD,Hardeman,B,87,396,https://txschools.net/district/quanah-isd-099903
19,37,0,169902,Nocona ISD,Montague,B,86,764,https://txschools.net/district/nocona-isd-169902
20,37,1,119902,Jacksboro ISD,Jack,B,85,1032,https://txschools.net/district/jacksboro-isd-119902
20,37,1,039905,Midway ISD,Clay,B,85,128,https://txschools.net/district/midway-isd-039905
22,37,0,099902,Chillicothe ISD,Hardeman,B,83,172,https://txschools.net/district/chillicothe-isd-099902
23,37,1,169910,Forestburg ISD,Montague,B,82,172,https://txschools.net/district/forestburg-isd-169910
23,37,1,169911,Saint Jo ISD,Montague,B,82,298,https://txschools.net/district/saint-jo-isd-169911
25,37,3,138904,Benjamin ISD,Knox,B,81,96,https://txschools.net/district/benjamin-isd-138904
25,37,3,243906,City View ISD,Wichita,B,81,1169,https://txschools.net/district/city-view-isd-243906
25,37,3,039902,Henrietta ISD,Clay,B,81,862,https://txschools.net/district/henrietta-isd-039902
25,37,3,244905,Northside ISD,Wilbarger,B,81,246,https://txschools.net/district/northside-isd-244905
29,37,1,169901,Bowie ISD,Montague,B,80,1457,https://txschools.net/district/bowie-isd-169901
29,37,1,224901,Throckmorton Collegiate ISD,Throckmorton,B,80,145,https://txschools.net/district/throckmorton-collegiate-isd-224901
31,37,0,039903,Petrolia CISD,Clay,C,79,485,https://txschools.net/district/petrolia-cisd-039903
32,37,1,243901,Burkburnett ISD,Wichita,C,77,3142,https://txschools.net/district/burkburnett-isd-243901
32,37,1,252901,Graham ISD,Young,C,77,2139,https://txschools.net/district/graham-isd-252901
34,37,1,169906,Gold Burg ISD,Montague,C,76,149,https://txschools.net/district/gold-burg-isd-169906
34,37,1,244903,Vernon ISD,Wilbarger,C,76,1685,https://txschools.net/district/vernon-isd-244903
36,37,0,243905,Wichita Falls ISD,Wichita,C,75,12435,https://txschools.net/district/wichita-falls-isd-243905
37,37,0,243902,Electra ISD,Wichita,C,71,418,https://txschools.net/district/electra-isd-243902
