# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-10-districts/overall-score-gains
# rows: 110 (excluding this header and the column row)
# ranking: Region 10: Richardson school districts with the largest overall score gains since 2021-22
# population: 110 districts of 112 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,110,0,057806,Advantage Academy,Dallas,C,21,56,77,909,https://txschools.net/district/advantage-academy-057806
2,110,0,070801,Faith Family Academy,Ellis,C,18,59,77,2883,https://txschools.net/district/faith-family-academy-070801
3,110,0,057829,A' Academy,Dallas,C,17,62,79,1703,https://txschools.net/district/a-academy-057829
4,110,1,091902,Collinsville ISD,Grayson,B,15,68,83,647,https://txschools.net/district/collinsville-isd-091902
4,110,1,070907,Italy ISD,Ellis,B,15,65,80,599,https://txschools.net/district/italy-isd-070907
6,110,2,074905,Ector ISD,Fannin,B,12,68,80,234,https://txschools.net/district/ector-isd-074905
6,110,2,091913,Pottsboro ISD,Grayson,A,12,78,90,1363,https://txschools.net/district/pottsboro-isd-091913
6,110,2,057847,Village Tech Schools,Dallas,B,12,70,82,1330,https://txschools.net/district/village-tech-schools-057847
9,110,0,057830,Inspired Vision Academy,Dallas,C,10,61,71,1103,https://txschools.net/district/inspired-vision-academy-057830
10,110,1,057905,Dallas ISD,Dallas,B,9,76,85,134302,https://txschools.net/district/dallas-isd-057905
10,110,1,057828,Winfree Academy Charter Schools,Dallas,B,9,76,85,1051,https://txschools.net/district/winfree-academy-charter-schools-057828
12,110,3,057841,Cityscape Schools,Dallas,C,8,66,74,1218,https://txschools.net/district/cityscape-schools-057841
12,110,3,070908,Midlothian ISD,Ellis,B,8,81,89,11537,https://txschools.net/district/midlothian-isd-070908
12,110,3,057916,Richardson ISD,Dallas,B,8,75,83,36142,https://txschools.net/district/richardson-isd-057916
12,110,3,057808,Universal Academy,Dallas,A,8,85,93,2051,https://txschools.net/district/universal-academy-057808
16,110,3,116910,Campbell ISD,Hunt,D,7,62,69,298,https://txschools.net/district/campbell-isd-116910
16,110,3,074904,Dodd City ISD,Fannin,A,7,83,90,319,https://txschools.net/district/dodd-city-isd-074904
16,110,3,057846,Legacy Preparatory,Dallas,B,7,78,85,914,https://txschools.net/district/legacy-preparatory-057846
16,110,3,074909,Leonard ISD,Fannin,B,7,74,81,840,https://txschools.net/district/leonard-isd-074909
20,110,3,116902,Celeste ISD,Hunt,B,6,82,88,471,https://txschools.net/district/celeste-isd-116902
20,110,3,057909,Garland ISD,Dallas,B,6,80,86,49060,https://txschools.net/district/garland-isd-057909
20,110,3,057850,Pioneer Technology & Arts Academy,Dallas,C,6,73,79,2400,https://txschools.net/district/pioneer-technology-arts-academy-057850
20,110,3,116908,Quinlan ISD,Hunt,C,6,73,79,2974,https://txschools.net/district/quinlan-isd-116908
24,110,5,070901,Avalon ISD,Ellis,B,5,75,80,316,https://txschools.net/district/avalon-isd-070901
24,110,5,057834,Evolution Academy Charter School,Dallas,A,5,85,90,639,https://txschools.net/district/evolution-academy-charter-school-057834
24,110,5,061804,Leadership Prep School,Denton,B,5,80,85,1894,https://txschools.net/district/leadership-prep-school-061804
24,110,5,091907,Tioga ISD,Grayson,A,5,87,92,610,https://txschools.net/district/tioga-isd-091907
24,110,5,091909,Whitesboro ISD,Grayson,C,5,73,78,1757,https://txschools.net/district/whitesboro-isd-091909
24,110,5,234907,Wills Point ISD,Van Zandt,C,5,70,75,2882,https://txschools.net/district/wills-point-isd-234907
30,110,6,057904,Cedar Hill ISD,Dallas,C,4,68,72,5876,https://txschools.net/district/cedar-hill-isd-057904
30,110,6,043918,Community ISD,Collin,B,4,76,80,5764,https://txschools.net/district/community-isd-043918
