# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-11-districts/overall-score-declines
# rows: 87 (excluding this header and the column row)
# ranking: Region 11: Fort Worth school districts with the largest overall score declines since 2021-22
# population: 87 districts of 91 districts are ranked here.
# population: 3 were not rated by TEA for 2025-26 and are not ranked.
# population: 1 has no figure at the start of the window and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,87,0,072910,Morgan Mill ISD,Erath,F,-38,91,53,132,https://txschools.net/district/morgan-mill-isd-072910
2,87,0,220801,Treetops School International,Tarrant,C,-16,86,70,186,https://txschools.net/district/treetops-school-international-220801
3,87,0,220811,East Fort Worth Montessori Academy,Tarrant,D,-14,78,64,106,https://txschools.net/district/east-fort-worth-montessori-academy-220811
4,87,0,049908,Walnut Bend ISD,Cooke,C,-12,90,78,59,https://txschools.net/district/walnut-bend-isd-049908
5,87,0,072802,Erath Excels Academy Inc,Erath,B,-11,95,84,111,https://txschools.net/district/erath-excels-academy-inc-072802
6,87,0,061802,North Texas Collegiate Academy,Denton,D,-8,73,65,797,https://txschools.net/district/north-texas-collegiate-academy-061802
7,87,1,220802,Arlington Classics Academy,Tarrant,B,-7,92,85,1552,https://txschools.net/district/arlington-classics-academy-220802
7,87,1,213801,Brazos River Charter School,Somervell,C,-7,85,78,60,https://txschools.net/district/brazos-river-charter-school-213801
9,87,4,061907,Aubrey ISD,Denton,C,-6,83,77,4885,https://txschools.net/district/aubrey-isd-061907
9,87,4,220918,Eagle Mt-Saginaw ISD,Tarrant,C,-6,83,77,24147,https://txschools.net/district/eagle-mt-saginaw-isd-220918
9,87,4,220904,Everman ISD,Tarrant,C,-6,81,75,4704,https://txschools.net/district/everman-isd-220904
9,87,4,249906,Paradise ISD,Wise,B,-6,89,83,1372,https://txschools.net/district/paradise-isd-249906
9,87,4,184901,Poolville ISD,Parker,C,-6,83,77,764,https://txschools.net/district/poolville-isd-184901
