# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-11-districts/overall-score-highest
# rows: 76 (excluding this header and the column row)
# ranking: Region 11: Fort Worth school districts with the highest overall score in 2025-26
# population: 76 districts of 76 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,76,0,072908,Huckabay ISD,Erath,A,96,345,https://txschools.net/district/huckabay-isd-072908
2,76,0,220919,Carroll ISD,Tarrant,A,93,7866,https://txschools.net/district/carroll-isd-220919
3,76,4,184907,Aledo ISD,Parker,A,92,8590,https://txschools.net/district/aledo-isd-184907
3,76,4,061910,Argyle ISD,Denton,A,92,6551,https://txschools.net/district/argyle-isd-061910
3,76,4,072902,Dublin ISD,Erath,A,92,1078,https://txschools.net/district/dublin-isd-072902
3,76,4,182902,Graford ISD,Palo Pinto,A,92,329,https://txschools.net/district/graford-isd-182902
3,76,4,182906,Palo Pinto ISD,Palo Pinto,A,92,92,https://txschools.net/district/palo-pinto-isd-182906
8,76,4,184909,Brock ISD,Parker,A,91,2181,https://txschools.net/district/brock-isd-184909
8,76,4,049906,Era ISD,Cooke,A,91,517,https://txschools.net/district/era-isd-049906
8,76,4,182901,Gordon ISD,Palo Pinto,A,91,240,https://txschools.net/district/gordon-isd-182901
8,76,4,220906,Grapevine-Colleyville ISD,Tarrant,A,91,13343,https://txschools.net/district/grapevine-colleyville-isd-220906
8,76,4,182904,Santo ISD,Palo Pinto,A,91,570,https://txschools.net/district/santo-isd-182904
13,76,1,072903,Stephenville ISD,Erath,A,90,3503,https://txschools.net/district/stephenville-isd-072903
13,76,1,111903,Tolar ISD,Hood,A,90,898,https://txschools.net/district/tolar-isd-111903
15,76,2,184911,Garner ISD,Parker,B,89,352,https://txschools.net/district/garner-isd-184911
15,76,2,072909,Lingleville ISD,Erath,B,89,264,https://txschools.net/district/lingleville-isd-072909
15,76,2,049902,Muenster ISD,Cooke,B,89,551,https://txschools.net/district/muenster-isd-049902
18,76,1,220917,Castleberry ISD,Tarrant,B,88,3755,https://txschools.net/district/castleberry-isd-220917
18,76,1,213901,Glen Rose ISD,Somervell,B,88,2091,https://txschools.net/district/glen-rose-isd-213901
