# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-12-districts/overall-score-lowest
# rows: 77 (excluding this header and the column row)
# ranking: Region 12: Waco school districts with the lowest overall score in 2025-26
# population: 77 districts of 77 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,77,0,109908,Malone ISD,Hill,F,44,64,https://txschools.net/district/malone-isd-109908
2,77,0,161924,Hallsburg ISD,McLennan,F,59,106,https://txschools.net/district/hallsburg-isd-161924
3,77,0,018907,Kopperl ISD,Bosque,D,62,163,https://txschools.net/district/kopperl-isd-018907
4,77,1,073903,Marlin ISD,Falls,D,66,796,https://txschools.net/district/marlin-isd-073903
4,77,1,161914,Waco ISD,McLennan,D,66,12892,https://txschools.net/district/waco-isd-161914
6,77,1,161921,Connally ISD,McLennan,D,69,2031,https://txschools.net/district/connally-isd-161921
6,77,1,050901,Evant ISD,Coryell,D,69,192,https://txschools.net/district/evant-isd-050901
8,77,1,161919,Bruceville-Eddy ISD,McLennan,C,70,505,https://txschools.net/district/bruceville-eddy-isd-161919
8,77,1,018903,Morgan ISD,Bosque,C,70,138,https://txschools.net/district/morgan-isd-018903
10,77,2,018902,Meridian ISD,Bosque,C,71,354,https://txschools.net/district/meridian-isd-018902
10,77,2,167902,Mullin ISD,Mills,C,71,176,https://txschools.net/district/mullin-isd-167902
10,77,2,018905,Walnut Springs ISD,Bosque,C,71,152,https://txschools.net/district/walnut-springs-isd-018905
13,77,3,109903,Covington ISD,Hill,C,72,351,https://txschools.net/district/covington-isd-109903
13,77,3,109907,Itasca ISD,Hill,C,72,652,https://txschools.net/district/itasca-isd-109907
13,77,3,161906,La Vega ISD,McLennan,C,72,3079,https://txschools.net/district/la-vega-isd-161906
13,77,3,081905,Wortham ISD,Freestone,C,72,501,https://txschools.net/district/wortham-isd-081905
17,77,0,175903,Corsicana ISD,Navarro,C,73,5910,https://txschools.net/district/corsicana-isd-175903
18,77,0,166907,Buckholts ISD,Milam,C,75,107,https://txschools.net/district/buckholts-isd-166907
19,77,4,161923,Bosqueville ISD,McLennan,C,76,718,https://txschools.net/district/bosqueville-isd-161923
19,77,4,081906,Dew ISD,Freestone,C,76,170,https://txschools.net/district/dew-isd-081906
19,77,4,175905,Frost ISD,Navarro,C,76,459,https://txschools.net/district/frost-isd-175905
19,77,4,147902,Groesbeck ISD,Limestone,C,76,1457,https://txschools.net/district/groesbeck-isd-147902
19,77,4,147903,Mexia ISD,Limestone,C,76,1780,https://txschools.net/district/mexia-isd-147903
24,77,2,109905,Hubbard ISD,Hill,C,77,398,https://txschools.net/district/hubbard-isd-109905
24,77,2,161909,McGregor ISD,McLennan,C,77,1448,https://txschools.net/district/mcgregor-isd-161909
24,77,2,018904,Valley Mills ISD,Bosque,C,77,664,https://txschools.net/district/valley-mills-isd-018904
27,77,2,050902,Gatesville ISD,Coryell,C,78,2547,https://txschools.net/district/gatesville-isd-050902
27,77,2,097902,Hamilton ISD,Hamilton,C,78,794,https://txschools.net/district/hamilton-isd-097902
27,77,2,109911,Whitney ISD,Hill,C,78,1433,https://txschools.net/district/whitney-isd-109911
30,77,4,175902,Blooming Grove ISD,Navarro,C,79,961,https://txschools.net/district/blooming-grove-isd-175902
30,77,4,081902,Fairfield ISD,Freestone,C,79,1526,https://txschools.net/district/fairfield-isd-081902
30,77,4,050909,Jonesboro ISD,Coryell,C,79,317,https://txschools.net/district/jonesboro-isd-050909
30,77,4,014906,Killeen ISD,Bell,C,79,41366,https://txschools.net/district/killeen-isd-014906
30,77,4,109910,Mount Calm ISD,Hill,C,79,176,https://txschools.net/district/mount-calm-isd-109910
35,77,2,014903,Belton ISD,Bell,B,80,13516,https://txschools.net/district/belton-isd-014903
35,77,2,097903,Hico ISD,Hamilton,B,80,614,https://txschools.net/district/hico-isd-097903
35,77,2,141902,Lometa ISD,Lampasas,B,80,293,https://txschools.net/district/lometa-isd-141902
38,77,2,018901,Clifton ISD,Bosque,B,81,938,https://txschools.net/district/clifton-isd-018901
38,77,2,014907,Rogers ISD,Bell,B,81,856,https://txschools.net/district/rogers-isd-014907
38,77,2,014909,Temple ISD,Bell,B,81,8704,https://txschools.net/district/temple-isd-014909
41,77,1,175904,Dawson ISD,Navarro,B,82,608,https://txschools.net/district/dawson-isd-175904
41,77,1,014908,Salado ISD,Bell,B,82,2582,https://txschools.net/district/salado-isd-014908
43,77,3,014901,Academy ISD,Bell,B,83,1857,https://txschools.net/district/academy-isd-014901
43,77,3,161908,Mart ISD,McLennan,B,83,597,https://txschools.net/district/mart-isd-161908
43,77,3,073905,Rosebud-Lott ISD,Falls,B,83,763,https://txschools.net/district/rosebud-lott-isd-073905
43,77,3,014910,Troy ISD,Bell,B,83,1723,https://txschools.net/district/troy-isd-014910
47,77,1,147901,Coolidge ISD,Limestone,B,84,311,https://txschools.net/district/coolidge-isd-147901
47,77,1,141901,Lampasas ISD,Lampasas,B,84,3625,https://txschools.net/district/lampasas-isd-141901
49,77,1,050910,Copperas Cove ISD,Coryell,B,85,7619,https://txschools.net/district/copperas-cove-isd-050910
49,77,1,175907,Kerens ISD,Navarro,B,85,692,https://txschools.net/district/kerens-isd-175907
51,77,2,161918,Axtell ISD,McLennan,B,86,842,https://txschools.net/district/axtell-isd-161918
51,77,2,109902,Bynum ISD,Hill,B,86,174,https://txschools.net/district/bynum-isd-109902
51,77,2,175910,Mildred ISD,Navarro,B,86,801,https://txschools.net/district/mildred-isd-175910
54,77,2,050904,Oglesby ISD,Coryell,B,87,257,https://txschools.net/district/oglesby-isd-050904
54,77,2,175911,Rice ISD,Navarro,B,87,1094,https://txschools.net/district/rice-isd-175911
54,77,2,081904,Teague ISD,Freestone,B,87,1166,https://txschools.net/district/teague-isd-081904
57,77,3,161920,China Spring ISD,McLennan,B,88,2980,https://txschools.net/district/china-spring-isd-161920
57,77,3,018908,Cranfills Gap ISD,Bosque,B,88,116,https://txschools.net/district/cranfills-gap-isd-018908
57,77,3,161901,Crawford ISD,McLennan,B,88,585,https://txschools.net/district/crawford-isd-161901
57,77,3,161910,Moody ISD,McLennan,B,88,761,https://txschools.net/district/moody-isd-161910
61,77,5,109912,Aquilla ISD,Hill,B,89,322,https://txschools.net/district/aquilla-isd-109912
61,77,5,161925,Gholson ISD,McLennan,B,89,227,https://txschools.net/district/gholson-isd-161925
61,77,5,167901,Goldthwaite ISD,Mills,B,89,504,https://txschools.net/district/goldthwaite-isd-167901
61,77,5,109904,Hillsboro ISD,Hill,B,89,1913,https://txschools.net/district/hillsboro-isd-109904
61,77,5,161912,Riesel ISD,McLennan,B,89,683,https://txschools.net/district/riesel-isd-161912
61,77,5,161916,West ISD,McLennan,B,89,1338,https://txschools.net/district/west-isd-161916
67,77,3,109913,Blum ISD,Hill,A,90,335,https://txschools.net/district/blum-isd-109913
67,77,3,014905,Holland ISD,Bell,A,90,669,https://txschools.net/district/holland-isd-014905
67,77,3,161903,Midway ISD,McLennan,A,90,8704,https://txschools.net/district/midway-isd-161903
67,77,3,161922,Robinson ISD,McLennan,A,90,2401,https://txschools.net/district/robinson-isd-161922
71,77,2,073901,Chilton ISD,Falls,A,91,574,https://txschools.net/district/chilton-isd-073901
71,77,2,161907,Lorena ISD,McLennan,A,91,1740,https://txschools.net/district/lorena-isd-161907
71,77,2,167904,Priddy ISD,Mills,A,91,90,https://txschools.net/district/priddy-isd-167904
74,77,1,109914,Penelope ISD,Hill,A,92,215,https://txschools.net/district/penelope-isd-109914
74,77,1,073904,Westphalia ISD,Falls,A,92,148,https://txschools.net/district/westphalia-isd-073904
76,77,0,018906,Iredell ISD,Bosque,A,93,137,https://txschools.net/district/iredell-isd-018906
77,77,0,109901,Abbott ISD,Hill,A,94,285,https://txschools.net/district/abbott-isd-109901
