# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-13-districts/overall-score-declines
# rows: 64 (excluding this header and the column row)
# ranking: Region 13: Austin school districts with the largest overall score declines since 2021-22
# population: 64 districts of 69 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# population: 3 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,64,0,227805,Texas Empowerment Academy,Travis,F,-31,88,57,760,https://txschools.net/district/texas-empowerment-academy-227805
2,64,0,227819,University of Texas Elem Charter School,Travis,C,-15,91,76,305,https://txschools.net/district/university-of-texas-elem-charter-school-227819
3,64,2,246914,Coupland ISD,Williamson,C,-13,89,76,315,https://txschools.net/district/coupland-isd-246914
3,64,2,227506,University of Texas at Austin HS,Travis,C,-13,83,70,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
3,64,2,227806,University of Texas University Charter School,Travis,B,-13,97,84,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
6,64,1,227817,Cedars International Academy,Travis,B,-9,92,83,543,https://txschools.net/district/cedars-international-academy-227817
6,64,1,227829,Valor Education,Travis,B,-9,90,81,4738,https://txschools.net/district/valor-education-227829
8,64,1,227826,Montessori for All,Travis,D,-8,77,69,556,https://txschools.net/district/montessori-for-all-227826
8,64,1,227824,Valere Public Schools,Travis,C,-8,78,70,812,https://txschools.net/district/valere-public-schools-227824
10,64,0,227910,Del Valle ISD,Travis,D,-7,73,66,11766,https://txschools.net/district/del-valle-isd-227910
11,64,1,246906,Hutto ISD,Williamson,C,-6,81,75,11069,https://txschools.net/district/hutto-isd-246906
11,64,1,089903,Nixon-Smiley CISD,Gonzales,C,-6,84,78,994,https://txschools.net/district/nixon-smiley-cisd-089903
13,64,3,086024,Doss Consolidated CSD,Gillespie,B,-4,89,85,18,https://txschools.net/district/doss-consolidated-csd-086024
13,64,3,016901,Johnson City ISD,Blanco,B,-4,87,83,677,https://txschools.net/district/johnson-city-isd-016901
13,64,3,028906,Prairie Lea ISD,Caldwell,F,-4,56,52,276,https://txschools.net/district/prairie-lea-isd-028906
13,64,3,075903,Schulenburg ISD,Fayette,C,-4,81,77,644,https://txschools.net/district/schulenburg-isd-075903
17,64,1,227912,Lago Vista ISD,Travis,C,-3,80,77,1864,https://txschools.net/district/lago-vista-isd-227912
17,64,1,011905,McDade ISD,Bastrop,C,-3,73,70,373,https://txschools.net/district/mcdade-isd-011905
19,64,7,027903,Burnet CISD,Burnet,C,-2,73,71,3224,https://txschools.net/district/burnet-cisd-027903
19,64,7,144901,Giddings ISD,Lee,B,-2,84,82,1798,https://txschools.net/district/giddings-isd-144901
19,64,7,105906,Hays CISD,Hays,B,-2,83,81,24938,https://txschools.net/district/hays-cisd-105906
19,64,7,105801,Katherine Anne Porter School,Hays,D,-2,68,66,76,https://txschools.net/district/katherine-anne-porter-school-105801
19,64,7,144902,Lexington ISD,Lee,B,-2,84,82,1014,https://txschools.net/district/lexington-isd-144902
19,64,7,028903,Luling ISD,Caldwell,C,-2,78,76,1431,https://txschools.net/district/luling-isd-028903
19,64,7,227907,Manor ISD,Travis,D,-2,68,66,9826,https://txschools.net/district/manor-isd-227907
19,64,7,075908,Round Top-Carmine ISD,Fayette,B,-2,91,89,237,https://txschools.net/district/round-top-carmine-isd-075908
