# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-15-districts/overall-score-lowest
# rows: 45 (excluding this header and the column row)
# ranking: Region 15: San Angelo school districts with the lowest overall score in 2025-26
# population: 45 districts of 45 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,45,0,052901,Crane ISD,Crane,D,69,1228,https://txschools.net/district/crane-isd-052901
2,45,1,025905,May ISD,Brown,C,71,257,https://txschools.net/district/may-isd-025905
2,45,1,042903,Santa Anna ISD,Coleman,C,71,245,https://txschools.net/district/santa-anna-isd-042903
4,45,0,134901,Junction ISD,Kimble,C,72,552,https://txschools.net/district/junction-isd-134901
5,45,0,206901,San Saba ISD,San Saba,C,73,686,https://txschools.net/district/san-saba-isd-206901
6,45,0,233903,Comstock ISD,Val Verde,C,74,166,https://txschools.net/district/comstock-isd-233903
7,45,0,233901,San Felipe-Del Rio CISD,Val Verde,C,75,9494,https://txschools.net/district/san-felipe-del-rio-cisd-233901
8,45,0,226903,San Angelo ISD,Tom Green,C,76,12500,https://txschools.net/district/san-angelo-isd-226903
9,45,3,025908,Brookesmith ISD,Brown,C,78,508,https://txschools.net/district/brookesmith-isd-025908
9,45,3,226907,Grape Creek ISD,Tom Green,C,78,1192,https://txschools.net/district/grape-creek-isd-226907
9,45,3,206902,Richland Springs ISD,San Saba,C,78,101,https://txschools.net/district/richland-springs-isd-206902
9,45,3,218901,Sonora ISD,Sutton,C,78,642,https://txschools.net/district/sonora-isd-218901
13,45,0,200904,Winters ISD,Runnels,B,80,499,https://txschools.net/district/winters-isd-200904
14,45,2,025901,Bangs ISD,Brown,B,81,768,https://txschools.net/district/bangs-isd-025901
14,45,2,025904,Blanket ISD,Brown,B,81,151,https://txschools.net/district/blanket-isd-025904
14,45,2,042901,Coleman ISD,Coleman,B,81,740,https://txschools.net/district/coleman-isd-042901
17,45,4,200901,Ballinger ISD,Runnels,B,82,781,https://txschools.net/district/ballinger-isd-200901
17,45,4,133905,Divide ISD,Kerr,B,82,41,https://txschools.net/district/divide-isd-133905
17,45,4,025909,Early ISD,Brown,B,82,1087,https://txschools.net/district/early-isd-025909
17,45,4,042905,Panther Creek CISD,Coleman,B,82,139,https://txschools.net/district/panther-creek-cisd-042905
17,45,4,207901,Schleicher ISD,Schleicher,B,82,383,https://txschools.net/district/schleicher-isd-207901
22,45,4,160901,Brady ISD,McCulloch,B,83,857,https://txschools.net/district/brady-isd-160901
22,45,4,025902,Brownwood ISD,Brown,B,83,3293,https://txschools.net/district/brownwood-isd-025902
22,45,4,053001,Crockett County Consolidated CSD,Crockett,B,83,615,https://txschools.net/district/crockett-county-consolidated-csd-053001
22,45,4,069902,Nueces Canyon CISD,Edwards,B,83,198,https://txschools.net/district/nueces-canyon-cisd-069902
22,45,4,048903,Paint Rock ISD,Concho,B,83,330,https://txschools.net/district/paint-rock-isd-048903
27,45,0,048901,Eden CISD,Concho,B,84,217,https://txschools.net/district/eden-cisd-048901
28,45,3,164901,Menard ISD,Menard,B,85,249,https://txschools.net/district/menard-isd-164901
28,45,3,200906,Olfen ISD,Runnels,B,85,137,https://txschools.net/district/olfen-isd-200906
28,45,3,041902,Robert Lee ISD,Coke,B,85,253,https://txschools.net/district/robert-lee-isd-041902
28,45,3,025906,Zephyr ISD,Brown,B,85,217,https://txschools.net/district/zephyr-isd-025906
32,45,0,160905,Lohn ISD,McCulloch,B,86,109,https://txschools.net/district/lohn-isd-160905
33,45,1,226901,Christoval ISD,Tom Green,B,87,628,https://txschools.net/district/christoval-isd-226901
33,45,1,069901,Rocksprings ISD,Edwards,B,87,201,https://txschools.net/district/rocksprings-isd-069901
35,45,0,086902,Harper ISD,Gillespie,B,88,566,https://txschools.net/district/harper-isd-086902
36,45,2,206903,Cherokee ISD,San Saba,B,89,127,https://txschools.net/district/cherokee-isd-206903
36,45,2,226908,Veribest ISD,Tom Green,B,89,258,https://txschools.net/district/veribest-isd-226908
36,45,2,226906,Wall ISD,Tom Green,B,89,1306,https://txschools.net/district/wall-isd-226906
39,45,0,041901,Bronte ISD,Coke,A,90,224,https://txschools.net/district/bronte-isd-041901
40,45,0,118902,Irion County ISD,Irion,A,91,307,https://txschools.net/district/irion-county-isd-118902
41,45,1,157901,Mason ISD,Mason,A,92,675,https://txschools.net/district/mason-isd-157901
41,45,1,226905,Water Valley ISD,Tom Green,A,92,305,https://txschools.net/district/water-valley-isd-226905
43,45,0,216901,Sterling City ISD,Sterling,A,94,312,https://txschools.net/district/sterling-city-isd-216901
44,45,1,200902,Miles ISD,Runnels,A,95,497,https://txschools.net/district/miles-isd-200902
44,45,1,160904,Rochelle ISD,McCulloch,A,95,166,https://txschools.net/district/rochelle-isd-160904
