# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-16-districts/overall-score-gains
# rows: 59 (excluding this header and the column row)
# ranking: Region 16: Amarillo school districts with the largest overall score gains since 2021-22
# population: 59 districts of 60 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,59,0,006902,Claude ISD,Armstrong,A,17,79,96,311,https://txschools.net/district/claude-isd-006902
2,59,0,219905,Kress ISD,Swisher,B,14,69,83,278,https://txschools.net/district/kress-isd-219905
3,59,1,219903,Tulia ISD,Swisher,C,10,61,71,730,https://txschools.net/district/tulia-isd-219903
3,59,1,180904,Wildorado ISD,Oldham,A,10,83,93,198,https://txschools.net/district/wildorado-isd-180904
5,59,1,185904,Lazbuddie ISD,Parmer,A,9,81,90,127,https://txschools.net/district/lazbuddie-isd-185904
5,59,1,117904,Plemons-Stinnett-Phillips CISD,Hutchinson,A,9,82,91,529,https://txschools.net/district/plemons-stinnett-phillips-cisd-117904
7,59,3,096904,Memphis ISD,Hall,B,8,77,85,331,https://txschools.net/district/memphis-isd-096904
7,59,3,117903,Sanford-Fritch ISD,Hutchinson,C,8,71,79,714,https://txschools.net/district/sanford-fritch-isd-117903
7,59,3,211902,Stratford ISD,Sherman,B,8,80,88,487,https://txschools.net/district/stratford-isd-211902
7,59,3,056902,Texline ISD,Dallam,A,8,85,93,224,https://txschools.net/district/texline-isd-056902
11,59,0,211901,Texhoma ISD,Sherman,A,7,86,93,96,https://txschools.net/district/texhoma-isd-211901
12,59,1,044902,Wellington ISD,Collingsworth,B,6,83,89,516,https://txschools.net/district/wellington-isd-044902
12,59,1,033904,White Deer ISD,Carson,B,6,80,86,302,https://txschools.net/district/white-deer-isd-033904
14,59,4,188901,Amarillo ISD,Potter,B,5,80,85,28172,https://txschools.net/district/amarillo-isd-188901
14,59,4,185902,Farwell ISD,Parmer,B,5,84,89,570,https://txschools.net/district/farwell-isd-185902
14,59,4,242905,Kelton ISD,Wheeler,B,5,77,82,129,https://txschools.net/district/kelton-isd-242905
14,59,4,090904,Pampa ISD,Gray,C,5,71,76,3036,https://txschools.net/district/pampa-isd-090904
14,59,4,188902,River Road ISD,Potter,B,5,75,80,1183,https://txschools.net/district/river-road-isd-188902
19,59,0,171901,Dumas ISD,Moore,B,4,81,85,4232,https://txschools.net/district/dumas-isd-171901
20,59,2,035902,Hart ISD,Castro,B,3,78,81,208,https://txschools.net/district/hart-isd-035902
20,59,2,242902,Shamrock ISD,Wheeler,C,3,75,78,350,https://txschools.net/district/shamrock-isd-242902
