# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-16-districts/overall-score-lowest
# rows: 59 (excluding this header and the column row)
# ranking: Region 16: Amarillo school districts with the lowest overall score in 2025-26
# population: 59 districts of 60 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,59,0,148905,Darrouzett ISD,Lipscomb,D,67,97,https://txschools.net/district/darrouzett-isd-148905
2,59,0,185901,Bovina ISD,Parmer,D,69,370,https://txschools.net/district/bovina-isd-185901
3,59,1,090905,Grandview-Hopkins ISD,Gray,C,70,44,https://txschools.net/district/grandview-hopkins-isd-090905
3,59,1,090902,Lefors ISD,Gray,C,70,177,https://txschools.net/district/lefors-isd-090902
5,59,1,059901,Hereford ISD,Deaf Smith,C,71,3836,https://txschools.net/district/hereford-isd-059901
5,59,1,219903,Tulia ISD,Swisher,C,71,730,https://txschools.net/district/tulia-isd-219903
7,59,0,148902,Follett ISD,Lipscomb,C,72,170,https://txschools.net/district/follett-isd-148902
8,59,2,056901,Dalhart ISD,Dallam,C,73,1801,https://txschools.net/district/dalhart-isd-056901
8,59,2,185903,Friona ISD,Parmer,C,73,979,https://txschools.net/district/friona-isd-185903
8,59,2,098903,Pringle-Morse CISD,Hansford,C,73,126,https://txschools.net/district/pringle-morse-cisd-098903
11,59,0,090904,Pampa ISD,Gray,C,76,3036,https://txschools.net/district/pampa-isd-090904
12,59,0,035901,Dimmitt ISD,Castro,C,77,1072,https://txschools.net/district/dimmitt-isd-035901
13,59,1,117901,Borger ISD,Hutchinson,C,78,2147,https://txschools.net/district/borger-isd-117901
13,59,1,242902,Shamrock ISD,Wheeler,C,78,350,https://txschools.net/district/shamrock-isd-242902
15,59,1,065901,Clarendon ISD,Donley,C,79,403,https://txschools.net/district/clarendon-isd-065901
15,59,1,117903,Sanford-Fritch ISD,Hutchinson,C,79,714,https://txschools.net/district/sanford-fritch-isd-117903
17,59,1,188902,River Road ISD,Potter,B,80,1183,https://txschools.net/district/river-road-isd-188902
17,59,1,059902,Walcott ISD,Deaf Smith,B,80,138,https://txschools.net/district/walcott-isd-059902
19,59,3,038901,Childress ISD,Childress,B,81,901,https://txschools.net/district/childress-isd-038901
19,59,3,033901,Groom ISD,Carson,B,81,112,https://txschools.net/district/groom-isd-033901
19,59,3,035902,Hart ISD,Castro,B,81,208,https://txschools.net/district/hart-isd-035902
19,59,3,188903,Highland Park ISD,Potter,B,81,723,https://txschools.net/district/highland-park-isd-188903
23,59,3,148901,Booker ISD,Lipscomb,B,82,335,https://txschools.net/district/booker-isd-148901
23,59,3,103901,Channing ISD,Hartley,B,82,118,https://txschools.net/district/channing-isd-103901
23,59,3,242905,Kelton ISD,Wheeler,B,82,129,https://txschools.net/district/kelton-isd-242905
23,59,3,179901,Perryton ISD,Ochiltree,B,82,1698,https://txschools.net/district/perryton-isd-179901
27,59,0,219905,Kress ISD,Swisher,B,83,278,https://txschools.net/district/kress-isd-219905
28,59,3,188901,Amarillo ISD,Potter,B,85,28172,https://txschools.net/district/amarillo-isd-188901
28,59,3,171901,Dumas ISD,Moore,B,85,4232,https://txschools.net/district/dumas-isd-171901
28,59,3,096904,Memphis ISD,Hall,B,85,331,https://txschools.net/district/memphis-isd-096904
28,59,3,171902,Sunray Collegiate ISD,Moore,B,85,548,https://txschools.net/district/sunray-collegiate-isd-171902
32,59,0,033904,White Deer ISD,Carson,B,86,302,https://txschools.net/district/white-deer-isd-033904
33,59,3,191901,Canyon ISD,Randall,B,87,11527,https://txschools.net/district/canyon-isd-191901
33,59,3,242906,Fort Elliott CISD,Wheeler,B,87,133,https://txschools.net/district/fort-elliott-cisd-242906
33,59,3,090903,McLean ISD,Gray,B,87,177,https://txschools.net/district/mclean-isd-090903
33,59,3,098904,Spearman ISD,Hansford,B,87,652,https://txschools.net/district/spearman-isd-098904
37,59,1,211902,Stratford ISD,Sherman,B,88,487,https://txschools.net/district/stratford-isd-211902
37,59,1,242903,Wheeler ISD,Wheeler,B,88,341,https://txschools.net/district/wheeler-isd-242903
39,59,3,188904,Bushland ISD,Potter,B,89,1424,https://txschools.net/district/bushland-isd-188904
39,59,3,185902,Farwell ISD,Parmer,B,89,570,https://txschools.net/district/farwell-isd-185902
39,59,3,065902,Hedley ISD,Donley,B,89,85,https://txschools.net/district/hedley-isd-065902
39,59,3,044902,Wellington ISD,Collingsworth,B,89,516,https://txschools.net/district/wellington-isd-044902
43,59,4,180903,Adrian ISD,Oldham,A,90,136,https://txschools.net/district/adrian-isd-180903
43,59,4,219901,Happy ISD,Swisher,A,90,238,https://txschools.net/district/happy-isd-219901
43,59,4,185904,Lazbuddie ISD,Parmer,A,90,127,https://txschools.net/district/lazbuddie-isd-185904
43,59,4,033902,Panhandle ISD,Carson,A,90,576,https://txschools.net/district/panhandle-isd-033902
43,59,4,180902,Vega ISD,Oldham,A,90,354,https://txschools.net/district/vega-isd-180902
48,59,0,117904,Plemons-Stinnett-Phillips CISD,Hutchinson,A,91,529,https://txschools.net/district/plemons-stinnett-phillips-cisd-117904
49,59,5,106901,Canadian ISD,Hemphill,A,93,675,https://txschools.net/district/canadian-isd-106901
49,59,5,197902,Miami ISD,Roberts,A,93,179,https://txschools.net/district/miami-isd-197902
49,59,5,023902,Silverton ISD,Briscoe,A,93,194,https://txschools.net/district/silverton-isd-023902
49,59,5,211901,Texhoma ISD,Sherman,A,93,96,https://txschools.net/district/texhoma-isd-211901
49,59,5,056902,Texline ISD,Dallam,A,93,224,https://txschools.net/district/texline-isd-056902
49,59,5,180904,Wildorado ISD,Oldham,A,93,198,https://txschools.net/district/wildorado-isd-180904
55,59,1,098901,Gruver ISD,Hansford,A,94,419,https://txschools.net/district/gruver-isd-098901
55,59,1,103902,Hartley ISD,Hartley,A,94,242,https://txschools.net/district/hartley-isd-103902
57,59,1,035903,Nazareth ISD,Castro,A,95,239,https://txschools.net/district/nazareth-isd-035903
57,59,1,096905,Turkey-Quitaque ISD,Hall,A,95,175,https://txschools.net/district/turkey-quitaque-isd-096905
59,59,0,006902,Claude ISD,Armstrong,A,96,311,https://txschools.net/district/claude-isd-006902
