# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-17-districts/overall-score-declines
# rows: 58 (excluding this header and the column row)
# ranking: Region 17: Lubbock school districts with the largest overall score declines since 2021-22
# population: 58 districts of 58 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,58,0,077902,Lockney ISD,Floyd,D,-13,79,66,387,https://txschools.net/district/lockney-isd-077902
2,58,0,085902,Post ISD,Garza,D,-10,79,69,648,https://txschools.net/district/post-isd-085902
3,58,0,083903,Seminole ISD,Gaines,C,-9,84,75,3083,https://txschools.net/district/seminole-isd-083903
4,58,2,152907,Frenship ISD,Lubbock,C,-8,85,77,12042,https://txschools.net/district/frenship-isd-152907
4,58,2,063903,Spur ISD,Dickens,B,-8,88,80,210,https://txschools.net/district/spur-isd-063903
4,58,2,152504,Texas Tech University K-12,Lubbock,B,-8,93,85,829,https://txschools.net/district/texas-tech-university-k-12-152504
7,58,0,110901,Anton ISD,Hockley,C,-6,80,74,171,https://txschools.net/district/anton-isd-110901
8,58,0,251901,Denver City ISD,Yoakum,B,-5,85,80,1395,https://txschools.net/district/denver-city-isd-251901
9,58,0,251902,Plains ISD,Yoakum,C,-4,81,77,413,https://txschools.net/district/plains-isd-251902
10,58,6,152906,Lubbock-Cooper ISD,Lubbock,B,-3,90,87,8094,https://txschools.net/district/lubbock-cooper-isd-152906
10,58,6,009901,Muleshoe ISD,Bailey,B,-3,84,81,1309,https://txschools.net/district/muleshoe-isd-009901
10,58,6,095904,Petersburg ISD,Hale,A,-3,95,92,230,https://txschools.net/district/petersburg-isd-095904
10,58,6,095905,Plainview ISD,Hale,C,-3,79,76,3811,https://txschools.net/district/plainview-isd-095905
10,58,6,152909,Shallowater ISD,Lubbock,B,-3,92,89,1714,https://txschools.net/district/shallowater-isd-152909
10,58,6,152903,Slaton ISD,Lubbock,C,-3,77,74,1308,https://txschools.net/district/slaton-isd-152903
10,58,6,153907,Wilson ISD,Lynn,C,-3,78,75,120,https://txschools.net/district/wilson-isd-153907
17,58,2,140901,Amherst ISD,Lamb,B,-2,83,81,102,https://txschools.net/district/amherst-isd-140901
17,58,2,054901,Crosbyton CISD,Crosby,C,-2,78,76,293,https://txschools.net/district/crosbyton-cisd-054901
17,58,2,223902,Meadow ISD,Terry,B,-2,87,85,199,https://txschools.net/district/meadow-isd-223902
20,58,2,152910,Idalou ISD,Lubbock,A,-1,91,90,1036,https://txschools.net/district/idalou-isd-152910
20,58,2,110902,Levelland ISD,Hockley,B,-1,81,80,2398,https://txschools.net/district/levelland-isd-110902
20,58,2,110905,Ropes ISD,Hockley,A,-1,94,93,670,https://txschools.net/district/ropes-isd-110905
23,58,1,153903,O'Donnell ISD,Lynn,B,0,88,88,235,https://txschools.net/district/o-donnell-isd-153903
23,58,1,140908,Sudan ISD,Lamb,B,0,87,87,445,https://txschools.net/district/sudan-isd-140908
25,58,7,135001,Guthrie CSD,King,A,1,93,94,99,https://txschools.net/district/guthrie-csd-135001
25,58,7,132902,Jayton-Girard ISD,Kent,A,1,95,96,187,https://txschools.net/district/jayton-girard-isd-132902
25,58,7,058905,Klondike ISD,Dawson,A,1,93,94,269,https://txschools.net/district/klondike-isd-058905
25,58,7,058906,Lamesa ISD,Dawson,C,1,74,75,1373,https://txschools.net/district/lamesa-isd-058906
25,58,7,153905,New Home ISD,Lynn,A,1,91,92,685,https://txschools.net/district/new-home-isd-153905
25,58,7,051901,Paducah ISD,Cottle,B,1,83,84,137,https://txschools.net/district/paducah-isd-051901
25,58,7,153904,Tahoka ISD,Lynn,B,1,86,87,556,https://txschools.net/district/tahoka-isd-153904
25,58,7,223904,Wellman-Union CISD,Terry,A,1,91,92,245,https://txschools.net/district/wellman-union-cisd-223904
33,58,0,110908,Whitharral ISD,Hockley,A,2,95,97,223,https://txschools.net/district/whitharral-isd-110908
34,58,5,095901,Abernathy ISD,Hale,B,3,86,89,775,https://txschools.net/district/abernathy-isd-095901
34,58,5,083902,Loop ISD,Gaines,A,3,93,96,143,https://txschools.net/district/loop-isd-083902
34,58,5,040901,Morton ISD,Cochran,B,3,77,80,350,https://txschools.net/district/morton-isd-040901
34,58,5,152902,New Deal ISD,Lubbock,B,3,84,87,697,https://txschools.net/district/new-deal-isd-152902
34,58,5,058909,Sands CISD,Dawson,A,3,91,94,225,https://txschools.net/district/sands-cisd-058909
34,58,5,110906,Smyer ISD,Hockley,A,3,90,93,433,https://txschools.net/district/smyer-isd-110906
40,58,2,017901,Borden County ISD,Borden,A,4,92,96,238,https://txschools.net/district/borden-county-isd-017901
40,58,2,077901,Floydada Collegiate ISD,Floyd,B,4,82,86,644,https://txschools.net/district/floydada-collegiate-isd-077901
40,58,2,054902,Lorenzo ISD,Crosby,C,4,73,77,175,https://txschools.net/district/lorenzo-isd-054902
43,58,2,223901,Brownfield ISD,Terry,C,5,69,74,1587,https://txschools.net/district/brownfield-isd-223901
43,58,2,152901,Lubbock ISD,Lubbock,B,5,77,82,23029,https://txschools.net/district/lubbock-isd-152901
43,58,2,173901,Motley County ISD,Motley,A,5,87,92,188,https://txschools.net/district/motley-county-isd-173901
46,58,0,095903,Hale Center ISD,Hale,B,6,74,80,553,https://txschools.net/district/hale-center-isd-095903
47,58,1,063906,Patton Springs ISD,Dickens,A,7,93,100,22,https://txschools.net/district/patton-springs-isd-063906
47,58,1,152908,Roosevelt ISD,Lubbock,B,7,76,83,1115,https://txschools.net/district/roosevelt-isd-152908
49,58,0,110907,Sundown ISD,Hockley,A,8,85,93,701,https://txschools.net/district/sundown-isd-110907
50,58,3,095902,Cotton Center ISD,Hale,A,9,81,90,97,https://txschools.net/district/cotton-center-isd-095902
