# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-17-districts/overall-score-highest
# rows: 61 (excluding this header and the column row)
# ranking: Region 17: Lubbock school districts with the highest overall score in 2025-26
# population: 61 districts of 61 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,61,0,063906,Patton Springs ISD,Dickens,A,100,22,https://txschools.net/district/patton-springs-isd-063906
2,61,0,110908,Whitharral ISD,Hockley,A,97,223,https://txschools.net/district/whitharral-isd-110908
3,61,2,017901,Borden County ISD,Borden,A,96,238,https://txschools.net/district/borden-county-isd-017901
3,61,2,132902,Jayton-Girard ISD,Kent,A,96,187,https://txschools.net/district/jayton-girard-isd-132902
3,61,2,083902,Loop ISD,Gaines,A,96,143,https://txschools.net/district/loop-isd-083902
6,61,2,135001,Guthrie CSD,King,A,94,99,https://txschools.net/district/guthrie-csd-135001
6,61,2,058905,Klondike ISD,Dawson,A,94,269,https://txschools.net/district/klondike-isd-058905
6,61,2,058909,Sands CISD,Dawson,A,94,225,https://txschools.net/district/sands-cisd-058909
9,61,4,152802,Rise Academy,Lubbock,A,93,287,https://txschools.net/district/rise-academy-152802
9,61,4,110905,Ropes ISD,Hockley,A,93,670,https://txschools.net/district/ropes-isd-110905
9,61,4,110906,Smyer ISD,Hockley,A,93,433,https://txschools.net/district/smyer-isd-110906
9,61,4,140907,Springlake-Earth ISD,Lamb,A,93,221,https://txschools.net/district/springlake-earth-isd-140907
9,61,4,110907,Sundown ISD,Hockley,A,93,701,https://txschools.net/district/sundown-isd-110907
14,61,3,173901,Motley County ISD,Motley,A,92,188,https://txschools.net/district/motley-county-isd-173901
14,61,3,153905,New Home ISD,Lynn,A,92,685,https://txschools.net/district/new-home-isd-153905
14,61,3,095904,Petersburg ISD,Hale,A,92,230,https://txschools.net/district/petersburg-isd-095904
14,61,3,223904,Wellman-Union CISD,Terry,A,92,245,https://txschools.net/district/wellman-union-cisd-223904
18,61,1,095902,Cotton Center ISD,Hale,A,90,97,https://txschools.net/district/cotton-center-isd-095902
18,61,1,152910,Idalou ISD,Lubbock,A,90,1036,https://txschools.net/district/idalou-isd-152910
20,61,1,095901,Abernathy ISD,Hale,B,89,775,https://txschools.net/district/abernathy-isd-095901
