# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-19-districts/overall-score-highest
# rows: 12 (excluding this header and the column row)
# ranking: Region 19: El Paso school districts with the highest overall score in 2025-26
# population: 12 districts of 12 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,12,0,071905,Ysleta ISD,El Paso,B,88,32593,https://txschools.net/district/ysleta-isd-071905
2,12,0,071909,Socorro ISD,El Paso,B,87,45850,https://txschools.net/district/socorro-isd-071909
3,12,1,071906,Anthony ISD,El Paso,B,86,681,https://txschools.net/district/anthony-isd-071906
3,12,1,071901,Clint ISD,El Paso,B,86,9829,https://txschools.net/district/clint-isd-071901
5,12,0,071902,El Paso ISD,El Paso,B,82,46113,https://txschools.net/district/el-paso-isd-071902
6,12,2,115903,Dell City ISD,Hudspeth,B,80,75,https://txschools.net/district/dell-city-isd-115903
6,12,2,071903,Fabens ISD,El Paso,B,80,1812,https://txschools.net/district/fabens-isd-071903
6,12,2,071908,Tornillo ISD,El Paso,B,80,694,https://txschools.net/district/tornillo-isd-071908
9,12,1,071907,Canutillo ISD,El Paso,C,78,5604,https://txschools.net/district/canutillo-isd-071907
9,12,1,115902,Sierra Blanca ISD,Hudspeth,C,78,97,https://txschools.net/district/sierra-blanca-isd-115902
11,12,0,115901,Ft Hancock ISD,Hudspeth,C,77,390,https://txschools.net/district/ft-hancock-isd-115901
12,12,0,071904,San Elizario ISD,El Paso,C,71,2776,https://txschools.net/district/san-elizario-isd-071904
