# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-20-districts/overall-score-declines
# rows: 58 (excluding this header and the column row)
# ranking: Region 20: San Antonio school districts with the largest overall score declines since 2021-22
# population: 58 districts of 58 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,58,0,254902,La Pryor ISD,Zavala,D,-12,79,67,445,https://txschools.net/district/la-pryor-isd-254902
2,58,1,232902,Sabinal ISD,Uvalde,C,-9,83,74,447,https://txschools.net/district/sabinal-isd-232902
2,58,1,232903,Uvalde CISD,Uvalde,F,-9,68,59,3815,https://txschools.net/district/uvalde-cisd-232903
4,58,1,193902,Leakey ISD,Real,C,-7,79,72,308,https://txschools.net/district/leakey-isd-193902
4,58,1,163908,Medina Valley ISD,Medina,B,-7,89,82,10442,https://txschools.net/district/medina-valley-isd-163908
6,58,1,064903,Carrizo Springs CISD,Dimmit,C,-5,78,73,1796,https://txschools.net/district/carrizo-springs-cisd-064903
6,58,1,007902,Jourdanton ISD,Atascosa,C,-5,83,78,1561,https://txschools.net/district/jourdanton-isd-007902
8,58,2,136901,Brackett ISD,Kinney,C,-4,80,76,490,https://txschools.net/district/brackett-isd-136901
8,58,2,082902,Dilley ISD,Frio,C,-4,78,74,830,https://txschools.net/district/dilley-isd-082902
8,58,2,128904,Falls City ISD,Karnes,A,-4,94,90,452,https://txschools.net/district/falls-city-isd-128904
11,58,8,142901,Cotulla ISD,La Salle,C,-3,81,78,1130,https://txschools.net/district/cotulla-isd-142901
11,58,8,163901,Devine ISD,Medina,C,-3,77,74,1975,https://txschools.net/district/devine-isd-163901
11,58,8,159901,Eagle Pass ISD,Maverick,B,-3,86,83,13415,https://txschools.net/district/eagle-pass-isd-159901
11,58,8,015916,Judson ISD,Bexar,C,-3,74,71,22556,https://txschools.net/district/judson-isd-015916
11,58,8,247903,La Vernia ISD,Wilson,B,-3,87,84,3505,https://txschools.net/district/la-vernia-isd-247903
11,58,8,094904,Marion ISD,Guadalupe,B,-3,86,83,1741,https://txschools.net/district/marion-isd-094904
11,58,8,163903,Natalia ISD,Medina,C,-3,75,72,1301,https://txschools.net/district/natalia-isd-163903
11,58,8,015915,Northside ISD,Bexar,C,-3,81,78,98031,https://txschools.net/district/northside-isd-015915
11,58,8,007905,Pleasanton ISD,Atascosa,C,-3,80,77,3301,https://txschools.net/district/pleasanton-isd-007905
20,58,3,254901,Crystal City ISD,Zavala,C,-2,76,74,1480,https://txschools.net/district/crystal-city-isd-254901
20,58,3,232901,Knippa ISD,Uvalde,A,-2,94,92,408,https://txschools.net/district/knippa-isd-232901
20,58,3,007904,Lytle ISD,Atascosa,D,-2,71,69,1803,https://txschools.net/district/lytle-isd-007904
