# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-20-districts/overall-score-gains
# rows: 78 (excluding this header and the column row)
# ranking: Region 20: San Antonio school districts with the largest overall score gains since 2021-22
# population: 78 districts of 84 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# population: 4 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,78,1,163902,D'Hanis ISD,Medina,A,17,76,93,297,https://txschools.net/district/d-hanis-isd-163902
1,78,1,015825,Lighthouse Public Schools,Bexar,C,17,54,71,481,https://txschools.net/district/lighthouse-public-schools-015825
3,78,1,015822,Jubilee Academies,Bexar,B,13,68,81,5019,https://txschools.net/district/jubilee-academies-015822
3,78,1,014801,Richard Milburn Alter High School (Killeen),Bell,C,13,62,75,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
5,78,1,015806,Legacy Traditional Schools - Texas,Bexar,B,12,68,80,1855,https://txschools.net/district/legacy-traditional-schools-texas-015806
5,78,1,015814,Positive Solutions Charter School,Bexar,B,12,73,85,91,https://txschools.net/district/positive-solutions-charter-school-015814
7,78,3,010902,Bandera ISD,Bandera,C,11,65,76,2159,https://txschools.net/district/bandera-isd-010902
7,78,3,010901,Medina ISD,Bandera,B,11,69,80,239,https://txschools.net/district/medina-isd-010901
7,78,3,015830,Somerset Academies of Texas,Bexar,B,11,73,84,2682,https://txschools.net/district/somerset-academies-of-texas-015830
7,78,3,232904,Utopia ISD,Uvalde,A,11,83,94,190,https://txschools.net/district/utopia-isd-232904
11,78,1,007901,Charlotte ISD,Atascosa,B,10,70,80,422,https://txschools.net/district/charlotte-isd-007901
