# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-20-districts/overall-score-highest
# rows: 82 (excluding this header and the column row)
# ranking: Region 20: San Antonio school districts with the highest overall score in 2025-26
# population: 82 districts of 84 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,82,0,015914,Ft Sam Houston ISD,Bexar,A,95,1543,https://txschools.net/district/ft-sam-houston-isd-015914
2,82,1,015906,Randolph Field ISD,Bexar,A,94,1402,https://txschools.net/district/randolph-field-isd-015906
2,82,1,232904,Utopia ISD,Uvalde,A,94,190,https://txschools.net/district/utopia-isd-232904
4,82,1,015834,Basis Texas,Bexar,A,93,9480,https://txschools.net/district/basis-texas-015834
4,82,1,163902,D'Hanis ISD,Medina,A,93,297,https://txschools.net/district/d-hanis-isd-163902
6,82,2,130901,Boerne ISD,Kendall,A,92,11132,https://txschools.net/district/boerne-isd-130901
6,82,2,133902,Hunt ISD,Kerr,A,92,211,https://txschools.net/district/hunt-isd-133902
6,82,2,232901,Knippa ISD,Uvalde,A,92,408,https://txschools.net/district/knippa-isd-232901
9,82,1,133904,Ingram ISD,Kerr,A,91,1365,https://txschools.net/district/ingram-isd-133904
9,82,1,247904,Poth ISD,Wilson,A,91,967,https://txschools.net/district/poth-isd-247904
11,82,2,128904,Falls City ISD,Karnes,A,90,452,https://txschools.net/district/falls-city-isd-128904
11,82,2,015815,Heritage Academy,Bexar,A,90,574,https://txschools.net/district/heritage-academy-015815
