# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/smith-county-districts/overall-score-highest
# rows: 10 (excluding this header and the column row)
# ranking: Smith County school districts with the highest overall score in 2025-26
# population: 10 districts of 10 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,10,0,212804,UT Tyler University Academy,Smith,A,95,1224,https://txschools.net/district/ut-tyler-university-academy-212804
2,10,0,212903,Lindale ISD,Smith,A,92,4613,https://txschools.net/district/lindale-isd-212903
3,10,0,212906,Whitehouse ISD,Smith,A,90,4840,https://txschools.net/district/whitehouse-isd-212906
4,10,0,212902,Bullard ISD,Smith,B,89,2853,https://txschools.net/district/bullard-isd-212902
5,10,0,212905,Tyler ISD,Smith,B,83,18800,https://txschools.net/district/tyler-isd-212905
6,10,0,212904,Troup ISD,Smith,C,78,1067,https://txschools.net/district/troup-isd-212904
7,10,1,212901,Arp ISD,Smith,C,76,918,https://txschools.net/district/arp-isd-212901
7,10,1,212909,Chapel Hill ISD,Smith,C,76,3186,https://txschools.net/district/chapel-hill-isd-212909
9,10,1,212801,Cumberland Academy,Smith,C,73,1519,https://txschools.net/district/cumberland-academy-212801
9,10,1,212910,Winona ISD,Smith,C,73,1122,https://txschools.net/district/winona-isd-212910
