# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/chronically-absent-highest
# rows: 7358 (excluding this header and the column row)
# ranking: Texas campuses with the highest chronically absent in 2025-26
# population: 7,358 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 288 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
1,7358,1,108909007,PSJA Southwest Early College HS,Pharr-San Juan-Alamo ISD,B,100,1459,https://txschools.net/campus/psja-southwest-early-college-hs-108909007
1,7358,1,101924110,Sheldon Early Childhood Academy,Sheldon ISD,C,100,515,https://txschools.net/campus/sheldon-early-childhood-academy-101924110
3,7358,0,071902020,College Career Technology Academy (Ccta),El Paso ISD,B,95.1,110,https://txschools.net/campus/college-career-technology-academy-ccta-071902020
4,7358,0,003903004,Hackney Learning Center,Lufkin ISD,D,93.8,106,https://txschools.net/campus/hackney-learning-center-003903004
5,7358,0,057903003,Grimes Education Center,Carrollton-Farmers Branch ISD,B,92.3,86,https://txschools.net/campus/grimes-education-center-057903003
6,7358,0,232903003,Crossroads Academy,Uvalde CISD,B,92,57,https://txschools.net/campus/crossroads-academy-232903003
7,7358,0,007905005,Pleasanton ISD School of Choice,Pleasanton ISD,D,90.9,12,https://txschools.net/campus/pleasanton-isd-school-of-choice-007905005
8,7358,0,015905016,Learn4life,Edgewood ISD,C,89.8,230,https://txschools.net/campus/learn4life-015905016
9,7358,0,003902004,Stubblefield Lrn Ctr,Hudson ISD,A,86.4,19,https://txschools.net/campus/stubblefield-lrn-ctr-003902004
10,7358,0,178904009,Coles HS and Educational Center,Corpus Christi ISD,A,85.7,115,https://txschools.net/campus/coles-hs-and-educational-center-178904009
11,7358,0,174904005,Margie Chumbley Academy for Success,Nacogdoches ISD,C,85.2,55,https://txschools.net/campus/margie-chumbley-academy-for-success-174904005
12,7358,0,108907002,Mercedes Academic Academy,Mercedes ISD,A,84.7,131,https://txschools.net/campus/mercedes-academic-academy-108907002
13,7358,0,091903002,Pathways HS,Denison ISD,A,83.5,60,https://txschools.net/campus/pathways-hs-091903002
14,7358,0,227910002,Del Valle Opportunity Ctr,Del Valle ISD,B,83.4,148,https://txschools.net/campus/del-valle-opportunity-ctr-227910002
15,7358,0,108906007,Lamar Academy,McAllen ISD,A,83.3,49,https://txschools.net/campus/lamar-academy-108906007
16,7358,0,146901004,Frederick A Douglass Learning Academy,Cleveland ISD,C,82.3,144,https://txschools.net/campus/frederick-a-douglass-learning-academy-146901004
