# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/closing-the-gaps-lowest
# rows: 7185 (excluding this header and the column row)
# ranking: Texas campuses with the lowest Closing the Gaps in 2025-26
# population: 7,185 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 461 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
1,7185,32,071904104,Alfonso Borrego Sr Elem,San Elizario ISD,F,30,521,https://txschools.net/campus/alfonso-borrego-sr-elem-071904104
1,7185,32,227901101,Allison Elem,Austin ISD,F,30,290,https://txschools.net/campus/allison-elem-227901101
1,7185,32,127901101,Anson Elem,Anson ISD,F,30,371,https://txschools.net/campus/anson-elem-127901101
1,7185,32,095905005,Ash HS,Plainview ISD,D,30,67,https://txschools.net/campus/ash-hs-095905005
1,7185,32,232903108,Batesville School,Uvalde CISD,F,30,106,https://txschools.net/campus/batesville-school-232903108
1,7185,32,166901101,Cameron Elem,Cameron ISD,F,30,288,https://txschools.net/campus/cameron-elem-166901101
1,7185,32,064903103,Carrizo Springs Int,Carrizo Springs CISD,F,30,420,https://txschools.net/campus/carrizo-springs-int-064903103
1,7185,32,210901101,Center Elem,Center ISD,F,30,481,https://txschools.net/campus/center-elem-210901101
1,7185,32,015907116,Collins Garden Elem,San Antonio ISD,F,30,430,https://txschools.net/campus/collins-garden-elem-015907116
1,7185,32,170902106,Creighton Elem,Conroe ISD,F,30,616,https://txschools.net/campus/creighton-elem-170902106
1,7185,32,123910129,Dr Mae E Jones-Clark Elem,Beaumont ISD,F,30,504,https://txschools.net/campus/dr-mae-e-jones-clark-elem-123910129
1,7185,32,015904116,E H Gilbert Elem,Harlandale ISD,F,30,577,https://txschools.net/campus/e-h-gilbert-elem-015904116
1,7185,32,057905216,Edward Titche Elem,Dallas ISD,F,30,679,https://txschools.net/campus/edward-titche-elem-057905216
1,7185,32,108903005,Ee College and Career Center,Edcouch-Elsa ISD,D,30,34,https://txschools.net/campus/ee-college-and-career-center-108903005
1,7185,32,220910101,Effie Morris STEAM Academy,Lake Worth ISD,F,30,429,https://txschools.net/campus/effie-morris-steam-academy-220910101
1,7185,32,011901101,Emile Elem,Bastrop ISD,F,30,578,https://txschools.net/campus/emile-elem-011901101
1,7185,32,123910123,Homer Dr Elem,Beaumont ISD,F,30,427,https://txschools.net/campus/homer-dr-elem-123910123
1,7185,32,071904101,L G Alarcon Elem,San Elizario ISD,F,30,297,https://txschools.net/campus/l-g-alarcon-elem-071904101
1,7185,32,057904108,Lakeridge Elem,Cedar Hill ISD,F,30,418,https://txschools.net/campus/lakeridge-elem-057904108
1,7185,32,232903114,Legacy Elem,Uvalde CISD,F,30,626,https://txschools.net/campus/legacy-elem-232903114
1,7185,32,077902101,Lockney Elem,Lockney ISD,F,30,176,https://txschools.net/campus/lockney-elem-077902101
1,7185,32,109908101,Malone Elem,Malone ISD,F,30,64,https://txschools.net/campus/malone-elem-109908101
1,7185,32,201908101,Overton Elem,Overton ISD,F,30,266,https://txschools.net/campus/overton-elem-201908101
1,7185,32,028906002,Prairie Lea HS,Prairie Lea ISD,F,30,139,https://txschools.net/campus/prairie-lea-hs-028906002
1,7185,32,233901111,Ruben Chavira Elem,San Felipe-Del Rio CISD,F,30,704,https://txschools.net/campus/ruben-chavira-elem-233901111
1,7185,32,020905101,S F Austin Elem,Brazosport ISD,F,30,146,https://txschools.net/campus/s-f-austin-elem-020905101
1,7185,32,178909101,San Pedro Fine Arts Academy,Robstown ISD,F,30,270,https://txschools.net/campus/san-pedro-fine-arts-academy-178909101
1,7185,32,235902111,Shields Elem,Victoria ISD,F,30,373,https://txschools.net/campus/shields-elem-235902111
1,7185,32,105906118,Uhland Elem,Hays CISD,F,30,776,https://txschools.net/campus/uhland-elem-105906118
1,7185,32,015915113,Valley Hi Elem,Northside ISD,F,30,306,https://txschools.net/campus/valley-hi-elem-015915113
1,7185,32,161914129,West Avenue Elem,Waco ISD,F,30,268,https://txschools.net/campus/west-avenue-elem-161914129
1,7185,32,241904106,Wharton Elem,Wharton ISD,F,30,496,https://txschools.net/campus/wharton-elem-241904106
1,7185,32,196902102,Woodsboro Elem,Woodsboro ISD,F,30,159,https://txschools.net/campus/woodsboro-elem-196902102
34,7185,0,123910042,Smith MS,Beaumont ISD,F,32,501,https://txschools.net/campus/smith-ms-123910042
35,7185,3,074903102,Evans Elem,Bonham ISD,F,33,421,https://txschools.net/campus/evans-elem-074903102
35,7185,3,073903103,Marlin Elem,Marlin ISD,F,33,459,https://txschools.net/campus/marlin-elem-073903103
35,7185,3,042903101,Santa Anna Elem,Santa Anna ISD,F,33,144,https://txschools.net/campus/santa-anna-elem-042903101
35,7185,3,201914104,West Rusk Int,West Rusk County Consolidated ISD,F,33,219,https://txschools.net/campus/west-rusk-int-201914104
39,7185,1,161919041,Bruceville-Eddy JH,Bruceville-Eddy ISD,F,34,106,https://txschools.net/campus/bruceville-eddy-jh-161919041
39,7185,1,059901042,Hereford JH,Hereford ISD,F,34,542,https://txschools.net/campus/hereford-jh-059901042
41,7185,2,037904102,East Side Elem,Jacksonville ISD,F,35,615,https://txschools.net/campus/east-side-elem-037904102
41,7185,2,101924104,L E Monahan Elem,Sheldon ISD,F,35,604,https://txschools.net/campus/l-e-monahan-elem-101924104
41,7185,2,107910101,Lapoynor Elem,Lapoynor ISD,F,35,215,https://txschools.net/campus/lapoynor-elem-107910101
44,7185,3,036901041,Anahuac MS,Anahuac ISD,F,36,351,https://txschools.net/campus/anahuac-ms-036901041
44,7185,3,152901061,Atkins MS,Lubbock ISD,F,36,670,https://txschools.net/campus/atkins-ms-152901061
44,7185,3,101917141,Earnesteen Milstead MS,Pasadena ISD,F,36,637,https://txschools.net/campus/earnesteen-milstead-ms-101917141
44,7185,3,067907041,Ranger MS,Ranger ISD,F,36,62,https://txschools.net/campus/ranger-ms-067907041
48,7185,13,079901101,Beasley Elem,Lamar CISD,D,38,484,https://txschools.net/campus/beasley-elem-079901101
48,7185,13,185901041,Bovina MS,Bovina ISD,D,38,79,https://txschools.net/campus/bovina-ms-185901041
48,7185,13,015907118,David Crockett Academy,San Antonio ISD,F,38,744,https://txschools.net/campus/david-crockett-academy-015907118
48,7185,13,174904102,Emeline Carpenter Elem,Nacogdoches ISD,F,38,312,https://txschools.net/campus/emeline-carpenter-elem-174904102
48,7185,13,024901101,Falfurrias Elem,Brooks County ISD,F,38,218,https://txschools.net/campus/falfurrias-elem-024901101
48,7185,13,123910131,Fehl-Price Elem,Beaumont ISD,F,38,318,https://txschools.net/campus/fehl-price-elem-123910131
48,7185,13,037904103,Fred Douglass,Jacksonville ISD,F,38,534,https://txschools.net/campus/fred-douglass-037904103
48,7185,13,229904101,Fred Elem,Warren ISD,F,38,189,https://txschools.net/campus/fred-elem-229904101
48,7185,13,250902101,Hawkins Elem,Hawkins ISD,F,38,367,https://txschools.net/campus/hawkins-elem-250902101
48,7185,13,227910042,John P Ojeda MS,Del Valle ISD,F,38,714,https://txschools.net/campus/john-p-ojeda-ms-227910042
48,7185,13,116905106,Lamar Elem,Greenville ISD,D,38,515,https://txschools.net/campus/lamar-elem-116905106
48,7185,13,170902105,Milam Elem,Conroe ISD,F,38,667,https://txschools.net/campus/milam-elem-170902105
48,7185,13,008902102,Selman Elem,Sealy ISD,F,38,736,https://txschools.net/campus/selman-elem-008902102
48,7185,13,043902103,Sue Evelyn Rattan Elem,Anna ISD,D,38,703,https://txschools.net/campus/sue-evelyn-rattan-elem-043902103
62,7185,2,116903043,Commerce MS,Commerce ISD,F,40,340,https://txschools.net/campus/commerce-ms-116903043
62,7185,2,072910101,Morgan Mill School,Morgan Mill ISD,F,40,132,https://txschools.net/campus/morgan-mill-school-072910101
62,7185,2,227901061,Paredes MS,Austin ISD,F,40,593,https://txschools.net/campus/paredes-ms-227901061
65,7185,13,115901101,Benito Martinez Elem,Ft Hancock ISD,F,41,227,https://txschools.net/campus/benito-martinez-elem-115901101
65,7185,13,220905111,Carter Park Elem,Fort Worth ISD,F,41,488,https://txschools.net/campus/carter-park-elem-220905111
65,7185,13,091906104,Crutchfield Elem,Sherman ISD,F,41,592,https://txschools.net/campus/crutchfield-elem-091906104
65,7185,13,220912108,Dallas Park Elem,Crowley ISD,F,41,573,https://txschools.net/campus/dallas-park-elem-220912108
65,7185,13,108902116,Daniel Singleterry Sr,Donna ISD,F,41,555,https://txschools.net/campus/daniel-singleterry-sr-108902116
65,7185,13,233901112,Dr Fermin Calderon Elem,San Felipe-Del Rio CISD,F,41,604,https://txschools.net/campus/dr-fermin-calderon-elem-233901112
65,7185,13,057905120,F P Caillet Elem,Dallas ISD,D,41,540,https://txschools.net/campus/f-p-caillet-elem-057905120
65,7185,13,101902144,Hill Elem,Aldine ISD,F,41,616,https://txschools.net/campus/hill-elem-101902144
65,7185,13,019913101,Hubbard ISD,Hubbard ISD,F,41,54,https://txschools.net/campus/hubbard-isd-019913101
65,7185,13,175903102,Jose Antonio Navarro Elem,Corsicana ISD,F,41,535,https://txschools.net/campus/jose-antonio-navarro-elem-175903102
65,7185,13,174904112,Mike Moses Elem,Nacogdoches ISD,F,41,484,https://txschools.net/campus/mike-moses-elem-174904112
65,7185,13,018904101,Valley Mills Elem,Valley Mills ISD,D,41,322,https://txschools.net/campus/valley-mills-elem-018904101
65,7185,13,212910101,Winona Elem,Winona ISD,F,41,558,https://txschools.net/campus/winona-elem-212910101
65,7185,13,220905216,Woodway Elem,Fort Worth ISD,F,41,481,https://txschools.net/campus/woodway-elem-220905216
79,7185,7,024901001,Falfurrias HS,Brooks County ISD,D,42,343,https://txschools.net/campus/falfurrias-hs-024901001
79,7185,7,101925041,Huffman MS,Huffman ISD,D,42,916,https://txschools.net/campus/huffman-ms-101925041
79,7185,7,015916047,Kirby STEM Academy,Judson ISD,F,42,447,https://txschools.net/campus/kirby-stem-academy-015916047
79,7185,7,232903044,Morales JH,Uvalde CISD,F,42,654,https://txschools.net/campus/morales-jh-232903044
79,7185,7,083903041,Seminole JH,Seminole ISD,D,42,697,https://txschools.net/campus/seminole-jh-083903041
79,7185,7,108907041,Sgt Manuel Chacon MS,Mercedes ISD,F,42,860,https://txschools.net/campus/sgt-manuel-chacon-ms-108907041
79,7185,7,181907104,Vidor MS,Vidor ISD,D,42,647,https://txschools.net/campus/vidor-ms-181907104
79,7185,7,178915041,West Oso JH,West Oso ISD,F,42,391,https://txschools.net/campus/west-oso-jh-178915041
87,7185,18,108904126,Anne L Magee Elem,Edinburg CISD,D,43,448,https://txschools.net/campus/anne-l-magee-elem-108904126
87,7185,18,101912295,Benavidez Elem,Houston ISD,F,43,689,https://txschools.net/campus/benavidez-elem-101912295
87,7185,18,226903105,Bowie Elem,San Angelo ISD,F,43,358,https://txschools.net/campus/bowie-elem-226903105
87,7185,18,003903122,Brookhollow Elem STEM Academy,Lufkin ISD,F,43,262,https://txschools.net/campus/brookhollow-elem-stem-academy-003903122
87,7185,18,220918110,Comanche Springs Elem,Eagle Mt-Saginaw ISD,F,43,605,https://txschools.net/campus/comanche-springs-elem-220918110
87,7185,18,101912013,Community Services-Sec,Houston ISD,F,43,109,https://txschools.net/campus/community-services-sec-101912013
87,7185,18,175903103,Fannin Elem,Corsicana ISD,F,43,383,https://txschools.net/campus/fannin-elem-175903103
87,7185,18,101912174,Highland Hts Elem,Houston ISD,F,43,422,https://txschools.net/campus/highland-hts-elem-101912174
87,7185,18,057904105,Highlands Elem,Cedar Hill ISD,F,43,384,https://txschools.net/campus/highlands-elem-057904105
87,7185,18,014903122,Hubbard Branch Elem,Belton ISD,F,43,503,https://txschools.net/campus/hubbard-branch-elem-014903122
87,7185,18,019908103,Liberty-Eylau Elem,Liberty-Eylau ISD,F,43,471,https://txschools.net/campus/liberty-eylau-elem-019908103
87,7185,18,123910128,Martin Elem,Beaumont ISD,F,43,530,https://txschools.net/campus/martin-elem-123910128
87,7185,18,105902108,Mendez Elem,San Marcos CISD,D,43,585,https://txschools.net/campus/mendez-elem-105902108
87,7185,18,221904102,Merkel Elem,Merkel ISD,D,43,585,https://txschools.net/campus/merkel-elem-221904102
87,7185,18,015915118,Oak Hills Terrace Elem,Northside ISD,F,43,437,https://txschools.net/campus/oak-hills-terrace-elem-015915118
87,7185,18,015908106,Palo Alto Elem,South San Antonio ISD,F,43,441,https://txschools.net/campus/palo-alto-elem-015908106
87,7185,18,057913101,Pleasant Run Elem,Lancaster ISD,F,43,541,https://txschools.net/campus/pleasant-run-elem-057913101
87,7185,18,102902116,Price T Young Elem,Marshall ISD,F,43,540,https://txschools.net/campus/price-t-young-elem-102902116
87,7185,18,212905101,T J Austin Elem,Tyler ISD,F,43,328,https://txschools.net/campus/t-j-austin-elem-212905101
106,7185,3,227907042,Decker MS,Manor ISD,F,44,609,https://txschools.net/campus/decker-ms-227907042
106,7185,3,248901041,Kermit JH,Kermit ISD,F,44,277,https://txschools.net/campus/kermit-jh-248901041
106,7185,3,091914041,S and S Cons MS,S and S CISD,D,44,260,https://txschools.net/campus/s-and-s-cons-ms-091914041
106,7185,3,146901042,Santa Fe MS,Cleveland ISD,F,44,1256,https://txschools.net/campus/santa-fe-ms-146901042
110,7185,5,027903041,Burnet MS,Burnet CISD,F,45,747,https://txschools.net/campus/burnet-ms-027903041
110,7185,5,129901042,Central MS,Crandall ISD,F,45,627,https://txschools.net/campus/central-ms-129901042
110,7185,5,057903046,Polk MS,Carrollton-Farmers Branch ISD,F,45,1096,https://txschools.net/campus/polk-ms-057903046
110,7185,5,004901041,Rockport-Fulton MS,Rockport-Fulton ISD,D,45,652,https://txschools.net/campus/rockport-fulton-ms-004901041
110,7185,5,241904042,Wharton JH,Wharton ISD,F,45,339,https://txschools.net/campus/wharton-jh-241904042
110,7185,5,057907042,William H Byrd MS,Duncanville ISD,F,45,563,https://txschools.net/campus/william-h-byrd-ms-057907042
116,7185,13,015915123,Adams Hill Elem,Northside ISD,F,46,416,https://txschools.net/campus/adams-hill-elem-015915123
116,7185,13,093904107,Brule Elem,Navasota ISD,D,46,357,https://txschools.net/campus/brule-elem-093904107
116,7185,13,011901103,Cedar Creek Elem,Bastrop ISD,F,46,816,https://txschools.net/campus/cedar-creek-elem-011901103
116,7185,13,220907122,Friendship Elem,Keller ISD,D,46,442,https://txschools.net/campus/friendship-elem-220907122
116,7185,13,043902101,Joe K Bryant Elem,Anna ISD,F,46,557,https://txschools.net/campus/joe-k-bryant-elem-043902101
116,7185,13,161914116,Mountainview Elem,Waco ISD,F,46,334,https://txschools.net/campus/mountainview-elem-161914116
116,7185,13,095905123,North Elem,Plainview ISD,F,46,359,https://txschools.net/campus/north-elem-095905123
116,7185,13,007905103,Pleasanton Elem,Pleasanton ISD,D,46,751,https://txschools.net/campus/pleasanton-elem-007905103
116,7185,13,057914109,Rugel Elem,Mesquite ISD,D,46,260,https://txschools.net/campus/rugel-elem-057914109
