# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/overall-score-highest
# rows: 7646 (excluding this header and the column row)
# ranking: Texas campuses with the highest overall score in 2025-26
# population: 7,646 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
1,7646,3,240901123,Dovalina Elem,Laredo ISD,A,100,382,https://txschools.net/campus/dovalina-elem-240901123
1,7646,3,063906001,Patton Springs School,Patton Springs ISD,A,100,22,https://txschools.net/campus/patton-springs-school-063906001
1,7646,3,057905039,School for the Talented and Gifted,Dallas ISD,A,100,553,https://txschools.net/campus/school-for-the-talented-and-gifted-057905039
1,7646,3,101920018,Spring Branch Academic Institute,Spring Branch ISD,A,100,185,https://txschools.net/campus/spring-branch-academic-institute-101920018
5,7646,29,108906011,Achieve Early College HS,McAllen ISD,A,99,414,https://txschools.net/campus/achieve-early-college-hs-108906011
5,7646,29,101903012,Alief Early College HS,Alief ISD,A,99,398,https://txschools.net/campus/alief-early-college-hs-101903012
5,7646,29,031901008,Brownsville Early College HS,Brownsville ISD,A,99,284,https://txschools.net/campus/brownsville-early-college-hs-031901008
5,7646,29,101912322,Carnegie Vanguard HS,Houston ISD,A,99,874,https://txschools.net/campus/carnegie-vanguard-hs-101912322
5,7646,29,101912323,Challenge Early College HS,Houston ISD,A,99,485,https://txschools.net/campus/challenge-early-college-hs-101912323
5,7646,29,084910010,Clear Horizons Early College HS,Clear Creek ISD,A,99,496,https://txschools.net/campus/clear-horizons-early-college-hs-084910010
5,7646,29,101912026,Debakey HS for Health Prof,Houston ISD,A,99,931,https://txschools.net/campus/debakey-hs-for-health-prof-101912026
5,7646,29,146903041,Devers JH,Devers ISD,A,99,50,https://txschools.net/campus/devers-jh-146903041
5,7646,29,165901006,Early College HS at Midland College,Midland ISD,A,99,384,https://txschools.net/campus/early-college-hs-at-midland-college-165901006
5,7646,29,101912345,East Early College HS,Houston ISD,A,99,463,https://txschools.net/campus/east-early-college-hs-101912345
5,7646,29,108904008,Edinburg Collegiate HS,Edinburg CISD,A,99,534,https://txschools.net/campus/edinburg-collegiate-hs-108904008
5,7646,29,240901105,Farias Elem,Laredo ISD,A,99,566,https://txschools.net/campus/farias-elem-240901105
5,7646,29,101910030,Galena Park ISD Career & Technical ECHS,Galena Park ISD,A,99,472,https://txschools.net/campus/galena-park-isd-career-technical-echs-101910030
5,7646,29,057905035,Irma Rangel Young Women's Leadership School,Dallas ISD,A,99,617,https://txschools.net/campus/irma-rangel-young-women-s-leadership-school-057905035
5,7646,29,061911010,James M Steele Early College HS,Northwest ISD,A,99,341,https://txschools.net/campus/james-m-steele-early-college-hs-061911010
5,7646,29,057905038,Judge Barefoot Sanders Law Magnet,Dallas ISD,A,99,488,https://txschools.net/campus/judge-barefoot-sanders-law-magnet-057905038
5,7646,29,101903006,Kerr HS,Alief ISD,A,99,810,https://txschools.net/campus/kerr-hs-101903006
5,7646,29,101912025,Kinder HS for Performing and Visual Arts,Houston ISD,A,99,798,https://txschools.net/campus/kinder-hs-for-performing-and-visual-arts-101912025
5,7646,29,227901018,Lasa HS,Austin ISD,A,99,1592,https://txschools.net/campus/lasa-hs-227901018
5,7646,29,220908008,Mansfield Frontier STEM Academy,Mansfield ISD,A,99,351,https://txschools.net/campus/mansfield-frontier-stem-academy-220908008
5,7646,29,101912308,North Houston Early College HS,Houston ISD,A,99,486,https://txschools.net/campus/north-houston-early-college-hs-101912308
5,7646,29,108909016,PSJA Collegiate School of Health Professions,Pharr-San Juan-Alamo ISD,A,99,366,https://txschools.net/campus/psja-collegiate-school-of-health-professions-108909016
5,7646,29,057905026,School of Science and Engineering,Dallas ISD,A,99,501,https://txschools.net/campus/school-of-science-and-engineering-057905026
5,7646,29,101919021,Spring Early College Academy,Spring ISD,A,99,406,https://txschools.net/campus/spring-early-college-academy-101919021
5,7646,29,152901024,Talkington School for Young Women Leaders,Lubbock ISD,A,99,428,https://txschools.net/campus/talkington-school-for-young-women-leaders-152901024
5,7646,29,220908009,TCCSE Early College HS at Timberview,Mansfield ISD,A,99,304,https://txschools.net/campus/tccse-early-college-hs-at-timberview-220908009
