# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/overall-score-lowest
# rows: 8475 (excluding this header and the column row)
# ranking: Texas campuses with the lowest overall score in 2025-26
# population: 8,475 campuses of 9,031 campuses are ranked here.
# population: 556 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
1,8475,1,015845001,Celebrate Dyslexia School,Celebrate Dyslexia Schools,F,41,100,https://txschools.net/campus/celebrate-dyslexia-school-015845001
1,8475,1,123910129,Dr Mae E Jones-Clark Elem,Beaumont ISD,F,41,504,https://txschools.net/campus/dr-mae-e-jones-clark-elem-123910129
3,8475,0,221801083,Ignite Community School - Fort Worth,Texas College Preparatory Academies,F,43,615,https://txschools.net/campus/ignite-community-school-fort-worth-221801083
4,8475,3,232903102,Dalton Elem,Uvalde CISD,F,44,732,https://txschools.net/campus/dalton-elem-232903102
4,8475,3,123910123,Homer Dr Elem,Beaumont ISD,F,44,427,https://txschools.net/campus/homer-dr-elem-123910123
4,8475,3,232903114,Legacy Elem,Uvalde CISD,F,44,626,https://txschools.net/campus/legacy-elem-232903114
4,8475,3,109908101,Malone Elem,Malone ISD,F,44,64,https://txschools.net/campus/malone-elem-109908101
8,8475,2,071801005,Davinci Acad for Sci and the Arts at San Antonio,Burnham Wood Charter School District,F,45,114,https://txschools.net/campus/davinci-acad-for-sci-and-the-arts-at-san-antonio-071801005
8,8475,2,077902101,Lockney Elem,Lockney ISD,F,45,176,https://txschools.net/campus/lockney-elem-077902101
8,8475,2,178909101,San Pedro Fine Arts Academy,Robstown ISD,F,45,270,https://txschools.net/campus/san-pedro-fine-arts-academy-178909101
11,8475,1,123910131,Fehl-Price Elem,Beaumont ISD,F,46,318,https://txschools.net/campus/fehl-price-elem-123910131
11,8475,1,123910042,Smith MS,Beaumont ISD,F,46,501,https://txschools.net/campus/smith-ms-123910042
13,8475,3,227901101,Allison Elem,Austin ISD,F,47,290,https://txschools.net/campus/allison-elem-227901101
13,8475,3,057809101,Nova Academy,Nova Academy,F,47,67,https://txschools.net/campus/nova-academy-057809101
13,8475,3,028906002,Prairie Lea HS,Prairie Lea ISD,F,47,139,https://txschools.net/campus/prairie-lea-hs-028906002
13,8475,3,101881001,Up Excellence Academy,Up Excellence Academy,F,47,116,https://txschools.net/campus/up-excellence-academy-101881001
17,8475,11,241904102,C G Sivells Elem,Wharton ISD,F,48,383,https://txschools.net/campus/c-g-sivells-elem-241904102
17,8475,11,064903103,Carrizo Springs Int,Carrizo Springs CISD,F,48,420,https://txschools.net/campus/carrizo-springs-int-064903103
17,8475,11,210901101,Center Elem,Center ISD,F,48,481,https://txschools.net/campus/center-elem-210901101
17,8475,11,210901104,F L Moffett Pri,Center ISD,F,48,628,https://txschools.net/campus/f-l-moffett-pri-210901104
17,8475,11,108807186,IDEA Rise Academy,IDEA Public Schools,F,48,641,https://txschools.net/campus/idea-rise-academy-108807186
17,8475,11,073903103,Marlin Elem,Marlin ISD,F,48,459,https://txschools.net/campus/marlin-elem-073903103
17,8475,11,042903101,Santa Anna Elem,Santa Anna ISD,F,48,144,https://txschools.net/campus/santa-anna-elem-042903101
17,8475,11,015808020,Sherman Inspire Academy,Inspire Academies,F,48,428,https://txschools.net/campus/sherman-inspire-academy-015808020
17,8475,11,057803112,Uplift Williams Prep Ps,Uplift Education,F,48,545,https://txschools.net/campus/uplift-williams-prep-ps-057803112
17,8475,11,161914129,West Avenue Elem,Waco ISD,F,48,268,https://txschools.net/campus/west-avenue-elem-161914129
17,8475,11,241904106,Wharton Elem,Wharton ISD,F,48,496,https://txschools.net/campus/wharton-elem-241904106
17,8475,11,196902102,Woodsboro Elem,Woodsboro ISD,F,48,159,https://txschools.net/campus/woodsboro-elem-196902102
29,8475,8,232903108,Batesville School,Uvalde CISD,F,49,106,https://txschools.net/campus/batesville-school-232903108
29,8475,8,178807101,Corpus Christi Montessori School,Corpus Christi Montessori School,F,49,132,https://txschools.net/campus/corpus-christi-montessori-school-178807101
29,8475,8,174904102,Emeline Carpenter Elem,Nacogdoches ISD,F,49,312,https://txschools.net/campus/emeline-carpenter-elem-174904102
29,8475,8,221801065,Ignite Community School - Fallbrook,Texas College Preparatory Academies,F,49,152,https://txschools.net/campus/ignite-community-school-fallbrook-221801065
29,8475,8,057904108,Lakeridge Elem,Cedar Hill ISD,F,49,418,https://txschools.net/campus/lakeridge-elem-057904108
