# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/school-progress-highest
# rows: 7238 (excluding this header and the column row)
# ranking: Texas campuses with the highest School Progress in 2025-26
# population: 7,238 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 408 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
1,7238,2,240901123,Dovalina Elem,Laredo ISD,A,100,382,https://txschools.net/campus/dovalina-elem-240901123
1,7238,2,063906001,Patton Springs School,Patton Springs ISD,A,100,22,https://txschools.net/campus/patton-springs-school-063906001
1,7238,2,101920018,Spring Branch Academic Institute,Spring Branch ISD,A,100,185,https://txschools.net/campus/spring-branch-academic-institute-101920018
4,7238,4,101912322,Carnegie Vanguard HS,Houston ISD,A,99,874,https://txschools.net/campus/carnegie-vanguard-hs-101912322
4,7238,4,240901105,Farias Elem,Laredo ISD,A,99,566,https://txschools.net/campus/farias-elem-240901105
4,7238,4,014906006,Pathways Academic Campus,Killeen ISD,A,99,247,https://txschools.net/campus/pathways-academic-campus-014906006
4,7238,4,057905039,School for the Talented and Gifted,Dallas ISD,A,99,553,https://txschools.net/campus/school-for-the-talented-and-gifted-057905039
4,7238,4,057905026,School of Science and Engineering,Dallas ISD,A,99,501,https://txschools.net/campus/school-of-science-and-engineering-057905026
9,7238,37,108906011,Achieve Early College HS,McAllen ISD,A,98,414,https://txschools.net/campus/achieve-early-college-hs-108906011
9,7238,37,101903012,Alief Early College HS,Alief ISD,A,98,398,https://txschools.net/campus/alief-early-college-hs-101903012
9,7238,37,220901011,Arlington Collegiate HS,Arlington ISD,A,98,380,https://txschools.net/campus/arlington-collegiate-hs-220901011
9,7238,37,220915003,Azle Hornet Academy,Azle ISD,A,98,44,https://txschools.net/campus/azle-hornet-academy-220915003
9,7238,37,031901008,Brownsville Early College HS,Brownsville ISD,A,98,284,https://txschools.net/campus/brownsville-early-college-hs-031901008
9,7238,37,101912323,Challenge Early College HS,Houston ISD,A,98,485,https://txschools.net/campus/challenge-early-college-hs-101912323
9,7238,37,101912026,Debakey HS for Health Prof,Houston ISD,A,98,931,https://txschools.net/campus/debakey-hs-for-health-prof-101912026
9,7238,37,146903041,Devers JH,Devers ISD,A,98,50,https://txschools.net/campus/devers-jh-146903041
9,7238,37,057905090,Dr Wright L Lassiter Jr Early College HS,Dallas ISD,A,98,287,https://txschools.net/campus/dr-wright-l-lassiter-jr-early-college-hs-057905090
9,7238,37,165901006,Early College HS at Midland College,Midland ISD,A,98,384,https://txschools.net/campus/early-college-hs-at-midland-college-165901006
9,7238,37,101912345,East Early College HS,Houston ISD,A,98,463,https://txschools.net/campus/east-early-college-hs-101912345
9,7238,37,108904008,Edinburg Collegiate HS,Edinburg CISD,A,98,534,https://txschools.net/campus/edinburg-collegiate-hs-108904008
9,7238,37,101910030,Galena Park ISD Career & Technical ECHS,Galena Park ISD,A,98,472,https://txschools.net/campus/galena-park-isd-career-technical-echs-101910030
9,7238,37,031903005,Harlingen Collegiate HS,Harlingen CISD,A,98,330,https://txschools.net/campus/harlingen-collegiate-hs-031903005
9,7238,37,240901008,Hector J Garcia Early College HS,Laredo ISD,A,98,392,https://txschools.net/campus/hector-j-garcia-early-college-hs-240901008
