# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/school-progress-lowest
# rows: 8061 (excluding this header and the column row)
# ranking: Texas campuses with the lowest School Progress in 2025-26
# population: 8,061 campuses of 9,031 campuses are ranked here.
# population: 556 were not rated by TEA for 2025-26 and are not ranked.
# population: 414 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
1,8061,0,129906004,Terrell Alternative Education Center/Phoenix Sch,Terrell ISD,C,42,32,https://txschools.net/campus/terrell-alternative-education-center-phoenix-sch-129906004
2,8061,1,123910129,Dr Mae E Jones-Clark Elem,Beaumont ISD,F,45,504,https://txschools.net/campus/dr-mae-e-jones-clark-elem-123910129
2,8061,1,182903002,Mineral Wells Academy,Mineral Wells ISD,B,45,29,https://txschools.net/campus/mineral-wells-academy-182903002
4,8061,0,015845001,Celebrate Dyslexia School,Celebrate Dyslexia Schools,F,46,100,https://txschools.net/campus/celebrate-dyslexia-school-015845001
5,8061,2,221801083,Ignite Community School - Fort Worth,Texas College Preparatory Academies,F,48,615,https://txschools.net/campus/ignite-community-school-fort-worth-221801083
5,8061,2,214901006,The Lead Center,Rio Grande City Grulla ISD,D,48,11,https://txschools.net/campus/the-lead-center-214901006
5,8061,2,101881001,Up Excellence Academy,Up Excellence Academy,F,48,116,https://txschools.net/campus/up-excellence-academy-101881001
8,8061,0,123910131,Fehl-Price Elem,Beaumont ISD,F,49,318,https://txschools.net/campus/fehl-price-elem-123910131
9,8061,5,123910123,Homer Dr Elem,Beaumont ISD,F,50,427,https://txschools.net/campus/homer-dr-elem-123910123
9,8061,5,232903114,Legacy Elem,Uvalde CISD,F,50,626,https://txschools.net/campus/legacy-elem-232903114
9,8061,5,109908101,Malone Elem,Malone ISD,F,50,64,https://txschools.net/campus/malone-elem-109908101
9,8061,5,114801001,Pathway Academy,Pathway Academy,F,50,130,https://txschools.net/campus/pathway-academy-114801001
9,8061,5,015808020,Sherman Inspire Academy,Inspire Academies,F,50,428,https://txschools.net/campus/sherman-inspire-academy-015808020
9,8061,5,161914130,South Waco Elem,Waco ISD,F,50,609,https://txschools.net/campus/south-waco-elem-161914130
15,8061,2,108903004,Edcouch-Elsa HS Academy,Edcouch-Elsa ISD,C,51,16,https://txschools.net/campus/edcouch-elsa-hs-academy-108903004
15,8061,2,077902101,Lockney Elem,Lockney ISD,F,51,176,https://txschools.net/campus/lockney-elem-077902101
15,8061,2,015916105,Park Village Blended Learning Academy,Judson ISD,F,51,343,https://txschools.net/campus/park-village-blended-learning-academy-015916105
18,8061,5,113901102,Crockett Elem,Crockett ISD,F,52,351,https://txschools.net/campus/crockett-elem-113901102
18,8061,5,071801005,Davinci Acad for Sci and the Arts at San Antonio,Burnham Wood Charter School District,F,52,114,https://txschools.net/campus/davinci-acad-for-sci-and-the-arts-at-san-antonio-071801005
18,8061,5,015907137,Hirsch Elem,San Antonio ISD,F,52,540,https://txschools.net/campus/hirsch-elem-015907137
18,8061,5,043902101,Joe K Bryant Elem,Anna ISD,F,52,557,https://txschools.net/campus/joe-k-bryant-elem-043902101
18,8061,5,178909101,San Pedro Fine Arts Academy,Robstown ISD,F,52,270,https://txschools.net/campus/san-pedro-fine-arts-academy-178909101
18,8061,5,123910042,Smith MS,Beaumont ISD,F,52,501,https://txschools.net/campus/smith-ms-123910042
24,8061,8,101912013,Community Services-Sec,Houston ISD,F,53,109,https://txschools.net/campus/community-services-sec-101912013
24,8061,8,161921104,Connally Elem,Connally ISD,F,53,269,https://txschools.net/campus/connally-elem-161921104
24,8061,8,163901005,Devine Learning Academy,Devine ISD,D,53,35,https://txschools.net/campus/devine-learning-academy-163901005
24,8061,8,174904102,Emeline Carpenter Elem,Nacogdoches ISD,F,53,312,https://txschools.net/campus/emeline-carpenter-elem-174904102
24,8061,8,227901178,Jordan Elem,Austin ISD,F,53,482,https://txschools.net/campus/jordan-elem-227901178
24,8061,8,248901101,Kermit Elem,Kermit ISD,F,53,593,https://txschools.net/campus/kermit-elem-248901101
