# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/student-achievement-highest
# rows: 8089 (excluding this header and the column row)
# ranking: Texas campuses with the highest Student Achievement in 2025-26
# population: 8,089 campuses of 9,031 campuses are ranked here.
# population: 556 were not rated by TEA for 2025-26 and are not ranked.
# population: 386 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
1,8089,1,057905039,School for the Talented and Gifted,Dallas ISD,A,100,553,https://txschools.net/campus/school-for-the-talented-and-gifted-057905039
1,8089,1,101920018,Spring Branch Academic Institute,Spring Branch ISD,A,100,185,https://txschools.net/campus/spring-branch-academic-institute-101920018
3,8089,8,101912322,Carnegie Vanguard HS,Houston ISD,A,99,874,https://txschools.net/campus/carnegie-vanguard-hs-101912322
3,8089,8,101912026,Debakey HS for Health Prof,Houston ISD,A,99,931,https://txschools.net/campus/debakey-hs-for-health-prof-101912026
3,8089,8,227901018,Lasa HS,Austin ISD,A,99,1592,https://txschools.net/campus/lasa-hs-227901018
3,8089,8,220908008,Mansfield Frontier STEM Academy,Mansfield ISD,A,99,351,https://txschools.net/campus/mansfield-frontier-stem-academy-220908008
3,8089,8,057910135,School for the Highly Gifted,Grand Prairie ISD,A,99,158,https://txschools.net/campus/school-for-the-highly-gifted-057910135
3,8089,8,057905026,School of Science and Engineering,Dallas ISD,A,99,501,https://txschools.net/campus/school-of-science-and-engineering-057905026
3,8089,8,057905384,Sudie L Williams Talented and Gifted Academy,Dallas ISD,A,99,452,https://txschools.net/campus/sudie-l-williams-talented-and-gifted-academy-057905384
3,8089,8,101921005,Tomball Star Academy,Tomball ISD,A,99,414,https://txschools.net/campus/tomball-star-academy-101921005
3,8089,8,057905217,William B Travis Vanguard Acad of Academically Tag,Dallas ISD,A,99,536,https://txschools.net/campus/william-b-travis-vanguard-acad-of-academically-tag-057905217
12,8089,56,108906011,Achieve Early College HS,McAllen ISD,A,98,414,https://txschools.net/campus/achieve-early-college-hs-108906011
12,8089,56,101903012,Alief Early College HS,Alief ISD,A,98,398,https://txschools.net/campus/alief-early-college-hs-101903012
12,8089,56,220901011,Arlington Collegiate HS,Arlington ISD,A,98,380,https://txschools.net/campus/arlington-collegiate-hs-220901011
12,8089,56,015834007,Basis Cedar Park,Basis Texas,A,98,499,https://txschools.net/campus/basis-cedar-park-015834007
12,8089,56,015834001,Basis San Antonio- Shavano Campus,Basis Texas,A,98,1111,https://txschools.net/campus/basis-san-antonio-shavano-campus-015834001
12,8089,56,057905034,Booker T Washington Spva Magnet,Dallas ISD,A,98,977,https://txschools.net/campus/booker-t-washington-spva-magnet-057905034
12,8089,56,031901008,Brownsville Early College HS,Brownsville ISD,A,98,284,https://txschools.net/campus/brownsville-early-college-hs-031901008
12,8089,56,126902007,Burleson Collegiate HS,Burleson ISD,A,98,172,https://txschools.net/campus/burleson-collegiate-hs-126902007
12,8089,56,165901126,Carver Center,Midland ISD,A,98,606,https://txschools.net/campus/carver-center-165901126
12,8089,56,101912323,Challenge Early College HS,Houston ISD,A,98,485,https://txschools.net/campus/challenge-early-college-hs-101912323
12,8089,56,227814001,Chaparral Star Academy,Chaparral Star Academy,A,98,385,https://txschools.net/campus/chaparral-star-academy-227814001
12,8089,56,084910010,Clear Horizons Early College HS,Clear Creek ISD,A,98,496,https://txschools.net/campus/clear-horizons-early-college-hs-084910010
12,8089,56,178904008,Collegiate HS,Corpus Christi ISD,A,98,387,https://txschools.net/campus/collegiate-hs-178904008
12,8089,56,011901005,Colorado River Collegiate Academy,Bastrop ISD,A,98,210,https://txschools.net/campus/colorado-river-collegiate-academy-011901005
12,8089,56,101920048,Cornerstone Academy,Spring Branch ISD,A,98,438,https://txschools.net/campus/cornerstone-academy-101920048
12,8089,56,101921112,Creekside Forest Elem,Tomball ISD,A,98,631,https://txschools.net/campus/creekside-forest-elem-101921112
12,8089,56,057905090,Dr Wright L Lassiter Jr Early College HS,Dallas ISD,A,98,287,https://txschools.net/campus/dr-wright-l-lassiter-jr-early-college-hs-057905090
12,8089,56,165901006,Early College HS at Midland College,Midland ISD,A,98,384,https://txschools.net/campus/early-college-hs-at-midland-college-165901006
12,8089,56,101912345,East Early College HS,Houston ISD,A,98,463,https://txschools.net/campus/east-early-college-hs-101912345
12,8089,56,108904008,Edinburg Collegiate HS,Edinburg CISD,A,98,534,https://txschools.net/campus/edinburg-collegiate-hs-108904008
12,8089,56,101910030,Galena Park ISD Career & Technical ECHS,Galena Park ISD,A,98,472,https://txschools.net/campus/galena-park-isd-career-technical-echs-101910030
12,8089,56,129903003,Gary W Campbell HS,Kaufman ISD,A,98,19,https://txschools.net/campus/gary-w-campbell-hs-129903003
12,8089,56,098901001,Gruver HS,Gruver ISD,A,98,139,https://txschools.net/campus/gruver-hs-098901001
12,8089,56,031903005,Harlingen Collegiate HS,Harlingen CISD,A,98,330,https://txschools.net/campus/harlingen-collegiate-hs-031903005
12,8089,56,240901008,Hector J Garcia Early College HS,Laredo ISD,A,98,392,https://txschools.net/campus/hector-j-garcia-early-college-hs-240901008
12,8089,56,046902008,Hill Country College Prep HS,Comal ISD,A,98,264,https://txschools.net/campus/hill-country-college-prep-hs-046902008
12,8089,56,092903117,Hudson Elem,Longview ISD,A,98,430,https://txschools.net/campus/hudson-elem-092903117
12,8089,56,057905035,Irma Rangel Young Women's Leadership School,Dallas ISD,A,98,617,https://txschools.net/campus/irma-rangel-young-women-s-leadership-school-057905035
12,8089,56,061911010,James M Steele Early College HS,Northwest ISD,A,98,341,https://txschools.net/campus/james-m-steele-early-college-hs-061911010
12,8089,56,057905038,Judge Barefoot Sanders Law Magnet,Dallas ISD,A,98,488,https://txschools.net/campus/judge-barefoot-sanders-law-magnet-057905038
12,8089,56,220907007,Keller Collegiate Academy,Keller ISD,A,98,254,https://txschools.net/campus/keller-collegiate-academy-220907007
12,8089,56,101903006,Kerr HS,Alief ISD,A,98,810,https://txschools.net/campus/kerr-hs-101903006
12,8089,56,101912025,Kinder HS for Performing and Visual Arts,Houston ISD,A,98,798,https://txschools.net/campus/kinder-hs-for-performing-and-visual-arts-101912025
12,8089,56,043905058,Lawler MS,Frisco ISD,A,98,927,https://txschools.net/campus/lawler-ms-043905058
12,8089,56,019907116,Martha & Josh Morriss Math & Engineering Elem,Texarkana ISD,A,98,328,https://txschools.net/campus/martha-josh-morriss-math-engineering-elem-019907116
12,8089,56,057905033,Marvin E Robinson School of Business and Mgmt,Dallas ISD,A,98,463,https://txschools.net/campus/marvin-e-robinson-school-of-business-and-mgmt-057905033
12,8089,56,046902007,Memorial Early College HS,Comal ISD,A,98,290,https://txschools.net/campus/memorial-early-college-hs-046902007
12,8089,56,101912308,North Houston Early College HS,Houston ISD,A,98,486,https://txschools.net/campus/north-houston-early-college-hs-101912308
12,8089,56,057905387,North Lake Early College HS,Dallas ISD,A,98,311,https://txschools.net/campus/north-lake-early-college-hs-057905387
12,8089,56,183801003,Panola Early College HS,Panola Charter School,A,98,52,https://txschools.net/campus/panola-early-college-hs-183801003
