# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/academic-growth-declines
# rows: 1174 (excluding this header and the column row)
# ranking: Texas school districts with the largest Academic Growth declines since 2023-24
# population: 1,174 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 8 have no figure at the start of the window and are not ranked.
# population: 2 have no figure at the end of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2023_24,2025_26,enrollment,url
1,1174,0,244905,Northside ISD,Wilbarger,B,-35,87,52,246,https://txschools.net/district/northside-isd-244905
2,1174,0,143904,Vysehrad ISD,Lavaca,D,-28,90,62,46,https://txschools.net/district/vysehrad-isd-143904
3,1174,0,109908,Malone ISD,Hill,F,-26,74,48,64,https://txschools.net/district/malone-isd-109908
4,1174,0,206903,Cherokee ISD,San Saba,B,-25,83,58,127,https://txschools.net/district/cherokee-isd-206903
5,1174,2,228904,Centerville ISD,Trinity,D,-24,81,57,143,https://txschools.net/district/centerville-isd-228904
5,1174,2,019913,Hubbard ISD,Bowie,F,-24,71,47,54,https://txschools.net/district/hubbard-isd-019913
5,1174,2,109910,Mount Calm ISD,Hill,C,-24,82,58,176,https://txschools.net/district/mount-calm-isd-109910
8,1174,0,013801,St Mary's Academy Charter School,Bee,C,-23,88,65,329,https://txschools.net/district/st-mary-s-academy-charter-school-013801
9,1174,0,213801,Brazos River Charter School,Somervell,C,-22,91,69,60,https://txschools.net/district/brazos-river-charter-school-213801
10,1174,1,166907,Buckholts ISD,Milam,C,-20,72,52,107,https://txschools.net/district/buckholts-isd-166907
10,1174,1,066005,Ramirez CSD,Duval,D,-20,85,65,24,https://txschools.net/district/ramirez-csd-066005
12,1174,1,115902,Sierra Blanca ISD,Hudspeth,C,-19,74,55,97,https://txschools.net/district/sierra-blanca-isd-115902
12,1174,1,143905,Sweet Home ISD,Lavaca,C,-19,82,63,164,https://txschools.net/district/sweet-home-isd-143905
14,1174,2,065901,Clarendon ISD,Donley,C,-17,78,61,403,https://txschools.net/district/clarendon-isd-065901
14,1174,2,138902,Knox City-O'Brien CISD,Knox,A,-17,82,65,183,https://txschools.net/district/knox-city-o-brien-cisd-138902
14,1174,2,232904,Utopia ISD,Uvalde,A,-17,87,70,190,https://txschools.net/district/utopia-isd-232904
17,1174,6,041901,Bronte ISD,Coke,A,-16,83,67,224,https://txschools.net/district/bronte-isd-041901
17,1174,6,099902,Chillicothe ISD,Hardeman,B,-16,74,58,172,https://txschools.net/district/chillicothe-isd-099902
17,1174,6,018908,Cranfills Gap ISD,Bosque,B,-16,74,58,116,https://txschools.net/district/cranfills-gap-isd-018908
17,1174,6,220811,East Fort Worth Montessori Academy,Tarrant,D,-16,71,55,106,https://txschools.net/district/east-fort-worth-montessori-academy-220811
17,1174,6,072802,Erath Excels Academy Inc,Erath,B,-16,94,78,111,https://txschools.net/district/erath-excels-academy-inc-072802
