# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/academic-growth-highest
# rows: 1018 (excluding this header and the column row)
# ranking: Texas school districts with the highest Academic Growth in 2025-26
# population: 1,018 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 1 reported no figure for this measure and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1018,0,063906,Patton Springs ISD,Dickens,A,100,22,https://txschools.net/district/patton-springs-isd-063906
2,1018,0,169908,Montague ISD,Montague,A,94,170,https://txschools.net/district/montague-isd-169908
3,1018,0,035903,Nazareth ISD,Castro,A,93,239,https://txschools.net/district/nazareth-isd-035903
4,1018,3,019914,Leary ISD,Bowie,A,92,106,https://txschools.net/district/leary-isd-019914
4,1018,3,182906,Palo Pinto ISD,Palo Pinto,A,92,92,https://txschools.net/district/palo-pinto-isd-182906
4,1018,3,211901,Texhoma ISD,Sherman,A,92,96,https://txschools.net/district/texhoma-isd-211901
4,1018,3,073904,Westphalia ISD,Falls,A,92,148,https://txschools.net/district/westphalia-isd-073904
8,1018,2,198901,Bremond ISD,Robertson,A,90,461,https://txschools.net/district/bremond-isd-198901
8,1018,2,156905,Grady ISD,Martin,A,90,242,https://txschools.net/district/grady-isd-156905
8,1018,2,112909,Saltillo ISD,Hopkins,A,90,236,https://txschools.net/district/saltillo-isd-112909
11,1018,2,128904,Falls City ISD,Karnes,A,88,452,https://txschools.net/district/falls-city-isd-128904
11,1018,2,075901,Flatonia ISD,Fayette,A,88,675,https://txschools.net/district/flatonia-isd-075901
11,1018,2,085903,Southland ISD,Garza,B,88,145,https://txschools.net/district/southland-isd-085903
14,1018,3,177903,Blackwell CISD,Nolan,A,87,171,https://txschools.net/district/blackwell-cisd-177903
14,1018,3,167904,Priddy ISD,Mills,A,87,90,https://txschools.net/district/priddy-isd-167904
14,1018,3,211902,Stratford ISD,Sherman,B,87,487,https://txschools.net/district/stratford-isd-211902
14,1018,3,091910,Whitewright ISD,Grayson,B,87,791,https://txschools.net/district/whitewright-isd-091910
18,1018,10,005901,Archer City ISD,Archer,A,86,486,https://txschools.net/district/archer-city-isd-005901
18,1018,10,217901,Aspermont ISD,Stonewall,A,86,210,https://txschools.net/district/aspermont-isd-217901
18,1018,10,174911,Douglass ISD,Nacogdoches,A,86,405,https://txschools.net/district/douglass-isd-174911
18,1018,10,057911,Highland Park ISD,Dallas,A,86,6215,https://txschools.net/district/highland-park-isd-057911
18,1018,10,043919,Lovejoy ISD,Collin,A,86,3841,https://txschools.net/district/lovejoy-isd-043919
18,1018,10,062906,Meyersville ISD,Dewitt,B,86,167,https://txschools.net/district/meyersville-isd-062906
18,1018,10,075908,Round Top-Carmine ISD,Fayette,B,86,237,https://txschools.net/district/round-top-carmine-isd-075908
18,1018,10,143903,Shiner ISD,Lavaca,A,86,700,https://txschools.net/district/shiner-isd-143903
18,1018,10,122902,Valentine ISD,Jeff Davis,B,86,28,https://txschools.net/district/valentine-isd-122902
18,1018,10,045905,Weimar ISD,Colorado,A,86,735,https://txschools.net/district/weimar-isd-045905
18,1018,10,043914,Wylie ISD,Collin,A,86,19400,https://txschools.net/district/wylie-isd-043914
29,1018,19,184907,Aledo ISD,Parker,A,85,8590,https://txschools.net/district/aledo-isd-184907
29,1018,19,061910,Argyle ISD,Denton,A,85,6551,https://txschools.net/district/argyle-isd-061910
