# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/all-subjects-approaches-grade-level-highest
# rows: 1019 (excluding this header and the column row)
# ranking: Texas school districts with the highest All Subjects — Approaches in 2025-26
# population: 1,019 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1019,0,146903,Devers ISD,Liberty,A,98,198,https://txschools.net/district/devers-isd-146903
2,1019,1,057911,Highland Park ISD,Dallas,A,97,6215,https://txschools.net/district/highland-park-isd-057911
2,1019,1,133902,Hunt ISD,Kerr,A,97,211,https://txschools.net/district/hunt-isd-133902
4,1019,5,177903,Blackwell CISD,Nolan,A,96,171,https://txschools.net/district/blackwell-cisd-177903
4,1019,5,043919,Lovejoy ISD,Collin,A,96,3841,https://txschools.net/district/lovejoy-isd-043919
4,1019,5,198906,Mumford ISD,Robertson,A,96,600,https://txschools.net/district/mumford-isd-198906
4,1019,5,035903,Nazareth ISD,Castro,A,96,239,https://txschools.net/district/nazareth-isd-035903
4,1019,5,182906,Palo Pinto ISD,Palo Pinto,A,96,92,https://txschools.net/district/palo-pinto-isd-182906
4,1019,5,015906,Randolph Field ISD,Bexar,A,96,1402,https://txschools.net/district/randolph-field-isd-015906
10,1019,6,220919,Carroll ISD,Tarrant,A,95,7866,https://txschools.net/district/carroll-isd-220919
10,1019,6,227909,Eanes ISD,Travis,A,95,7524,https://txschools.net/district/eanes-isd-227909
10,1019,6,128904,Falls City ISD,Karnes,A,95,452,https://txschools.net/district/falls-city-isd-128904
10,1019,6,156905,Grady ISD,Martin,A,95,242,https://txschools.net/district/grady-isd-156905
10,1019,6,177905,Highland ISD,Nolan,A,95,211,https://txschools.net/district/highland-isd-177905
10,1019,6,073904,Westphalia ISD,Falls,A,95,148,https://txschools.net/district/westphalia-isd-073904
10,1019,6,110908,Whitharral ISD,Hockley,A,95,223,https://txschools.net/district/whitharral-isd-110908
17,1019,4,163902,D'Hanis ISD,Medina,A,94,297,https://txschools.net/district/d-hanis-isd-163902
17,1019,4,098901,Gruver ISD,Hansford,A,94,419,https://txschools.net/district/gruver-isd-098901
17,1019,4,162904,McMullen County ISD,McMullen,A,94,286,https://txschools.net/district/mcmullen-county-isd-162904
17,1019,4,019911,Red Lick ISD,Bowie,A,94,515,https://txschools.net/district/red-lick-isd-019911
17,1019,4,005904,Windthorst ISD,Archer,A,94,491,https://txschools.net/district/windthorst-isd-005904
22,1019,6,057922,Coppell ISD,Dallas,A,93,13047,https://txschools.net/district/coppell-isd-057922
22,1019,6,075901,Flatonia ISD,Fayette,A,93,675,https://txschools.net/district/flatonia-isd-075901
22,1019,6,087901,Glasscock County ISD,Glasscock,A,93,290,https://txschools.net/district/glasscock-county-isd-087901
22,1019,6,058905,Klondike ISD,Dawson,A,93,269,https://txschools.net/district/klondike-isd-058905
22,1019,6,137904,Santa Gertrudis ISD,Kleberg,A,93,813,https://txschools.net/district/santa-gertrudis-isd-137904
22,1019,6,110907,Sundown ISD,Hockley,A,93,701,https://txschools.net/district/sundown-isd-110907
22,1019,6,211901,Texhoma ISD,Sherman,A,93,96,https://txschools.net/district/texhoma-isd-211901
29,1019,7,061910,Argyle ISD,Denton,A,92,6551,https://txschools.net/district/argyle-isd-061910
29,1019,7,075906,Fayetteville ISD,Fayette,A,92,308,https://txschools.net/district/fayetteville-isd-075906
29,1019,7,198903,Franklin ISD,Robertson,A,92,1438,https://txschools.net/district/franklin-isd-198903
29,1019,7,221911,Jim Ned CISD,Taylor,A,92,1625,https://txschools.net/district/jim-ned-cisd-221911
29,1019,7,143903,Shiner ISD,Lavaca,A,92,700,https://txschools.net/district/shiner-isd-143903
29,1019,7,031916,South Texas ISD,Cameron,A,92,4741,https://txschools.net/district/south-texas-isd-031916
29,1019,7,180902,Vega ISD,Oldham,A,92,354,https://txschools.net/district/vega-isd-180902
29,1019,7,226906,Wall ISD,Tom Green,B,92,1306,https://txschools.net/district/wall-isd-226906
37,1019,12,184907,Aledo ISD,Parker,A,91,8590,https://txschools.net/district/aledo-isd-184907
37,1019,12,005901,Archer City ISD,Archer,A,91,486,https://txschools.net/district/archer-city-isd-005901
37,1019,12,036902,Barbers Hill ISD,Chambers,A,91,8069,https://txschools.net/district/barbers-hill-isd-036902
37,1019,12,203902,Broaddus ISD,San Augustine,A,91,380,https://txschools.net/district/broaddus-isd-203902
37,1019,12,106901,Canadian ISD,Hemphill,A,91,675,https://txschools.net/district/canadian-isd-106901
37,1019,12,226901,Christoval ISD,Tom Green,B,91,628,https://txschools.net/district/christoval-isd-226901
37,1019,12,161901,Crawford ISD,McLennan,B,91,585,https://txschools.net/district/crawford-isd-161901
37,1019,12,084911,Friendswood ISD,Galveston,A,91,6116,https://txschools.net/district/friendswood-isd-084911
37,1019,12,043905,Frisco ISD,Collin,A,91,62627,https://txschools.net/district/frisco-isd-043905
