# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/all-subjects-masters-grade-level-lowest
# rows: 1184 (excluding this header and the column row)
# ranking: Texas school districts with the lowest All Subjects — Masters in 2025-26
# population: 1,184 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1184,0,015845,Celebrate Dyslexia Schools,Bexar,F,0,100,https://txschools.net/district/celebrate-dyslexia-schools-015845
2,1184,0,101868,The Pro-Vision Academy,Harris,B,1,239,https://txschools.net/district/the-pro-vision-academy-101868
3,1184,5,110901,Anton ISD,Hockley,C,2,171,https://txschools.net/district/anton-isd-110901
3,1184,5,014801,Richard Milburn Alter High School (Killeen),Bell,C,2,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
3,1184,5,022004,Terlingua CSD,Brewster,D,2,140,https://txschools.net/district/terlingua-csd-022004
3,1184,5,057804,Texans Can Academies,Dallas,B,2,2880,https://txschools.net/district/texans-can-academies-057804
3,1184,5,152803,Triumph Public High Schools-Lubbock,Lubbock,C,2,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
3,1184,5,101881,Up Excellence Academy,Harris,F,2,116,https://txschools.net/district/up-excellence-academy-101881
9,1184,3,238904,Grandfalls-Royalty ISD,Ward,C,3,121,https://txschools.net/district/grandfalls-royalty-isd-238904
9,1184,3,109908,Malone ISD,Hill,F,3,64,https://txschools.net/district/malone-isd-109908
9,1184,3,070909,Milford ISD,Ellis,C,3,277,https://txschools.net/district/milford-isd-070909
9,1184,3,028906,Prairie Lea ISD,Caldwell,F,3,276,https://txschools.net/district/prairie-lea-isd-028906
13,1184,9,014902,Bartlett ISD,Bell,C,4,399,https://txschools.net/district/bartlett-isd-014902
13,1184,9,198902,Calvert ISD,Robertson,D,4,143,https://txschools.net/district/calvert-isd-198902
