# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/all-subjects-meets-grade-level-lowest
# rows: 1019 (excluding this header and the column row)
# ranking: Texas school districts with the lowest All Subjects — Meets in 2025-26
# population: 1,019 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1019,0,109908,Malone ISD,Hill,F,13,64,https://txschools.net/district/malone-isd-109908
2,1019,0,198902,Calvert ISD,Robertson,D,14,143,https://txschools.net/district/calvert-isd-198902
3,1019,0,028906,Prairie Lea ISD,Caldwell,F,16,276,https://txschools.net/district/prairie-lea-isd-028906
4,1019,0,022004,Terlingua CSD,Brewster,D,17,140,https://txschools.net/district/terlingua-csd-022004
5,1019,0,177901,Roscoe Collegiate ISD,Nolan,F,19,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
6,1019,0,070909,Milford ISD,Ellis,C,22,277,https://txschools.net/district/milford-isd-070909
7,1019,0,140901,Amherst ISD,Lamb,B,23,102,https://txschools.net/district/amherst-isd-140901
8,1019,1,060914,Fannindel ISD,Delta,D,24,152,https://txschools.net/district/fannindel-isd-060914
8,1019,1,238904,Grandfalls-Royalty ISD,Ward,C,24,121,https://txschools.net/district/grandfalls-royalty-isd-238904
10,1019,4,194904,Clarksville ISD,Red River,D,25,504,https://txschools.net/district/clarksville-isd-194904
10,1019,4,186902,Fort Stockton ISD,Pecos,C,25,11681,https://txschools.net/district/fort-stockton-isd-186902
10,1019,4,054902,Lorenzo ISD,Crosby,C,25,175,https://txschools.net/district/lorenzo-isd-054902
10,1019,4,073903,Marlin ISD,Falls,D,25,796,https://txschools.net/district/marlin-isd-073903
10,1019,4,115902,Sierra Blanca ISD,Hudspeth,C,25,97,https://txschools.net/district/sierra-blanca-isd-115902
15,1019,5,054901,Crosbyton CISD,Crosby,C,26,293,https://txschools.net/district/crosbyton-cisd-054901
15,1019,5,161924,Hallsburg ISD,McLennan,F,26,106,https://txschools.net/district/hallsburg-isd-161924
15,1019,5,168902,Loraine ISD,Mitchell,C,26,133,https://txschools.net/district/loraine-isd-168902
15,1019,5,018903,Morgan ISD,Bosque,C,26,138,https://txschools.net/district/morgan-isd-018903
15,1019,5,040901,Morton ISD,Cochran,B,26,350,https://txschools.net/district/morton-isd-040901
15,1019,5,042905,Panther Creek CISD,Coleman,B,26,139,https://txschools.net/district/panther-creek-cisd-042905
21,1019,8,110901,Anton ISD,Hockley,C,27,171,https://txschools.net/district/anton-isd-110901
21,1019,8,014902,Bartlett ISD,Bell,C,27,399,https://txschools.net/district/bartlett-isd-014902
21,1019,8,235901,Bloomington ISD,Victoria,D,27,705,https://txschools.net/district/bloomington-isd-235901
21,1019,8,166907,Buckholts ISD,Milam,C,27,107,https://txschools.net/district/buckholts-isd-166907
21,1019,8,161921,Connally ISD,McLennan,D,27,2031,https://txschools.net/district/connally-isd-161921
21,1019,8,169906,Gold Burg ISD,Montague,C,27,149,https://txschools.net/district/gold-burg-isd-169906
21,1019,8,107907,Trinidad ISD,Henderson,B,27,175,https://txschools.net/district/trinidad-isd-107907
21,1019,8,232903,Uvalde CISD,Uvalde,F,27,3815,https://txschools.net/district/uvalde-cisd-232903
21,1019,8,241904,Wharton ISD,Wharton,F,27,1707,https://txschools.net/district/wharton-isd-241904
30,1019,9,146901,Cleveland ISD,Liberty,D,28,12648,https://txschools.net/district/cleveland-isd-146901
30,1019,9,102904,Hallsville ISD,Harrison,C,28,26808,https://txschools.net/district/hallsville-isd-102904
30,1019,9,198905,Hearne ISD,Robertson,D,28,719,https://txschools.net/district/hearne-isd-198905
30,1019,9,146905,Hull-Daisetta ISD,Liberty,D,28,425,https://txschools.net/district/hull-daisetta-isd-146905
30,1019,9,137901,Kingsville ISD,Kleberg,D,28,2341,https://txschools.net/district/kingsville-isd-137901
30,1019,9,220910,Lake Worth ISD,Tarrant,D,28,3165,https://txschools.net/district/lake-worth-isd-220910
30,1019,9,227907,Manor ISD,Travis,D,28,9826,https://txschools.net/district/manor-isd-227907
30,1019,9,209902,Moran ISD,Shackelford,C,28,86,https://txschools.net/district/moran-isd-209902
30,1019,9,054903,Ralls ISD,Crosby,C,28,318,https://txschools.net/district/ralls-isd-054903
30,1019,9,153907,Wilson ISD,Lynn,C,28,120,https://txschools.net/district/wilson-isd-153907
40,1019,6,144903,Dime Box ISD,Lee,B,29,169,https://txschools.net/district/dime-box-isd-144903
40,1019,6,015905,Edgewood ISD,Bexar,D,29,7670,https://txschools.net/district/edgewood-isd-015905
40,1019,6,011902,Elgin ISD,Bastrop,D,29,6221,https://txschools.net/district/elgin-isd-011902
40,1019,6,019908,Liberty-Eylau ISD,Bowie,D,29,1784,https://txschools.net/district/liberty-eylau-isd-019908
40,1019,6,161914,Waco ISD,McLennan,D,29,12892,https://txschools.net/district/waco-isd-161914
40,1019,6,018905,Walnut Springs ISD,Bosque,C,29,152,https://txschools.net/district/walnut-springs-isd-018905
40,1019,6,001908,Westwood ISD,Anderson,D,29,1300,https://txschools.net/district/westwood-isd-001908
47,1019,6,058902,Dawson ISD,Dawson,B,30,145,https://txschools.net/district/dawson-isd-058902
47,1019,6,019913,Hubbard ISD,Bowie,F,30,54,https://txschools.net/district/hubbard-isd-019913
47,1019,6,201903,Laneville ISD,Rusk,D,30,104,https://txschools.net/district/laneville-isd-201903
47,1019,6,187906,Leggett ISD,Polk,C,30,204,https://txschools.net/district/leggett-isd-187906
47,1019,6,077902,Lockney ISD,Floyd,D,30,387,https://txschools.net/district/lockney-isd-077902
47,1019,6,178909,Robstown ISD,Nueces,D,30,2478,https://txschools.net/district/robstown-isd-178909
47,1019,6,219903,Tulia ISD,Swisher,C,30,730,https://txschools.net/district/tulia-isd-219903
54,1019,7,185901,Bovina ISD,Parmer,D,31,370,https://txschools.net/district/bovina-isd-185901
54,1019,7,186901,Buena Vista ISD,Pecos,D,31,235,https://txschools.net/district/buena-vista-isd-186901
54,1019,7,113901,Crockett ISD,Houston,D,31,1098,https://txschools.net/district/crockett-isd-113901
54,1019,7,227910,Del Valle ISD,Travis,D,31,11766,https://txschools.net/district/del-valle-isd-227910
54,1019,7,058906,Lamesa ISD,Dawson,C,31,1373,https://txschools.net/district/lamesa-isd-058906
54,1019,7,018902,Meridian ISD,Bosque,C,31,354,https://txschools.net/district/meridian-isd-018902
54,1019,7,167902,Mullin ISD,Mills,C,31,176,https://txschools.net/district/mullin-isd-167902
54,1019,7,128903,Runge ISD,Karnes,C,31,172,https://txschools.net/district/runge-isd-128903
62,1019,8,123910,Beaumont ISD,Jefferson,D,32,15838,https://txschools.net/district/beaumont-isd-123910
62,1019,8,024901,Brooks County ISD,Brooks,D,32,1074,https://txschools.net/district/brooks-county-isd-024901
62,1019,8,116903,Commerce ISD,Hunt,D,32,1526,https://txschools.net/district/commerce-isd-116903
62,1019,8,082902,Dilley ISD,Frio,C,32,830,https://txschools.net/district/dilley-isd-082902
62,1019,8,084908,Hitchcock ISD,Galveston,D,32,1937,https://txschools.net/district/hitchcock-isd-084908
62,1019,8,248901,Kermit ISD,Winkler,D,32,1255,https://txschools.net/district/kermit-isd-248901
62,1019,8,231901,McCamey ISD,Upton,C,32,469,https://txschools.net/district/mccamey-isd-231901
62,1019,8,237905,Royal ISD,Waller,D,32,3086,https://txschools.net/district/royal-isd-237905
62,1019,8,181906,West Orange-Cove CISD,Orange,C,32,2502,https://txschools.net/district/west-orange-cove-cisd-181906
71,1019,14,025908,Brookesmith ISD,Brown,C,33,508,https://txschools.net/district/brookesmith-isd-025908
71,1019,14,108903,Edcouch-Elsa ISD,Hidalgo,D,33,4162,https://txschools.net/district/edcouch-elsa-isd-108903
71,1019,14,169910,Forestburg ISD,Montague,B,33,172,https://txschools.net/district/forestburg-isd-169910
71,1019,14,116905,Greenville ISD,Hunt,C,33,5435,https://txschools.net/district/greenville-isd-116905
71,1019,14,102901,Karnack ISD,Harrison,D,33,121,https://txschools.net/district/karnack-isd-102901
71,1019,14,108907,Mercedes ISD,Hidalgo,C,33,3940,https://txschools.net/district/mercedes-isd-108907
71,1019,14,048903,Paint Rock ISD,Concho,B,33,330,https://txschools.net/district/paint-rock-isd-048903
71,1019,14,066005,Ramirez CSD,Duval,D,33,24,https://txschools.net/district/ramirez-csd-066005
71,1019,14,067907,Ranger ISD,Eastland,D,33,262,https://txschools.net/district/ranger-isd-067907
71,1019,14,203901,San Augustine ISD,San Augustine,C,33,585,https://txschools.net/district/san-augustine-isd-203901
71,1019,14,083901,Seagraves ISD,Gaines,B,33,523,https://txschools.net/district/seagraves-isd-083901
71,1019,14,205907,Taft ISD,San Patricio,C,33,786,https://txschools.net/district/taft-isd-205907
71,1019,14,228903,Trinity ISD,Trinity,D,33,1150,https://txschools.net/district/trinity-isd-228903
71,1019,14,089905,Waelder ISD,Gonzales,B,33,588,https://txschools.net/district/waelder-isd-089905
71,1019,14,196902,Woodsboro ISD,Refugio,C,33,383,https://txschools.net/district/woodsboro-isd-196902
86,1019,13,070901,Avalon ISD,Ellis,B,34,316,https://txschools.net/district/avalon-isd-070901
86,1019,13,223901,Brownfield ISD,Terry,C,34,1587,https://txschools.net/district/brownfield-isd-223901
86,1019,13,148905,Darrouzett ISD,Lipscomb,D,34,97,https://txschools.net/district/darrouzett-isd-148905
86,1019,13,057907,Duncanville ISD,Dallas,C,34,10988,https://txschools.net/district/duncanville-isd-057907
86,1019,13,049901,Gainesville ISD,Cooke,D,34,3054,https://txschools.net/district/gainesville-isd-049901
86,1019,13,121904,Jasper ISD,Jasper,C,34,1947,https://txschools.net/district/jasper-isd-121904
86,1019,13,161906,La Vega ISD,McLennan,C,34,3079,https://txschools.net/district/la-vega-isd-161906
86,1019,13,090902,Lefors ISD,Gray,C,34,177,https://txschools.net/district/lefors-isd-090902
86,1019,13,201908,Overton ISD,Rusk,C,34,534,https://txschools.net/district/overton-isd-201908
86,1019,13,051901,Paducah ISD,Cottle,B,34,137,https://txschools.net/district/paducah-isd-051901
86,1019,13,123907,Port Arthur ISD,Jefferson,C,34,7664,https://txschools.net/district/port-arthur-isd-123907
86,1019,13,085902,Post ISD,Garza,D,34,648,https://txschools.net/district/post-isd-085902
86,1019,13,007906,Poteet ISD,Atascosa,D,34,1867,https://txschools.net/district/poteet-isd-007906
86,1019,13,125905,Premont ISD,Jim Wells,C,34,761,https://txschools.net/district/premont-isd-125905
