# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/attendance-highest
# rows: 1181 (excluding this header and the column row)
# ranking: Texas school districts with the highest attendance in 2025-26
# population: 1,181 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 3 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1181,1,152504,Texas Tech University K-12,Lubbock,B,100,829,https://txschools.net/district/texas-tech-university-k-12-152504
1,1181,1,227506,University of Texas at Austin HS,Travis,C,100,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
3,1181,0,177901,Roscoe Collegiate ISD,Nolan,F,99.8,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
4,1181,0,102904,Hallsville ISD,Harrison,C,99,26808,https://txschools.net/district/hallsville-isd-102904
5,1181,0,186902,Fort Stockton ISD,Pecos,C,98.1,11681,https://txschools.net/district/fort-stockton-isd-186902
6,1181,0,174801,Stephen F Austin State University Charter School,Nacogdoches,A,98,254,https://txschools.net/district/stephen-f-austin-state-university-charter-school-174801
7,1181,1,101849,Accelerated Intermediate Academy,Harris,A,97.7,166,https://txschools.net/district/accelerated-intermediate-academy-101849
7,1181,1,133905,Divide ISD,Kerr,B,97.7,41,https://txschools.net/district/divide-isd-133905
9,1181,0,198906,Mumford ISD,Robertson,A,97.5,600,https://txschools.net/district/mumford-isd-198906
10,1181,1,101856,Draw Academy,Harris,C,97.4,695,https://txschools.net/district/draw-academy-101856
10,1181,1,043801,Imagine International Academy of North Texas,Collin,A,97.4,1438,https://txschools.net/district/imagine-international-academy-of-north-texas-043801
12,1181,1,101810,Academy of Accelerated Learning Inc,Harris,B,97.3,711,https://txschools.net/district/academy-of-accelerated-learning-inc-101810
12,1181,1,143904,Vysehrad ISD,Lavaca,D,97.3,46,https://txschools.net/district/vysehrad-isd-143904
14,1181,4,128904,Falls City ISD,Karnes,A,97.2,452,https://txschools.net/district/falls-city-isd-128904
14,1181,4,098901,Gruver ISD,Hansford,A,97.2,419,https://txschools.net/district/gruver-isd-098901
14,1181,4,165802,Midland Academy Charter School,Midland,B,97.2,431,https://txschools.net/district/midland-academy-charter-school-165802
14,1181,4,075908,Round Top-Carmine ISD,Fayette,B,97.2,237,https://txschools.net/district/round-top-carmine-isd-075908
14,1181,4,073904,Westphalia ISD,Falls,A,97.2,148,https://txschools.net/district/westphalia-isd-073904
19,1181,5,239903,Burton ISD,Washington,A,97.1,650,https://txschools.net/district/burton-isd-239903
19,1181,5,242906,Fort Elliott CISD,Wheeler,B,97.1,133,https://txschools.net/district/fort-elliott-cisd-242906
19,1181,5,135001,Guthrie CSD,King,A,97.1,99,https://txschools.net/district/guthrie-csd-135001
19,1181,5,118902,Irion County ISD,Irion,A,97.1,307,https://txschools.net/district/irion-county-isd-118902
19,1181,5,049907,Lindsay ISD,Cooke,B,97.1,504,https://txschools.net/district/lindsay-isd-049907
19,1181,5,246801,Meridian World School LLC,Williamson,A,97.1,1757,https://txschools.net/district/meridian-world-school-llc-246801
25,1181,5,101837,Calvin Nelms Charter Schools,Harris,A,97,414,https://txschools.net/district/calvin-nelms-charter-schools-101837
25,1181,5,033901,Groom ISD,Carson,B,97,112,https://txschools.net/district/groom-isd-033901
25,1181,5,035903,Nazareth ISD,Castro,A,97,239,https://txschools.net/district/nazareth-isd-035903
25,1181,5,110907,Sundown ISD,Hockley,A,97,701,https://txschools.net/district/sundown-isd-110907
25,1181,5,180902,Vega ISD,Oldham,A,97,354,https://txschools.net/district/vega-isd-180902
25,1181,5,005904,Windthorst ISD,Archer,A,97,491,https://txschools.net/district/windthorst-isd-005904
31,1181,1,049902,Muenster ISD,Cooke,B,96.9,551,https://txschools.net/district/muenster-isd-049902
31,1181,1,062902,Nordheim ISD,Dewitt,B,96.9,111,https://txschools.net/district/nordheim-isd-062902
33,1181,9,109913,Blum ISD,Hill,A,96.8,335,https://txschools.net/district/blum-isd-109913
33,1181,9,092801,East Texas Charter Schools,Gregg,A,96.8,125,https://txschools.net/district/east-texas-charter-schools-092801
33,1181,9,090905,Grandview-Hopkins ISD,Gray,C,96.8,44,https://txschools.net/district/grandview-hopkins-isd-090905
33,1181,9,019910,Malta ISD,Bowie,B,96.8,208,https://txschools.net/district/malta-isd-019910
33,1181,9,109914,Penelope ISD,Hill,A,96.8,215,https://txschools.net/district/penelope-isd-109914
33,1181,9,214902,San Isidro ISD,Starr,B,96.8,151,https://txschools.net/district/san-isidro-isd-214902
33,1181,9,143903,Shiner ISD,Lavaca,A,96.8,700,https://txschools.net/district/shiner-isd-143903
33,1181,9,049909,Sivells Bend ISD,Cooke,B,96.8,56,https://txschools.net/district/sivells-bend-isd-049909
33,1181,9,249908,Slidell ISD,Wise,B,96.8,515,https://txschools.net/district/slidell-isd-249908
33,1181,9,044902,Wellington ISD,Collingsworth,B,96.8,516,https://txschools.net/district/wellington-isd-044902
43,1181,4,101819,Amigos Por Vida-Friends for Life Pub Chtr Sch,Harris,A,96.7,802,https://txschools.net/district/amigos-por-vida-friends-for-life-pub-chtr-sch-101819
43,1181,4,123805,Ehrhart School,Jefferson,A,96.7,593,https://txschools.net/district/ehrhart-school-123805
43,1181,4,244905,Northside ISD,Wilbarger,B,96.7,246,https://txschools.net/district/northside-isd-244905
43,1181,4,015906,Randolph Field ISD,Bexar,A,96.7,1402,https://txschools.net/district/randolph-field-isd-015906
43,1181,4,057919,Sunnyvale ISD,Dallas,A,96.7,2313,https://txschools.net/district/sunnyvale-isd-057919
48,1181,4,109901,Abbott ISD,Hill,A,96.6,285,https://txschools.net/district/abbott-isd-109901
48,1181,4,220802,Arlington Classics Academy,Tarrant,B,96.6,1552,https://txschools.net/district/arlington-classics-academy-220802
48,1181,4,091901,Bells ISD,Grayson,A,96.6,1011,https://txschools.net/district/bells-isd-091901
48,1181,4,183801,Panola Charter School,Panola,A,96.6,174,https://txschools.net/district/panola-charter-school-183801
48,1181,4,211901,Texhoma ISD,Sherman,A,96.6,96,https://txschools.net/district/texhoma-isd-211901
53,1181,9,103901,Channing ISD,Hartley,B,96.5,118,https://txschools.net/district/channing-isd-103901
53,1181,9,146903,Devers ISD,Liberty,A,96.5,198,https://txschools.net/district/devers-isd-146903
