# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/attendance-lowest
# rows: 1019 (excluding this header and the column row)
# ranking: Texas school districts with the lowest attendance in 2025-26
# population: 1,019 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1019,0,232903,Uvalde CISD,Uvalde,F,86.8,3815,https://txschools.net/district/uvalde-cisd-232903
2,1019,0,015905,Edgewood ISD,Bexar,D,87.9,7670,https://txschools.net/district/edgewood-isd-015905
3,1019,0,015907,San Antonio ISD,Bexar,C,89.4,42508,https://txschools.net/district/san-antonio-isd-015907
4,1019,1,227910,Del Valle ISD,Travis,D,89.6,11766,https://txschools.net/district/del-valle-isd-227910
4,1019,1,178909,Robstown ISD,Nueces,D,89.6,2478,https://txschools.net/district/robstown-isd-178909
6,1019,1,238904,Grandfalls-Royalty ISD,Ward,C,90.1,121,https://txschools.net/district/grandfalls-royalty-isd-238904
6,1019,1,245902,Lyford CISD,Willacy,B,90.1,1366,https://txschools.net/district/lyford-cisd-245902
8,1019,1,015904,Harlandale ISD,Bexar,C,90.3,11096,https://txschools.net/district/harlandale-isd-015904
8,1019,1,108914,La Villa ISD,Hidalgo,B,90.3,459,https://txschools.net/district/la-villa-isd-108914
10,1019,2,123910,Beaumont ISD,Jefferson,D,90.4,15838,https://txschools.net/district/beaumont-isd-123910
10,1019,2,235901,Bloomington ISD,Victoria,D,90.4,705,https://txschools.net/district/bloomington-isd-235901
10,1019,2,066902,San Diego ISD,Duval,B,90.4,1416,https://txschools.net/district/san-diego-isd-066902
13,1019,1,055901,Culberson County-Allamoore ISD,Culberson,B,90.5,377,https://txschools.net/district/culberson-county-allamoore-isd-055901
13,1019,1,137901,Kingsville ISD,Kleberg,D,90.5,2341,https://txschools.net/district/kingsville-isd-137901
15,1019,1,007906,Poteet ISD,Atascosa,D,90.6,1867,https://txschools.net/district/poteet-isd-007906
15,1019,1,240904,Webb CISD,Webb,C,90.6,206,https://txschools.net/district/webb-cisd-240904
17,1019,1,108903,Edcouch-Elsa ISD,Hidalgo,D,90.8,4162,https://txschools.net/district/edcouch-elsa-isd-108903
17,1019,1,084906,Texas City ISD,Galveston,C,90.8,7379,https://txschools.net/district/texas-city-isd-084906
