# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/average-teacher-salary-highest
# rows: 1180 (excluding this header and the column row)
# ranking: Texas school districts with the highest average teacher salary in 2025-26
# population: 1,180 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 4 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1180,0,057802,Pegasus School of Liberal Arts and Sciences,Dallas,D,158678,277,https://txschools.net/district/pegasus-school-of-liberal-arts-and-sciences-057802
2,1180,0,101881,Up Excellence Academy,Harris,F,116520,116,https://txschools.net/district/up-excellence-academy-101881
3,1180,0,146903,Devers ISD,Liberty,A,93317,198,https://txschools.net/district/devers-isd-146903
4,1180,0,071904,San Elizario ISD,El Paso,C,85580,2776,https://txschools.net/district/san-elizario-isd-071904
5,1180,0,036902,Barbers Hill ISD,Chambers,A,84979,8069,https://txschools.net/district/barbers-hill-isd-036902
6,1180,0,156905,Grady ISD,Martin,A,84440,242,https://txschools.net/district/grady-isd-156905
7,1180,0,220801,Treetops School International,Tarrant,C,82404,186,https://txschools.net/district/treetops-school-international-220801
8,1180,0,013902,Pawnee ISD,Bee,C,82137,252,https://txschools.net/district/pawnee-isd-013902
9,1180,0,195901,Pecos-Barstow-Toyah ISD,Reeves,C,81481,2945,https://txschools.net/district/pecos-barstow-toyah-isd-195901
10,1180,0,091917,Gunter ISD,Grayson,B,81105,1153,https://txschools.net/district/gunter-isd-091917
11,1180,0,210904,Tenaha ISD,Shelby,C,80954,402,https://txschools.net/district/tenaha-isd-210904
12,1180,0,101856,Draw Academy,Harris,C,80568,695,https://txschools.net/district/draw-academy-101856
13,1180,0,101802,Ser-Ninos Charter School,Harris,C,79741,1206,https://txschools.net/district/ser-ninos-charter-school-101802
14,1180,0,158906,Van Vleck ISD,Matagorda,C,79702,1048,https://txschools.net/district/van-vleck-isd-158906
15,1180,0,043904,Farmersville ISD,Collin,B,79121,2523,https://txschools.net/district/farmersville-isd-043904
16,1180,0,101837,Calvin Nelms Charter Schools,Harris,A,79109,414,https://txschools.net/district/calvin-nelms-charter-schools-101837
17,1180,0,165902,Greenwood ISD,Midland,C,79085,3621,https://txschools.net/district/greenwood-isd-165902
18,1180,0,087901,Glasscock County ISD,Glasscock,A,79081,290,https://txschools.net/district/glasscock-county-isd-087901
19,1180,0,116916,Boles ISD,Hunt,B,78958,530,https://txschools.net/district/boles-isd-116916
20,1180,0,240904,Webb CISD,Webb,C,78801,206,https://txschools.net/district/webb-cisd-240904
21,1180,0,220914,Kennedale ISD,Tarrant,B,78683,2659,https://txschools.net/district/kennedale-isd-220914
22,1180,0,101871,A' Unlimited Potential,Harris,B,78599,190,https://txschools.net/district/a-unlimited-potential-101871
23,1180,0,101906,Crosby ISD,Harris,B,78434,7183,https://txschools.net/district/crosby-isd-101906
24,1180,0,116908,Quinlan ISD,Hunt,C,77940,2974,https://txschools.net/district/quinlan-isd-116908
25,1180,0,227506,University of Texas at Austin HS,Travis,C,77664,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
26,1180,0,057841,Cityscape Schools,Dallas,C,77510,1218,https://txschools.net/district/cityscape-schools-057841
27,1180,0,015906,Randolph Field ISD,Bexar,A,77494,1402,https://txschools.net/district/randolph-field-isd-015906
28,1180,0,017901,Borden County ISD,Borden,A,77139,238,https://txschools.net/district/borden-county-isd-017901
29,1180,1,020904,Danbury ISD,Brazoria,B,77083,645,https://txschools.net/district/danbury-isd-020904
29,1180,1,231902,Rankin ISD,Upton,A,77083,300,https://txschools.net/district/rankin-isd-231902
31,1180,0,015913,Lackland ISD,Bexar,B,76722,966,https://txschools.net/district/lackland-isd-015913
32,1180,0,119903,Perrin-Whitt CISD,Jack,A,76504,306,https://txschools.net/district/perrin-whitt-cisd-119903
33,1180,0,061908,Sanger ISD,Denton,B,76397,2951,https://txschools.net/district/sanger-isd-061908
34,1180,0,079901,Lamar CISD,Fort Bend,B,76224,48645,https://txschools.net/district/lamar-cisd-079901
35,1180,0,079906,Needville ISD,Fort Bend,A,76016,3673,https://txschools.net/district/needville-isd-079906
36,1180,0,198901,Bremond ISD,Robertson,A,75855,461,https://txschools.net/district/bremond-isd-198901
37,1180,0,057839,La Academia De Estrellas,Dallas,C,75761,1021,https://txschools.net/district/la-academia-de-estrellas-057839
38,1180,0,031916,South Texas ISD,Cameron,A,75593,4741,https://txschools.net/district/south-texas-isd-031916
39,1180,0,036901,Anahuac ISD,Chambers,C,75556,1533,https://txschools.net/district/anahuac-isd-036901
40,1180,0,057829,A' Academy,Dallas,C,75488,1703,https://txschools.net/district/a-academy-057829
41,1180,0,057830,Inspired Vision Academy,Dallas,C,75349,1103,https://txschools.net/district/inspired-vision-academy-057830
42,1180,0,170908,New Caney ISD,Montgomery,C,75125,19642,https://txschools.net/district/new-caney-isd-170908
43,1180,0,220901,Arlington ISD,Tarrant,C,74841,51102,https://txschools.net/district/arlington-isd-220901
44,1180,0,234907,Wills Point ISD,Van Zandt,C,74755,2882,https://txschools.net/district/wills-point-isd-234907
45,1180,0,220810,Westlake Academy Charter School,Tarrant,A,74747,908,https://txschools.net/district/westlake-academy-charter-school-220810
46,1180,0,126905,Joshua ISD,Johnson,B,74675,5998,https://txschools.net/district/joshua-isd-126905
47,1180,0,205903,Ingleside ISD,San Patricio,B,74653,1983,https://txschools.net/district/ingleside-isd-205903
48,1180,0,043902,Anna ISD,Collin,C,74646,6686,https://txschools.net/district/anna-isd-043902
49,1180,0,043918,Community ISD,Collin,B,74617,5764,https://txschools.net/district/community-isd-043918
50,1180,0,091913,Pottsboro ISD,Grayson,A,74612,1363,https://txschools.net/district/pottsboro-isd-091913
51,1180,0,074909,Leonard ISD,Fannin,B,74569,840,https://txschools.net/district/leonard-isd-074909
52,1180,0,183904,Gary ISD,Panola,D,74562,478,https://txschools.net/district/gary-isd-183904
53,1180,0,057807,Life School,Dallas,B,74560,5560,https://txschools.net/district/life-school-057807
