# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/chronically-absent-highest
# rows: 1019 (excluding this header and the column row)
# ranking: Texas school districts with the highest chronically absent in 2025-26
# population: 1,019 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1019,0,232903,Uvalde CISD,Uvalde,F,45.6,3815,https://txschools.net/district/uvalde-cisd-232903
2,1019,0,015905,Edgewood ISD,Bexar,D,45,7670,https://txschools.net/district/edgewood-isd-015905
3,1019,0,055901,Culberson County-Allamoore ISD,Culberson,B,41,377,https://txschools.net/district/culberson-county-allamoore-isd-055901
4,1019,0,235901,Bloomington ISD,Victoria,D,37.7,705,https://txschools.net/district/bloomington-isd-235901
5,1019,0,108914,La Villa ISD,Hidalgo,B,37.5,459,https://txschools.net/district/la-villa-isd-108914
6,1019,0,015907,San Antonio ISD,Bexar,C,37.1,42508,https://txschools.net/district/san-antonio-isd-015907
7,1019,0,238904,Grandfalls-Royalty ISD,Ward,C,36.6,121,https://txschools.net/district/grandfalls-royalty-isd-238904
8,1019,0,240904,Webb CISD,Webb,C,36.4,206,https://txschools.net/district/webb-cisd-240904
9,1019,0,058902,Dawson ISD,Dawson,B,36.2,145,https://txschools.net/district/dawson-isd-058902
10,1019,0,066902,San Diego ISD,Duval,B,35.9,1416,https://txschools.net/district/san-diego-isd-066902
11,1019,0,227910,Del Valle ISD,Travis,D,35.4,11766,https://txschools.net/district/del-valle-isd-227910
12,1019,0,007906,Poteet ISD,Atascosa,D,35.1,1867,https://txschools.net/district/poteet-isd-007906
13,1019,0,178909,Robstown ISD,Nueces,D,35,2478,https://txschools.net/district/robstown-isd-178909
14,1019,0,137901,Kingsville ISD,Kleberg,D,34.4,2341,https://txschools.net/district/kingsville-isd-137901
15,1019,0,015904,Harlandale ISD,Bexar,C,34.2,11096,https://txschools.net/district/harlandale-isd-015904
