# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/chronically-absent-lowest
# rows: 1181 (excluding this header and the column row)
# ranking: Texas school districts with the lowest chronically absent in 2025-26
# population: 1,181 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 3 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1181,4,133905,Divide ISD,Kerr,B,0,41,https://txschools.net/district/divide-isd-133905
1,1181,4,109908,Malone ISD,Hill,F,0,64,https://txschools.net/district/malone-isd-109908
1,1181,4,174801,Stephen F Austin State University Charter School,Nacogdoches,A,0,254,https://txschools.net/district/stephen-f-austin-state-university-charter-school-174801
1,1181,4,152504,Texas Tech University K-12,Lubbock,B,0,829,https://txschools.net/district/texas-tech-university-k-12-152504
1,1181,4,227506,University of Texas at Austin HS,Travis,C,0,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
6,1181,0,177901,Roscoe Collegiate ISD,Nolan,F,0.4,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
7,1181,0,098901,Gruver ISD,Hansford,A,0.8,419,https://txschools.net/district/gruver-isd-098901
8,1181,0,165802,Midland Academy Charter School,Midland,B,1.1,431,https://txschools.net/district/midland-academy-charter-school-165802
9,1181,1,198906,Mumford ISD,Robertson,A,1.4,600,https://txschools.net/district/mumford-isd-198906
9,1181,1,075908,Round Top-Carmine ISD,Fayette,B,1.4,237,https://txschools.net/district/round-top-carmine-isd-075908
11,1181,0,180902,Vega ISD,Oldham,A,1.6,354,https://txschools.net/district/vega-isd-180902
12,1181,0,101856,Draw Academy,Harris,C,1.9,695,https://txschools.net/district/draw-academy-101856
13,1181,0,049909,Sivells Bend ISD,Cooke,B,2,56,https://txschools.net/district/sivells-bend-isd-049909
14,1181,0,043801,Imagine International Academy of North Texas,Collin,A,2.1,1438,https://txschools.net/district/imagine-international-academy-of-north-texas-043801
15,1181,2,102904,Hallsville ISD,Harrison,C,2.3,26808,https://txschools.net/district/hallsville-isd-102904
15,1181,2,246801,Meridian World School LLC,Williamson,A,2.3,1757,https://txschools.net/district/meridian-world-school-llc-246801
15,1181,2,035903,Nazareth ISD,Castro,A,2.3,239,https://txschools.net/district/nazareth-isd-035903
18,1181,1,090905,Grandview-Hopkins ISD,Gray,C,2.4,44,https://txschools.net/district/grandview-hopkins-isd-090905
18,1181,1,118902,Irion County ISD,Irion,A,2.4,307,https://txschools.net/district/irion-county-isd-118902
20,1181,1,101849,Accelerated Intermediate Academy,Harris,A,2.5,166,https://txschools.net/district/accelerated-intermediate-academy-101849
20,1181,1,005904,Windthorst ISD,Archer,A,2.5,491,https://txschools.net/district/windthorst-isd-005904
22,1181,2,103901,Channing ISD,Hartley,B,2.6,118,https://txschools.net/district/channing-isd-103901
22,1181,2,049907,Lindsay ISD,Cooke,B,2.6,504,https://txschools.net/district/lindsay-isd-049907
22,1181,2,182906,Palo Pinto ISD,Palo Pinto,A,2.6,92,https://txschools.net/district/palo-pinto-isd-182906
25,1181,3,128904,Falls City ISD,Karnes,A,2.8,452,https://txschools.net/district/falls-city-isd-128904
25,1181,3,131001,Kenedy County Wide CSD,Kenedy,B,2.8,123,https://txschools.net/district/kenedy-county-wide-csd-131001
25,1181,3,169908,Montague ISD,Montague,A,2.8,170,https://txschools.net/district/montague-isd-169908
25,1181,3,073904,Westphalia ISD,Falls,A,2.8,148,https://txschools.net/district/westphalia-isd-073904
29,1181,0,109913,Blum ISD,Hill,A,2.9,335,https://txschools.net/district/blum-isd-109913
30,1181,0,110907,Sundown ISD,Hockley,A,3,701,https://txschools.net/district/sundown-isd-110907
31,1181,0,135001,Guthrie CSD,King,A,3.1,99,https://txschools.net/district/guthrie-csd-135001
32,1181,0,015906,Randolph Field ISD,Bexar,A,3.3,1402,https://txschools.net/district/randolph-field-isd-015906
33,1181,1,211901,Texhoma ISD,Sherman,A,3.4,96,https://txschools.net/district/texhoma-isd-211901
33,1181,1,061805,Trivium Academy,Denton,B,3.4,503,https://txschools.net/district/trivium-academy-061805
35,1181,2,162904,McMullen County ISD,McMullen,A,3.5,286,https://txschools.net/district/mcmullen-county-isd-162904
35,1181,2,178808,Seashore Charter Schools,Nueces,B,3.5,422,https://txschools.net/district/seashore-charter-schools-178808
35,1181,2,110908,Whitharral ISD,Hockley,A,3.5,223,https://txschools.net/district/whitharral-isd-110908
38,1181,0,244905,Northside ISD,Wilbarger,B,3.6,246,https://txschools.net/district/northside-isd-244905
39,1181,0,178905,Driscoll ISD,Nueces,B,3.7,1030,https://txschools.net/district/driscoll-isd-178905
40,1181,1,161924,Hallsburg ISD,McLennan,F,3.8,106,https://txschools.net/district/hallsburg-isd-161924
40,1181,1,113903,Lovelady ISD,Houston,B,3.8,526,https://txschools.net/district/lovelady-isd-113903
42,1181,3,180903,Adrian ISD,Oldham,A,3.9,136,https://txschools.net/district/adrian-isd-180903
42,1181,3,092801,East Texas Charter Schools,Gregg,A,3.9,125,https://txschools.net/district/east-texas-charter-schools-092801
42,1181,3,214902,San Isidro ISD,Starr,B,3.9,151,https://txschools.net/district/san-isidro-isd-214902
42,1181,3,143903,Shiner ISD,Lavaca,A,3.9,700,https://txschools.net/district/shiner-isd-143903
46,1181,2,101819,Amigos Por Vida-Friends for Life Pub Chtr Sch,Harris,A,4.1,802,https://txschools.net/district/amigos-por-vida-friends-for-life-pub-chtr-sch-101819
46,1181,2,239903,Burton ISD,Washington,A,4.1,650,https://txschools.net/district/burton-isd-239903
