# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/closing-the-gaps-declines
# rows: 1012 (excluding this header and the column row)
# ranking: Texas school districts with the largest Closing the Gaps declines since 2023-24
# population: 1,012 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 5 have no figure at the start of the window and are not ranked.
# population: 2 have no figure at the end of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2023_24,2025_26,enrollment,url
1,1012,0,143904,Vysehrad ISD,Lavaca,D,-44,90,46,46,https://txschools.net/district/vysehrad-isd-143904
2,1012,0,109908,Malone ISD,Hill,F,-37,67,30,64,https://txschools.net/district/malone-isd-109908
3,1012,0,024901,Brooks County ISD,Brooks,D,-28,78,50,1074,https://txschools.net/district/brooks-county-isd-024901
4,1012,1,196901,Austwell-Tivoli ISD,Refugio,C,-26,91,65,122,https://txschools.net/district/austwell-tivoli-isd-196901
4,1012,1,072910,Morgan Mill ISD,Erath,F,-26,66,40,132,https://txschools.net/district/morgan-mill-isd-072910
6,1012,0,228904,Centerville ISD,Trinity,D,-25,78,53,143,https://txschools.net/district/centerville-isd-228904
7,1012,0,019913,Hubbard ISD,Bowie,F,-24,65,41,54,https://txschools.net/district/hubbard-isd-019913
8,1012,0,028906,Prairie Lea ISD,Caldwell,F,-23,65,42,276,https://txschools.net/district/prairie-lea-isd-028906
9,1012,1,186901,Buena Vista ISD,Pecos,D,-21,72,51,235,https://txschools.net/district/buena-vista-isd-186901
9,1012,1,076904,Rotan ISD,Fisher,C,-21,76,55,265,https://txschools.net/district/rotan-isd-076904
11,1012,0,099902,Chillicothe ISD,Hardeman,B,-20,91,71,172,https://txschools.net/district/chillicothe-isd-099902
12,1012,3,109903,Covington ISD,Hill,C,-18,86,68,351,https://txschools.net/district/covington-isd-109903
12,1012,3,250902,Hawkins ISD,Wood,C,-18,87,69,776,https://txschools.net/district/hawkins-isd-250902
12,1012,3,025905,May ISD,Brown,C,-18,83,65,257,https://txschools.net/district/may-isd-025905
12,1012,3,244905,Northside ISD,Wilbarger,B,-18,96,78,246,https://txschools.net/district/northside-isd-244905
16,1012,2,074903,Bonham ISD,Fannin,C,-17,77,60,1939,https://txschools.net/district/bonham-isd-074903
16,1012,2,193902,Leakey ISD,Real,C,-17,76,59,308,https://txschools.net/district/leakey-isd-193902
16,1012,2,018904,Valley Mills ISD,Bosque,C,-17,83,66,664,https://txschools.net/district/valley-mills-isd-018904
19,1012,1,158905,Palacios ISD,Matagorda,B,-16,87,71,1266,https://txschools.net/district/palacios-isd-158905
19,1012,1,098903,Pringle-Morse CISD,Hansford,C,-16,85,69,126,https://txschools.net/district/pringle-morse-cisd-098903
21,1012,1,083903,Seminole ISD,Gaines,C,-15,80,65,3083,https://txschools.net/district/seminole-isd-083903
21,1012,1,224901,Throckmorton Collegiate ISD,Throckmorton,B,-15,86,71,145,https://txschools.net/district/throckmorton-collegiate-isd-224901
23,1012,2,185901,Bovina ISD,Parmer,D,-14,78,64,370,https://txschools.net/district/bovina-isd-185901
23,1012,2,148902,Follett ISD,Lipscomb,C,-14,76,62,170,https://txschools.net/district/follett-isd-148902
23,1012,2,210904,Tenaha ISD,Shelby,C,-14,92,78,402,https://txschools.net/district/tenaha-isd-210904
26,1012,8,101925,Huffman ISD,Harris,C,-13,76,63,3698,https://txschools.net/district/huffman-isd-101925
26,1012,8,125906,La Gloria ISD,Jim Wells,D,-13,74,61,126,https://txschools.net/district/la-gloria-isd-125906
26,1012,8,201903,Laneville ISD,Rusk,D,-13,86,73,104,https://txschools.net/district/laneville-isd-201903
26,1012,8,113905,Latexo ISD,Houston,C,-13,81,68,551,https://txschools.net/district/latexo-isd-113905
26,1012,8,189901,Marfa ISD,Presidio,D,-13,71,58,339,https://txschools.net/district/marfa-isd-189901
26,1012,8,073903,Marlin ISD,Falls,D,-13,72,59,796,https://txschools.net/district/marlin-isd-073903
26,1012,8,190903,Rains ISD,Rains,C,-13,80,67,1664,https://txschools.net/district/rains-isd-190903
26,1012,8,049909,Sivells Bend ISD,Cooke,B,-13,89,76,56,https://txschools.net/district/sivells-bend-isd-049909
26,1012,8,062905,Westhoff ISD,Dewitt,B,-13,86,73,100,https://txschools.net/district/westhoff-isd-062905
35,1012,9,161923,Bosqueville ISD,McLennan,C,-12,84,72,718,https://txschools.net/district/bosqueville-isd-161923
35,1012,9,166901,Cameron ISD,Milam,D,-12,73,61,1389,https://txschools.net/district/cameron-isd-166901
35,1012,9,212909,Chapel Hill ISD,Smith,C,-12,77,65,3186,https://txschools.net/district/chapel-hill-isd-212909
35,1012,9,147901,Coolidge ISD,Limestone,B,-12,90,78,311,https://txschools.net/district/coolidge-isd-147901
35,1012,9,129904,Kemp ISD,Kaufman,D,-12,74,62,2017,https://txschools.net/district/kemp-isd-129904
35,1012,9,201904,Leveretts Chapel ISD,Rusk,C,-12,79,67,233,https://txschools.net/district/leveretts-chapel-isd-201904
35,1012,9,042903,Santa Anna ISD,Coleman,C,-12,76,64,245,https://txschools.net/district/santa-anna-isd-042903
35,1012,9,242902,Shamrock ISD,Wheeler,C,-12,77,65,350,https://txschools.net/district/shamrock-isd-242902
35,1012,9,234906,Van ISD,Van Zandt,B,-12,88,76,2265,https://txschools.net/district/van-isd-234906
35,1012,9,037909,Wells ISD,Cherokee,B,-12,87,75,235,https://txschools.net/district/wells-isd-037909
45,1012,8,228905,Apple Springs ISD,Trinity,D,-11,75,64,156,https://txschools.net/district/apple-springs-isd-228905
45,1012,8,052901,Crane ISD,Crane,D,-11,79,68,1228,https://txschools.net/district/crane-isd-052901
45,1012,8,175904,Dawson ISD,Navarro,B,-11,87,76,608,https://txschools.net/district/dawson-isd-175904
45,1012,8,047903,Gustine ISD,Comanche,B,-11,83,72,166,https://txschools.net/district/gustine-isd-047903
45,1012,8,201908,Overton ISD,Rusk,C,-11,75,64,534,https://txschools.net/district/overton-isd-201908
45,1012,8,001907,Palestine ISD,Anderson,C,-11,84,73,3144,https://txschools.net/district/palestine-isd-001907
45,1012,8,091914,S and S CISD,Grayson,C,-11,72,61,923,https://txschools.net/district/s-and-s-cisd-091914
45,1012,8,074911,Savoy ISD,Fannin,C,-11,83,72,301,https://txschools.net/district/savoy-isd-074911
45,1012,8,226906,Wall ISD,Tom Green,B,-11,93,82,1306,https://txschools.net/district/wall-isd-226906
54,1012,9,037901,Alto ISD,Cherokee,C,-10,80,70,524,https://txschools.net/district/alto-isd-037901
54,1012,9,036901,Anahuac ISD,Chambers,C,-10,73,63,1533,https://txschools.net/district/anahuac-isd-036901
54,1012,9,043902,Anna ISD,Collin,C,-10,80,70,6686,https://txschools.net/district/anna-isd-043902
54,1012,9,138904,Benjamin ISD,Knox,B,-10,92,82,96,https://txschools.net/district/benjamin-isd-138904
54,1012,9,215901,Breckenridge ISD,Stephens,B,-10,87,77,1288,https://txschools.net/district/breckenridge-isd-215901
