# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/closing-the-gaps-highest
# rows: 1015 (excluding this header and the column row)
# ranking: Texas school districts with the highest Closing the Gaps in 2025-26
# population: 1,015 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 4 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1015,2,156905,Grady ISD,Martin,A,98,242,https://txschools.net/district/grady-isd-156905
1,1015,2,177905,Highland ISD,Nolan,A,98,211,https://txschools.net/district/highland-isd-177905
1,1015,2,110908,Whitharral ISD,Hockley,A,98,223,https://txschools.net/district/whitharral-isd-110908
4,1015,2,177903,Blackwell CISD,Nolan,A,97,171,https://txschools.net/district/blackwell-cisd-177903
4,1015,2,132902,Jayton-Girard ISD,Kent,A,97,187,https://txschools.net/district/jayton-girard-isd-132902
4,1015,2,096905,Turkey-Quitaque ISD,Hall,A,97,175,https://txschools.net/district/turkey-quitaque-isd-096905
7,1015,9,017901,Borden County ISD,Borden,A,96,238,https://txschools.net/district/borden-county-isd-017901
7,1015,9,203902,Broaddus ISD,San Augustine,A,96,380,https://txschools.net/district/broaddus-isd-203902
7,1015,9,006902,Claude ISD,Armstrong,A,96,311,https://txschools.net/district/claude-isd-006902
7,1015,9,174911,Douglass ISD,Nacogdoches,A,96,405,https://txschools.net/district/douglass-isd-174911
7,1015,9,075906,Fayetteville ISD,Fayette,A,96,308,https://txschools.net/district/fayetteville-isd-075906
7,1015,9,015914,Ft Sam Houston ISD,Bexar,A,96,1543,https://txschools.net/district/ft-sam-houston-isd-015914
7,1015,9,087901,Glasscock County ISD,Glasscock,A,96,290,https://txschools.net/district/glasscock-county-isd-087901
7,1015,9,138902,Knox City-O'Brien CISD,Knox,A,96,183,https://txschools.net/district/knox-city-o-brien-cisd-138902
7,1015,9,160904,Rochelle ISD,McCulloch,A,96,166,https://txschools.net/district/rochelle-isd-160904
7,1015,9,031916,South Texas ISD,Cameron,A,96,4741,https://txschools.net/district/south-texas-isd-031916
17,1015,12,217901,Aspermont ISD,Stonewall,A,95,210,https://txschools.net/district/aspermont-isd-217901
17,1015,12,135001,Guthrie CSD,King,A,95,99,https://txschools.net/district/guthrie-csd-135001
17,1015,12,103902,Hartley ISD,Hartley,A,95,242,https://txschools.net/district/hartley-isd-103902
17,1015,12,072908,Huckabay ISD,Erath,A,95,345,https://txschools.net/district/huckabay-isd-072908
17,1015,12,058905,Klondike ISD,Dawson,A,95,269,https://txschools.net/district/klondike-isd-058905
17,1015,12,232901,Knippa ISD,Uvalde,A,95,408,https://txschools.net/district/knippa-isd-232901
17,1015,12,083902,Loop ISD,Gaines,A,95,143,https://txschools.net/district/loop-isd-083902
17,1015,12,162904,McMullen County ISD,McMullen,A,95,286,https://txschools.net/district/mcmullen-county-isd-162904
17,1015,12,104907,Paint Creek ISD,Haskell,A,95,116,https://txschools.net/district/paint-creek-isd-104907
17,1015,12,076903,Roby CISD,Fisher,A,95,313,https://txschools.net/district/roby-cisd-076903
17,1015,12,110905,Ropes ISD,Hockley,A,95,670,https://txschools.net/district/ropes-isd-110905
17,1015,12,216901,Sterling City ISD,Sterling,A,95,312,https://txschools.net/district/sterling-city-isd-216901
17,1015,12,232904,Utopia ISD,Uvalde,A,95,190,https://txschools.net/district/utopia-isd-232904
30,1015,15,036902,Barbers Hill ISD,Chambers,A,94,8069,https://txschools.net/district/barbers-hill-isd-036902
30,1015,15,163902,D'Hanis ISD,Medina,A,94,297,https://txschools.net/district/d-hanis-isd-163902
