# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/college-career-military-ready-highest
# rows: 1072 (excluding this header and the column row)
# ranking: Texas school districts with the highest college, career or military ready in 2025-26
# population: 1,072 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 112 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1072,174,057829,A' Academy,Dallas,C,100,1703,https://txschools.net/district/a-academy-057829
1,1072,174,180903,Adrian ISD,Oldham,A,100,136,https://txschools.net/district/adrian-isd-180903
1,1072,174,057806,Advantage Academy,Dallas,C,100,909,https://txschools.net/district/advantage-academy-057806
1,1072,174,249901,Alvord ISD,Wise,B,100,875,https://txschools.net/district/alvord-isd-249901
1,1072,174,140901,Amherst ISD,Lamb,B,100,102,https://txschools.net/district/amherst-isd-140901
1,1072,174,127901,Anson ISD,Jones,C,100,702,https://txschools.net/district/anson-isd-127901
1,1072,174,109912,Aquilla ISD,Hill,B,100,322,https://txschools.net/district/aquilla-isd-109912
1,1072,174,217901,Aspermont ISD,Stonewall,A,100,210,https://txschools.net/district/aspermont-isd-217901
1,1072,174,070901,Avalon ISD,Ellis,B,100,316,https://txschools.net/district/avalon-isd-070901
1,1072,174,194902,Avery ISD,Red River,A,100,295,https://txschools.net/district/avery-isd-194902
1,1072,174,030903,Baird ISD,Callahan,B,100,345,https://txschools.net/district/baird-isd-030903
1,1072,174,195902,Balmorhea ISD,Reeves,B,100,149,https://txschools.net/district/balmorhea-isd-195902
1,1072,174,015834,Basis Texas,Bexar,A,100,9480,https://txschools.net/district/basis-texas-015834
1,1072,174,039904,Bellevue ISD,Clay,A,100,242,https://txschools.net/district/bellevue-isd-039904
1,1072,174,177903,Blackwell CISD,Nolan,A,100,171,https://txschools.net/district/blackwell-cisd-177903
1,1072,174,116915,Bland ISD,Hunt,B,100,777,https://txschools.net/district/bland-isd-116915
1,1072,174,025904,Blanket ISD,Brown,B,100,151,https://txschools.net/district/blanket-isd-025904
1,1072,174,241901,Boling ISD,Wharton,C,100,1143,https://txschools.net/district/boling-isd-241901
1,1072,174,017901,Borden County ISD,Borden,A,100,238,https://txschools.net/district/borden-county-isd-017901
1,1072,174,203902,Broaddus ISD,San Augustine,A,100,380,https://txschools.net/district/broaddus-isd-203902
