# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/college-career-military-ready-lowest
# rows: 972 (excluding this header and the column row)
# ranking: Texas school districts with the lowest college, career or military ready in 2025-26
# population: 972 districts of 1,020 districts are ranked here.
# population: 1 was not rated by TEA for 2025-26 and is not ranked.
# population: 47 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,972,0,018907,Kopperl ISD,Bosque,D,30,163,https://txschools.net/district/kopperl-isd-018907
2,972,0,189901,Marfa ISD,Presidio,D,31,339,https://txschools.net/district/marfa-isd-189901
3,972,0,238904,Grandfalls-Royalty ISD,Ward,C,38,121,https://txschools.net/district/grandfalls-royalty-isd-238904
4,972,0,116910,Campbell ISD,Hunt,D,45,298,https://txschools.net/district/campbell-isd-116910
5,972,0,206901,San Saba ISD,San Saba,C,47,686,https://txschools.net/district/san-saba-isd-206901
6,972,0,210904,Tenaha ISD,Shelby,C,49,402,https://txschools.net/district/tenaha-isd-210904
7,972,0,212910,Winona ISD,Smith,C,50,1122,https://txschools.net/district/winona-isd-212910
8,972,1,025905,May ISD,Brown,C,53,257,https://txschools.net/district/may-isd-025905
8,972,1,123907,Port Arthur ISD,Jefferson,C,53,7664,https://txschools.net/district/port-arthur-isd-123907
10,972,1,122901,Ft Davis ISD,Jeff Davis,C,54,818,https://txschools.net/district/ft-davis-isd-122901
10,972,1,028903,Luling ISD,Caldwell,C,54,1431,https://txschools.net/district/luling-isd-028903
12,972,3,198905,Hearne ISD,Robertson,D,55,719,https://txschools.net/district/hearne-isd-198905
12,972,3,201903,Laneville ISD,Rusk,D,55,104,https://txschools.net/district/laneville-isd-201903
12,972,3,028906,Prairie Lea ISD,Caldwell,F,55,276,https://txschools.net/district/prairie-lea-isd-028906
12,972,3,227506,University of Texas at Austin HS,Travis,C,55,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
16,972,0,183904,Gary ISD,Panola,D,56,478,https://txschools.net/district/gary-isd-183904
17,972,1,254902,La Pryor ISD,Zavala,D,57,445,https://txschools.net/district/la-pryor-isd-254902
17,972,1,212904,Troup ISD,Smith,C,57,1067,https://txschools.net/district/troup-isd-212904
19,972,2,196901,Austwell-Tivoli ISD,Refugio,C,58,122,https://txschools.net/district/austwell-tivoli-isd-196901
19,972,2,104901,Haskell CISD,Haskell,B,58,545,https://txschools.net/district/haskell-cisd-104901
19,972,2,201904,Leveretts Chapel ISD,Rusk,C,58,233,https://txschools.net/district/leveretts-chapel-isd-201904
22,972,1,220902,Birdville ISD,Tarrant,C,59,22044,https://txschools.net/district/birdville-isd-220902
22,972,1,102902,Marshall ISD,Harrison,D,59,4726,https://txschools.net/district/marshall-isd-102902
24,972,4,024901,Brooks County ISD,Brooks,D,60,1074,https://txschools.net/district/brooks-county-isd-024901
24,972,4,186901,Buena Vista ISD,Pecos,D,60,235,https://txschools.net/district/buena-vista-isd-186901
24,972,4,146901,Cleveland ISD,Liberty,D,60,12648,https://txschools.net/district/cleveland-isd-146901
24,972,4,233903,Comstock ISD,Val Verde,C,60,166,https://txschools.net/district/comstock-isd-233903
24,972,4,107904,Cross Roads ISD,Henderson,B,60,541,https://txschools.net/district/cross-roads-isd-107904
29,972,3,038901,Childress ISD,Childress,B,61,901,https://txschools.net/district/childress-isd-038901
29,972,3,092902,Kilgore ISD,Gregg,C,61,3576,https://txschools.net/district/kilgore-isd-092902
29,972,3,082903,Pearsall ISD,Frio,C,61,1900,https://txschools.net/district/pearsall-isd-082903
29,972,3,126907,Rio Vista ISD,Johnson,C,61,1031,https://txschools.net/district/rio-vista-isd-126907
33,972,6,229901,Colmesneil ISD,Tyler,C,63,388,https://txschools.net/district/colmesneil-isd-229901
33,972,6,228901,Groveton ISD,Trinity,C,63,740,https://txschools.net/district/groveton-isd-228901
33,972,6,059901,Hereford ISD,Deaf Smith,C,63,3836,https://txschools.net/district/hereford-isd-059901
33,972,6,245901,Lasara ISD,Willacy,B,63,330,https://txschools.net/district/lasara-isd-245901
33,972,6,019908,Liberty-Eylau ISD,Bowie,D,63,1784,https://txschools.net/district/liberty-eylau-isd-019908
33,972,6,015915,Northside ISD,Bexar,C,63,98031,https://txschools.net/district/northside-isd-015915
33,972,6,232903,Uvalde CISD,Uvalde,F,63,3815,https://txschools.net/district/uvalde-cisd-232903
40,972,10,228905,Apple Springs ISD,Trinity,D,64,156,https://txschools.net/district/apple-springs-isd-228905
40,972,10,025909,Early ISD,Brown,B,64,1087,https://txschools.net/district/early-isd-025909
40,972,10,148902,Follett ISD,Lipscomb,C,64,170,https://txschools.net/district/follett-isd-148902
40,972,10,152907,Frenship ISD,Lubbock,C,64,12042,https://txschools.net/district/frenship-isd-152907
40,972,10,185903,Friona ISD,Parmer,C,64,979,https://txschools.net/district/friona-isd-185903
40,972,10,049901,Gainesville ISD,Cooke,D,64,3054,https://txschools.net/district/gainesville-isd-049901
40,972,10,033901,Groom ISD,Carson,B,64,112,https://txschools.net/district/groom-isd-033901
40,972,10,049907,Lindsay ISD,Cooke,B,64,504,https://txschools.net/district/lindsay-isd-049907
40,972,10,192901,Reagan County ISD,Reagan,C,64,840,https://txschools.net/district/reagan-county-isd-192901
40,972,10,237905,Royal ISD,Waller,D,64,3086,https://txschools.net/district/royal-isd-237905
40,972,10,123913,Sabine Pass ISD,Jefferson,B,64,373,https://txschools.net/district/sabine-pass-isd-123913
51,972,3,109903,Covington ISD,Hill,C,65,351,https://txschools.net/district/covington-isd-109903
51,972,3,249905,Decatur ISD,Wise,C,65,3801,https://txschools.net/district/decatur-isd-249905
51,972,3,102904,Hallsville ISD,Harrison,C,65,26808,https://txschools.net/district/hallsville-isd-102904
51,972,3,015904,Harlandale ISD,Bexar,C,65,11096,https://txschools.net/district/harlandale-isd-015904
55,972,1,007901,Charlotte ISD,Atascosa,B,66,422,https://txschools.net/district/charlotte-isd-007901
55,972,1,094901,Seguin ISD,Guadalupe,C,66,7160,https://txschools.net/district/seguin-isd-094901
57,972,5,136901,Brackett ISD,Kinney,C,67,490,https://txschools.net/district/brackett-isd-136901
57,972,5,243901,Burkburnett ISD,Wichita,C,67,3142,https://txschools.net/district/burkburnett-isd-243901
57,972,5,128904,Falls City ISD,Karnes,A,67,452,https://txschools.net/district/falls-city-isd-128904
57,972,5,206902,Richland Springs ISD,San Saba,C,67,101,https://txschools.net/district/richland-springs-isd-206902
57,972,5,241904,Wharton ISD,Wharton,F,67,1707,https://txschools.net/district/wharton-isd-241904
57,972,5,091909,Whitesboro ISD,Grayson,C,67,1757,https://txschools.net/district/whitesboro-isd-091909
63,972,8,205901,Aransas Pass ISD,San Patricio,C,68,1595,https://txschools.net/district/aransas-pass-isd-205901
63,972,8,121902,Brookeland ISD,Jasper,B,68,391,https://txschools.net/district/brookeland-isd-121902
63,972,8,139905,Chisum ISD,Lamar,B,68,1167,https://txschools.net/district/chisum-isd-139905
63,972,8,161901,Crawford ISD,McLennan,B,68,585,https://txschools.net/district/crawford-isd-161901
63,972,8,246906,Hutto ISD,Williamson,C,68,11069,https://txschools.net/district/hutto-isd-246906
63,972,8,193902,Leakey ISD,Real,C,68,308,https://txschools.net/district/leakey-isd-193902
63,972,8,069902,Nueces Canyon CISD,Edwards,B,68,198,https://txschools.net/district/nueces-canyon-cisd-069902
