# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/dropout-rate-alternative-education-lowest
# rows: 21 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Dropout Rate — alternative education in 2025-26
# population: 21 districts of 1,199 districts are ranked here.
# population: 9 were not rated by TEA for 2025-26 and are not ranked.
# population: 1,169 are judged under the other accountability standard, on which this measure means something different and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,21,3,213801,Brazos River Charter School,Somervell,C,0,60,https://txschools.net/district/brazos-river-charter-school-213801
1,21,3,184801,Crosstimbers Academy,Parker,A,0,114,https://txschools.net/district/crosstimbers-academy-184801
1,21,3,092801,East Texas Charter Schools,Gregg,A,0,125,https://txschools.net/district/east-texas-charter-schools-092801
1,21,3,015815,Heritage Academy,Bexar,A,0,574,https://txschools.net/district/heritage-academy-015815
5,21,0,108804,Triumph Public High Schools-Rio Grande Valley,Hidalgo,B,0.7,477,https://txschools.net/district/triumph-public-high-schools-rio-grande-valley-108804
6,21,0,101838,Southwest Public Schools,Harris,B,2,1727,https://txschools.net/district/southwest-public-schools-101838
7,21,0,101821,Houston Heights High School,Harris,A,3.8,152,https://txschools.net/district/houston-heights-high-school-101821
8,21,1,072802,Erath Excels Academy Inc,Erath,B,4.3,111,https://txschools.net/district/erath-excels-academy-inc-072802
8,21,1,240801,Triumph Public High Schools Central Texas,Webb,B,4.3,362,https://txschools.net/district/triumph-public-high-schools-central-texas-240801
10,21,0,101868,The Pro-Vision Academy,Harris,B,4.5,239,https://txschools.net/district/the-pro-vision-academy-101868
11,21,0,071803,Triumph Public High Schools-West Texas,El Paso,B,4.8,348,https://txschools.net/district/triumph-public-high-schools-west-texas-071803
12,21,0,071804,El Paso Academy,El Paso,A,5,294,https://txschools.net/district/el-paso-academy-071804
13,21,0,057834,Evolution Academy Charter School,Dallas,A,6.8,639,https://txschools.net/district/evolution-academy-charter-school-057834
14,21,1,015801,Por Vida Academy,Bexar,B,9.6,167,https://txschools.net/district/por-vida-academy-015801
14,21,1,227806,University of Texas University Charter School,Travis,B,9.6,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
16,21,0,072801,Premier High Schools,Erath,B,10.1,8825,https://txschools.net/district/premier-high-schools-072801
17,21,0,057828,Winfree Academy Charter Schools,Dallas,B,10.5,1051,https://txschools.net/district/winfree-academy-charter-schools-057828
18,21,0,152803,Triumph Public High Schools-Lubbock,Lubbock,C,14.9,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
19,21,0,015814,Positive Solutions Charter School,Bexar,B,16.4,91,https://txschools.net/district/positive-solutions-charter-school-015814
20,21,0,014801,Richard Milburn Alter High School (Killeen),Bell,C,23.6,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
21,21,0,057804,Texans Can Academies,Dallas,B,25,2880,https://txschools.net/district/texans-can-academies-057804
