# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/dropout-rate-lowest
# rows: 1064 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Dropout Rate in 2025-26
# population: 1,064 districts of 1,199 districts are ranked here.
# population: 6 were not rated by TEA for 2025-26 and are not ranked.
# population: 30 are judged under the other accountability standard, on which this measure means something different and are not ranked.
# population: 99 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1064,547,057829,A' Academy,Dallas,C,0,1703,https://txschools.net/district/a-academy-057829
1,1064,547,109901,Abbott ISD,Hill,A,0,285,https://txschools.net/district/abbott-isd-109901
1,1064,547,095901,Abernathy ISD,Hale,B,0,775,https://txschools.net/district/abernathy-isd-095901
1,1064,547,180903,Adrian ISD,Oldham,A,0,136,https://txschools.net/district/adrian-isd-180903
1,1064,547,057806,Advantage Academy,Dallas,C,0,909,https://txschools.net/district/advantage-academy-057806
1,1064,547,250906,Alba-Golden ISD,Wood,B,0,772,https://txschools.net/district/alba-golden-isd-250906
1,1064,547,209901,Albany ISD,Shackelford,B,0,449,https://txschools.net/district/albany-isd-209901
1,1064,547,022901,Alpine ISD,Brewster,C,0,956,https://txschools.net/district/alpine-isd-022901
1,1064,547,037901,Alto ISD,Cherokee,C,0,524,https://txschools.net/district/alto-isd-037901
1,1064,547,249901,Alvord ISD,Wise,B,0,875,https://txschools.net/district/alvord-isd-249901
1,1064,547,140901,Amherst ISD,Lamb,B,0,102,https://txschools.net/district/amherst-isd-140901
1,1064,547,036901,Anahuac ISD,Chambers,C,0,1533,https://txschools.net/district/anahuac-isd-036901
1,1064,547,093901,Anderson-Shiro CISD,Grimes,A,0,944,https://txschools.net/district/anderson-shiro-cisd-093901
1,1064,547,020902,Angleton ISD,Brazoria,B,0,7241,https://txschools.net/district/angleton-isd-020902
1,1064,547,110901,Anton ISD,Hockley,C,0,171,https://txschools.net/district/anton-isd-110901
1,1064,547,228905,Apple Springs ISD,Trinity,D,0,156,https://txschools.net/district/apple-springs-isd-228905
1,1064,547,109912,Aquilla ISD,Hill,B,0,322,https://txschools.net/district/aquilla-isd-109912
1,1064,547,005901,Archer City ISD,Archer,A,0,486,https://txschools.net/district/archer-city-isd-005901
1,1064,547,061910,Argyle ISD,Denton,A,0,6551,https://txschools.net/district/argyle-isd-061910
1,1064,547,101803,Aristoi Classical Academy,Harris,B,0,1713,https://txschools.net/district/aristoi-classical-academy-101803
1,1064,547,212901,Arp ISD,Smith,C,0,918,https://txschools.net/district/arp-isd-212901
1,1064,547,217901,Aspermont ISD,Stonewall,A,0,210,https://txschools.net/district/aspermont-isd-217901
1,1064,547,034901,Atlanta ISD,Cass,B,0,1918,https://txschools.net/district/atlanta-isd-034901
1,1064,547,070901,Avalon ISD,Ellis,B,0,316,https://txschools.net/district/avalon-isd-070901
1,1064,547,194902,Avery ISD,Red River,A,0,295,https://txschools.net/district/avery-isd-194902
1,1064,547,034902,Avinger ISD,Cass,B,0,103,https://txschools.net/district/avinger-isd-034902
1,1064,547,220915,Azle ISD,Tarrant,C,0,7166,https://txschools.net/district/azle-isd-220915
1,1064,547,030903,Baird ISD,Callahan,B,0,345,https://txschools.net/district/baird-isd-030903
1,1064,547,200901,Ballinger ISD,Runnels,B,0,781,https://txschools.net/district/ballinger-isd-200901
1,1064,547,195902,Balmorhea ISD,Reeves,B,0,149,https://txschools.net/district/balmorhea-isd-195902
1,1064,547,036902,Barbers Hill ISD,Chambers,A,0,8069,https://txschools.net/district/barbers-hill-isd-036902
1,1064,547,014902,Bartlett ISD,Bell,C,0,399,https://txschools.net/district/bartlett-isd-014902
1,1064,547,015834,Basis Texas,Bexar,A,0,9480,https://txschools.net/district/basis-texas-015834
