# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/four-year-completion-rate-lowest
# rows: 21 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Four-Year Completion Rate — alternative education in 2025-26
# population: 21 districts of 1,199 districts are ranked here.
# population: 9 were not rated by TEA for 2025-26 and are not ranked.
# population: 1,169 are judged under the other accountability standard, on which this measure means something different and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,21,0,057804,Texans Can Academies,Dallas,B,26.8,2880,https://txschools.net/district/texans-can-academies-057804
2,21,0,014801,Richard Milburn Alter High School (Killeen),Bell,C,27.4,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
3,21,0,015814,Positive Solutions Charter School,Bexar,B,27.6,91,https://txschools.net/district/positive-solutions-charter-school-015814
4,21,0,227806,University of Texas University Charter School,Travis,B,28.8,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
5,21,0,057828,Winfree Academy Charter Schools,Dallas,B,48.7,1051,https://txschools.net/district/winfree-academy-charter-schools-057828
6,21,0,152803,Triumph Public High Schools-Lubbock,Lubbock,C,56.9,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
7,21,0,015801,Por Vida Academy,Bexar,B,58.8,167,https://txschools.net/district/por-vida-academy-015801
8,21,0,072801,Premier High Schools,Erath,B,62.8,8825,https://txschools.net/district/premier-high-schools-072801
9,21,0,240801,Triumph Public High Schools Central Texas,Webb,B,62.9,362,https://txschools.net/district/triumph-public-high-schools-central-texas-240801
10,21,0,071803,Triumph Public High Schools-West Texas,El Paso,B,63.7,348,https://txschools.net/district/triumph-public-high-schools-west-texas-071803
11,21,0,057834,Evolution Academy Charter School,Dallas,A,70.7,639,https://txschools.net/district/evolution-academy-charter-school-057834
12,21,0,072802,Erath Excels Academy Inc,Erath,B,75,111,https://txschools.net/district/erath-excels-academy-inc-072802
13,21,0,071804,El Paso Academy,El Paso,A,78,294,https://txschools.net/district/el-paso-academy-071804
14,21,0,108804,Triumph Public High Schools-Rio Grande Valley,Hidalgo,B,78.6,477,https://txschools.net/district/triumph-public-high-schools-rio-grande-valley-108804
15,21,0,101868,The Pro-Vision Academy,Harris,B,84.1,239,https://txschools.net/district/the-pro-vision-academy-101868
16,21,0,213801,Brazos River Charter School,Somervell,C,86.7,60,https://txschools.net/district/brazos-river-charter-school-213801
17,21,0,092801,East Texas Charter Schools,Gregg,A,91.9,125,https://txschools.net/district/east-texas-charter-schools-092801
18,21,0,101838,Southwest Public Schools,Harris,B,92.2,1727,https://txschools.net/district/southwest-public-schools-101838
19,21,0,101821,Houston Heights High School,Harris,A,92.9,152,https://txschools.net/district/houston-heights-high-school-101821
20,21,1,184801,Crosstimbers Academy,Parker,A,100,114,https://txschools.net/district/crosstimbers-academy-184801
20,21,1,015815,Heritage Academy,Bexar,A,100,574,https://txschools.net/district/heritage-academy-015815
