# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/four-year-graduation-rate-lowest
# rows: 1058 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Four-Year Graduation Rate in 2025-26
# population: 1,058 districts of 1,199 districts are ranked here.
# population: 6 were not rated by TEA for 2025-26 and are not ranked.
# population: 30 are judged under the other accountability standard, on which this measure means something different and are not ranked.
# population: 105 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1058,12,101871,A' Unlimited Potential,Harris,B,0,190,https://txschools.net/district/a-unlimited-potential-101871
1,1058,12,066901,Benavides ISD,Duval,D,0,352,https://txschools.net/district/benavides-isd-066901
1,1058,12,123805,Ehrhart School,Jefferson,A,0,593,https://txschools.net/district/ehrhart-school-123805
1,1058,12,071810,El Paso Leadership Academy,El Paso,F,0,665,https://txschools.net/district/el-paso-leadership-academy-071810
1,1058,12,143906,Ezzell ISD,Lavaca,B,0,124,https://txschools.net/district/ezzell-isd-143906
1,1058,12,184911,Garner ISD,Parker,B,0,352,https://txschools.net/district/garner-isd-184911
1,1058,12,225907,Harts Bluff ISD,Titus,C,0,873,https://txschools.net/district/harts-bluff-isd-225907
1,1058,12,158904,Matagorda ISD,Matagorda,C,0,118,https://txschools.net/district/matagorda-isd-158904
1,1058,12,013902,Pawnee ISD,Bee,C,0,252,https://txschools.net/district/pawnee-isd-013902
1,1058,12,098903,Pringle-Morse CISD,Hansford,C,0,126,https://txschools.net/district/pringle-morse-cisd-098903
1,1058,12,101802,Ser-Ninos Charter School,Harris,C,0,1206,https://txschools.net/district/ser-ninos-charter-school-101802
1,1058,12,057813,Trinity Basin Preparatory,Dallas,C,0,6741,https://txschools.net/district/trinity-basin-preparatory-057813
1,1058,12,101873,Yellowstone College Preparatory,Harris,D,0,361,https://txschools.net/district/yellowstone-college-preparatory-101873
14,1058,0,128901,Karnes City ISD,Karnes,B,53,928,https://txschools.net/district/karnes-city-isd-128901
15,1058,0,227506,University of Texas at Austin HS,Travis,C,59.4,1211,https://txschools.net/district/university-of-texas-at-austin-hs-227506
16,1058,0,186902,Fort Stockton ISD,Pecos,C,59.5,11681,https://txschools.net/district/fort-stockton-isd-186902
17,1058,0,128903,Runge ISD,Karnes,C,62.5,172,https://txschools.net/district/runge-isd-128903
18,1058,0,015825,Lighthouse Public Schools,Bexar,C,65.2,481,https://txschools.net/district/lighthouse-public-schools-015825
19,1058,0,015838,Compass Rose Public Schools,Bexar,C,65.5,4032,https://txschools.net/district/compass-rose-public-schools-015838
20,1058,0,102904,Hallsville ISD,Harrison,C,67.4,26808,https://txschools.net/district/hallsville-isd-102904
21,1058,0,152504,Texas Tech University K-12,Lubbock,B,69.9,829,https://txschools.net/district/texas-tech-university-k-12-152504
22,1058,1,025904,Blanket ISD,Brown,B,71.4,151,https://txschools.net/district/blanket-isd-025904
22,1058,1,212910,Winona ISD,Smith,C,71.4,1122,https://txschools.net/district/winona-isd-212910
24,1058,0,015808,Inspire Academies,Bexar,C,73.3,1158,https://txschools.net/district/inspire-academies-015808
25,1058,0,015905,Edgewood ISD,Bexar,D,74.6,7670,https://txschools.net/district/edgewood-isd-015905
26,1058,0,105801,Katherine Anne Porter School,Hays,D,76,76,https://txschools.net/district/katherine-anne-porter-school-105801
27,1058,0,229905,Spurger ISD,Tyler,B,77.3,375,https://txschools.net/district/spurger-isd-229905
28,1058,1,194904,Clarksville ISD,Red River,D,78.6,504,https://txschools.net/district/clarksville-isd-194904
28,1058,1,074905,Ector ISD,Fannin,B,78.6,234,https://txschools.net/district/ector-isd-074905
30,1058,0,103901,Channing ISD,Hartley,B,80,118,https://txschools.net/district/channing-isd-103901
31,1058,0,146901,Cleveland ISD,Liberty,D,82.2,12648,https://txschools.net/district/cleveland-isd-146901
32,1058,0,137901,Kingsville ISD,Kleberg,D,83.9,2341,https://txschools.net/district/kingsville-isd-137901
33,1058,0,067907,Ranger ISD,Eastland,D,84.2,262,https://txschools.net/district/ranger-isd-067907
34,1058,1,101912,Houston ISD,Harris,B,84.3,167793,https://txschools.net/district/houston-isd-101912
