# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/math-approaches-grade-level-highest
# rows: 1184 (excluding this header and the column row)
# ranking: Texas school districts with the highest Math — Approaches in 2025-26
# population: 1,184 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1184,0,092801,East Texas Charter Schools,Gregg,A,100,125,https://txschools.net/district/east-texas-charter-schools-092801
2,1184,2,133902,Hunt ISD,Kerr,A,98,211,https://txschools.net/district/hunt-isd-133902
2,1184,2,035903,Nazareth ISD,Castro,A,98,239,https://txschools.net/district/nazareth-isd-035903
2,1184,2,174801,Stephen F Austin State University Charter School,Nacogdoches,A,98,254,https://txschools.net/district/stephen-f-austin-state-university-charter-school-174801
5,1184,2,163902,D'Hanis ISD,Medina,A,97,297,https://txschools.net/district/d-hanis-isd-163902
5,1184,2,146903,Devers ISD,Liberty,A,97,198,https://txschools.net/district/devers-isd-146903
5,1184,2,128904,Falls City ISD,Karnes,A,97,452,https://txschools.net/district/falls-city-isd-128904
8,1184,2,098901,Gruver ISD,Hansford,A,96,419,https://txschools.net/district/gruver-isd-098901
8,1184,2,057911,Highland Park ISD,Dallas,A,96,6215,https://txschools.net/district/highland-park-isd-057911
8,1184,2,110907,Sundown ISD,Hockley,A,96,701,https://txschools.net/district/sundown-isd-110907
11,1184,4,177903,Blackwell CISD,Nolan,A,95,171,https://txschools.net/district/blackwell-cisd-177903
11,1184,4,220919,Carroll ISD,Tarrant,A,95,7866,https://txschools.net/district/carroll-isd-220919
11,1184,4,071804,El Paso Academy,El Paso,A,95,294,https://txschools.net/district/el-paso-academy-071804
11,1184,4,043919,Lovejoy ISD,Collin,A,95,3841,https://txschools.net/district/lovejoy-isd-043919
11,1184,4,198906,Mumford ISD,Robertson,A,95,600,https://txschools.net/district/mumford-isd-198906
16,1184,6,075901,Flatonia ISD,Fayette,A,94,675,https://txschools.net/district/flatonia-isd-075901
16,1184,6,087901,Glasscock County ISD,Glasscock,A,94,290,https://txschools.net/district/glasscock-county-isd-087901
16,1184,6,043802,Imagine Lone Star International Academy,Collin,A,94,269,https://txschools.net/district/imagine-lone-star-international-academy-043802
16,1184,6,015906,Randolph Field ISD,Bexar,A,94,1402,https://txschools.net/district/randolph-field-isd-015906
16,1184,6,019911,Red Lick ISD,Bowie,A,94,515,https://txschools.net/district/red-lick-isd-019911
16,1184,6,152802,Rise Academy,Lubbock,A,94,287,https://txschools.net/district/rise-academy-152802
16,1184,6,005904,Windthorst ISD,Archer,A,94,491,https://txschools.net/district/windthorst-isd-005904
23,1184,12,101849,Accelerated Intermediate Academy,Harris,A,93,166,https://txschools.net/district/accelerated-intermediate-academy-101849
23,1184,12,227814,Chaparral Star Academy,Travis,A,93,385,https://txschools.net/district/chaparral-star-academy-227814
23,1184,12,227909,Eanes ISD,Travis,A,93,7524,https://txschools.net/district/eanes-isd-227909
23,1184,12,198903,Franklin ISD,Robertson,A,93,1438,https://txschools.net/district/franklin-isd-198903
23,1184,12,156905,Grady ISD,Martin,A,93,242,https://txschools.net/district/grady-isd-156905
23,1184,12,043801,Imagine International Academy of North Texas,Collin,A,93,1438,https://txschools.net/district/imagine-international-academy-of-north-texas-043801
23,1184,12,058905,Klondike ISD,Dawson,A,93,269,https://txschools.net/district/klondike-isd-058905
23,1184,12,162904,McMullen County ISD,McMullen,A,93,286,https://txschools.net/district/mcmullen-county-isd-162904
23,1184,12,182906,Palo Pinto ISD,Palo Pinto,A,93,92,https://txschools.net/district/palo-pinto-isd-182906
23,1184,12,160904,Rochelle ISD,McCulloch,A,93,166,https://txschools.net/district/rochelle-isd-160904
23,1184,12,220810,Westlake Academy Charter School,Tarrant,A,93,908,https://txschools.net/district/westlake-academy-charter-school-220810
23,1184,12,073904,Westphalia ISD,Falls,A,93,148,https://txschools.net/district/westphalia-isd-073904
23,1184,12,110908,Whitharral ISD,Hockley,A,93,223,https://txschools.net/district/whitharral-isd-110908
36,1184,11,036902,Barbers Hill ISD,Chambers,A,92,8069,https://txschools.net/district/barbers-hill-isd-036902
36,1184,11,015834,Basis Texas,Bexar,A,92,9480,https://txschools.net/district/basis-texas-015834
36,1184,11,106901,Canadian ISD,Hemphill,A,92,675,https://txschools.net/district/canadian-isd-106901
36,1184,11,057922,Coppell ISD,Dallas,A,92,13047,https://txschools.net/district/coppell-isd-057922
36,1184,11,161901,Crawford ISD,McLennan,B,92,585,https://txschools.net/district/crawford-isd-161901
36,1184,11,107904,Cross Roads ISD,Henderson,B,92,541,https://txschools.net/district/cross-roads-isd-107904
36,1184,11,084911,Friendswood ISD,Galveston,A,92,6116,https://txschools.net/district/friendswood-isd-084911
36,1184,11,177905,Highland ISD,Nolan,A,92,211,https://txschools.net/district/highland-isd-177905
36,1184,11,072908,Huckabay ISD,Erath,A,92,345,https://txschools.net/district/huckabay-isd-072908
36,1184,11,246801,Meridian World School LLC,Williamson,A,92,1757,https://txschools.net/district/meridian-world-school-llc-246801
36,1184,11,143903,Shiner ISD,Lavaca,A,92,700,https://txschools.net/district/shiner-isd-143903
36,1184,11,158902,Tidehaven ISD,Matagorda,A,92,1038,https://txschools.net/district/tidehaven-isd-158902
48,1184,10,061910,Argyle ISD,Denton,A,91,6551,https://txschools.net/district/argyle-isd-061910
48,1184,10,203902,Broaddus ISD,San Augustine,A,91,380,https://txschools.net/district/broaddus-isd-203902
48,1184,10,221911,Jim Ned CISD,Taylor,A,91,1625,https://txschools.net/district/jim-ned-cisd-221911
48,1184,10,200902,Miles ISD,Runnels,A,91,497,https://txschools.net/district/miles-isd-200902
48,1184,10,049902,Muenster ISD,Cooke,B,91,551,https://txschools.net/district/muenster-isd-049902
48,1184,10,104907,Paint Creek ISD,Haskell,A,91,116,https://txschools.net/district/paint-creek-isd-104907
48,1184,10,075908,Round Top-Carmine ISD,Fayette,B,91,237,https://txschools.net/district/round-top-carmine-isd-075908
48,1184,10,112909,Saltillo ISD,Hopkins,A,91,236,https://txschools.net/district/saltillo-isd-112909
48,1184,10,031916,South Texas ISD,Cameron,A,91,4741,https://txschools.net/district/south-texas-isd-031916
48,1184,10,211901,Texhoma ISD,Sherman,A,91,96,https://txschools.net/district/texhoma-isd-211901
48,1184,10,226906,Wall ISD,Tom Green,B,91,1306,https://txschools.net/district/wall-isd-226906
59,1184,8,184907,Aledo ISD,Parker,A,90,8590,https://txschools.net/district/aledo-isd-184907
59,1184,8,005901,Archer City ISD,Archer,A,90,486,https://txschools.net/district/archer-city-isd-005901
59,1184,8,091901,Bells ISD,Grayson,A,90,1011,https://txschools.net/district/bells-isd-091901
59,1184,8,149901,George West ISD,Live Oak,A,90,1036,https://txschools.net/district/george-west-isd-149901
59,1184,8,132902,Jayton-Girard ISD,Kent,A,90,187,https://txschools.net/district/jayton-girard-isd-132902
59,1184,8,157901,Mason ISD,Mason,A,90,675,https://txschools.net/district/mason-isd-157901
59,1184,8,246912,Thrall ISD,Williamson,A,90,916,https://txschools.net/district/thrall-isd-246912
59,1184,8,101921,Tomball ISD,Harris,A,90,23202,https://txschools.net/district/tomball-isd-101921
59,1184,8,043914,Wylie ISD,Collin,A,90,19400,https://txschools.net/district/wylie-isd-043914
68,1184,12,020904,Danbury ISD,Brazoria,B,89,645,https://txschools.net/district/danbury-isd-020904
68,1184,12,075906,Fayetteville ISD,Fayette,A,89,308,https://txschools.net/district/fayetteville-isd-075906
68,1184,12,043905,Frisco ISD,Collin,A,89,62627,https://txschools.net/district/frisco-isd-043905
68,1184,12,244901,Harrold ISD,Wilbarger,B,89,159,https://txschools.net/district/harrold-isd-244901
68,1184,12,138902,Knox City-O'Brien CISD,Knox,A,89,183,https://txschools.net/district/knox-city-o-brien-cisd-138902
68,1184,12,178906,London ISD,Nueces,A,89,1922,https://txschools.net/district/london-isd-178906
68,1184,12,169908,Montague ISD,Montague,A,89,170,https://txschools.net/district/montague-isd-169908
68,1184,12,079906,Needville ISD,Fort Bend,A,89,3673,https://txschools.net/district/needville-isd-079906
68,1184,12,063906,Patton Springs ISD,Dickens,A,89,22,https://txschools.net/district/patton-springs-isd-063906
68,1184,12,137904,Santa Gertrudis ISD,Kleberg,A,89,813,https://txschools.net/district/santa-gertrudis-isd-137904
68,1184,12,111903,Tolar ISD,Hood,A,89,898,https://txschools.net/district/tolar-isd-111903
68,1184,12,180902,Vega ISD,Oldham,A,89,354,https://txschools.net/district/vega-isd-180902
68,1184,12,059902,Walcott ISD,Deaf Smith,B,89,138,https://txschools.net/district/walcott-isd-059902
81,1184,10,043901,Allen ISD,Collin,A,88,20092,https://txschools.net/district/allen-isd-043901
81,1184,10,084804,Ambassadors Preparatory Academy,Galveston,A,88,140,https://txschools.net/district/ambassadors-preparatory-academy-084804
81,1184,10,017901,Borden County ISD,Borden,A,88,238,https://txschools.net/district/borden-county-isd-017901
81,1184,10,184909,Brock ISD,Parker,A,88,2181,https://txschools.net/district/brock-isd-184909
81,1184,10,226901,Christoval ISD,Tom Green,B,88,628,https://txschools.net/district/christoval-isd-226901
81,1184,10,227913,Lake Travis ISD,Travis,A,88,10748,https://txschools.net/district/lake-travis-isd-227913
81,1184,10,252902,Newcastle ISD,Young,B,88,231,https://txschools.net/district/newcastle-isd-252902
81,1184,10,235904,Nursery ISD,Victoria,B,88,179,https://txschools.net/district/nursery-isd-235904
81,1184,10,043912,Prosper ISD,Collin,A,88,33583,https://txschools.net/district/prosper-isd-043912
81,1184,10,057919,Sunnyvale ISD,Dallas,A,88,2313,https://txschools.net/district/sunnyvale-isd-057919
81,1184,10,221912,Wylie ISD,Taylor,B,88,5617,https://txschools.net/district/wylie-isd-221912
92,1184,21,109901,Abbott ISD,Hill,A,87,285,https://txschools.net/district/abbott-isd-109901
92,1184,21,130901,Boerne ISD,Kendall,A,87,11132,https://txschools.net/district/boerne-isd-130901
