# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/math-masters-grade-level-lowest
# rows: 1184 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Math — Masters in 2025-26
# population: 1,184 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1184,14,110901,Anton ISD,Hockley,C,0,171,https://txschools.net/district/anton-isd-110901
1,1184,14,213801,Brazos River Charter School,Somervell,C,0,60,https://txschools.net/district/brazos-river-charter-school-213801
1,1184,14,015845,Celebrate Dyslexia Schools,Bexar,F,0,100,https://txschools.net/district/celebrate-dyslexia-schools-015845
1,1184,14,184801,Crosstimbers Academy,Parker,A,0,114,https://txschools.net/district/crosstimbers-academy-184801
1,1184,14,072802,Erath Excels Academy Inc,Erath,B,0,111,https://txschools.net/district/erath-excels-academy-inc-072802
1,1184,14,019913,Hubbard ISD,Bowie,F,0,54,https://txschools.net/district/hubbard-isd-019913
1,1184,14,057809,Nova Academy,Dallas,F,0,67,https://txschools.net/district/nova-academy-057809
1,1184,14,114801,Pathway Academy,Howard,F,0,130,https://txschools.net/district/pathway-academy-114801
1,1184,14,015814,Positive Solutions Charter School,Bexar,B,0,91,https://txschools.net/district/positive-solutions-charter-school-015814
1,1184,14,022903,San Vicente ISD,Brewster,B,0,14,https://txschools.net/district/san-vicente-isd-022903
1,1184,14,022004,Terlingua CSD,Brewster,D,0,140,https://txschools.net/district/terlingua-csd-022004
1,1184,14,152803,Triumph Public High Schools-Lubbock,Lubbock,C,0,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
1,1184,14,227806,University of Texas University Charter School,Travis,B,0,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
1,1184,14,101881,Up Excellence Academy,Harris,F,0,116,https://txschools.net/district/up-excellence-academy-101881
1,1184,14,122902,Valentine ISD,Jeff Davis,B,0,28,https://txschools.net/district/valentine-isd-122902
16,1184,5,014902,Bartlett ISD,Bell,C,1,399,https://txschools.net/district/bartlett-isd-014902
16,1184,5,198902,Calvert ISD,Robertson,D,1,143,https://txschools.net/district/calvert-isd-198902
16,1184,5,187906,Leggett ISD,Polk,C,1,204,https://txschools.net/district/leggett-isd-187906
16,1184,5,054902,Lorenzo ISD,Crosby,C,1,175,https://txschools.net/district/lorenzo-isd-054902
16,1184,5,042905,Panther Creek CISD,Coleman,B,1,139,https://txschools.net/district/panther-creek-cisd-042905
16,1184,5,071803,Triumph Public High Schools-West Texas,El Paso,B,1,348,https://txschools.net/district/triumph-public-high-schools-west-texas-071803
22,1184,9,057806,Advantage Academy,Dallas,C,2,909,https://txschools.net/district/advantage-academy-057806
22,1184,9,138904,Benjamin ISD,Knox,B,2,96,https://txschools.net/district/benjamin-isd-138904
22,1184,9,021803,Brazos School for Inquiry & Creativity,Brazos,C,2,310,https://txschools.net/district/brazos-school-for-inquiry-creativity-021803
22,1184,9,095902,Cotton Center ISD,Hale,A,2,97,https://txschools.net/district/cotton-center-isd-095902
22,1184,9,148905,Darrouzett ISD,Lipscomb,D,2,97,https://txschools.net/district/darrouzett-isd-148905
22,1184,9,169910,Forestburg ISD,Montague,B,2,172,https://txschools.net/district/forestburg-isd-169910
22,1184,9,209902,Moran ISD,Shackelford,C,2,86,https://txschools.net/district/moran-isd-209902
22,1184,9,014801,Richard Milburn Alter High School (Killeen),Bell,C,2,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
22,1184,9,101868,The Pro-Vision Academy,Harris,B,2,239,https://txschools.net/district/the-pro-vision-academy-101868
22,1184,9,037909,Wells ISD,Cherokee,B,2,235,https://txschools.net/district/wells-isd-037909
32,1184,22,178807,Corpus Christi Montessori School,Nueces,F,3,132,https://txschools.net/district/corpus-christi-montessori-school-178807
32,1184,22,109903,Covington ISD,Hill,C,3,351,https://txschools.net/district/covington-isd-109903
32,1184,22,054901,Crosbyton CISD,Crosby,C,3,293,https://txschools.net/district/crosbyton-cisd-054901
32,1184,22,015844,Essence Preparatory Charter School,Bexar,F,3,438,https://txschools.net/district/essence-preparatory-charter-school-015844
32,1184,22,070801,Faith Family Academy,Ellis,C,3,2883,https://txschools.net/district/faith-family-academy-070801
32,1184,22,057831,Gateway Charter Academy,Dallas,D,3,430,https://txschools.net/district/gateway-charter-academy-057831
32,1184,22,169906,Gold Burg ISD,Montague,C,3,149,https://txschools.net/district/gold-burg-isd-169906
32,1184,22,238904,Grandfalls-Royalty ISD,Ward,C,3,121,https://txschools.net/district/grandfalls-royalty-isd-238904
32,1184,22,146905,Hull-Daisetta ISD,Liberty,D,3,425,https://txschools.net/district/hull-daisetta-isd-146905
32,1184,22,125906,La Gloria ISD,Jim Wells,D,3,126,https://txschools.net/district/la-gloria-isd-125906
32,1184,22,201903,Laneville ISD,Rusk,D,3,104,https://txschools.net/district/laneville-isd-201903
