# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/math-meets-grade-level-lowest
# rows: 1184 (excluding this header and the column row)
# ranking: Texas school districts with the lowest Math — Meets in 2025-26
# population: 1,184 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,1184,1,213801,Brazos River Charter School,Somervell,C,0,60,https://txschools.net/district/brazos-river-charter-school-213801
1,1184,1,152803,Triumph Public High Schools-Lubbock,Lubbock,C,0,118,https://txschools.net/district/triumph-public-high-schools-lubbock-152803
3,1184,0,015845,Celebrate Dyslexia Schools,Bexar,F,4,100,https://txschools.net/district/celebrate-dyslexia-schools-015845
4,1184,0,014801,Richard Milburn Alter High School (Killeen),Bell,C,5,1525,https://txschools.net/district/richard-milburn-alter-high-school-killeen-014801
5,1184,0,101868,The Pro-Vision Academy,Harris,B,6,239,https://txschools.net/district/the-pro-vision-academy-101868
6,1184,0,227806,University of Texas University Charter School,Travis,B,8,695,https://txschools.net/district/university-of-texas-university-charter-school-227806
7,1184,0,209902,Moran ISD,Shackelford,C,9,86,https://txschools.net/district/moran-isd-209902
8,1184,4,054902,Lorenzo ISD,Crosby,C,10,175,https://txschools.net/district/lorenzo-isd-054902
8,1184,4,114801,Pathway Academy,Howard,F,10,130,https://txschools.net/district/pathway-academy-114801
8,1184,4,028906,Prairie Lea ISD,Caldwell,F,10,276,https://txschools.net/district/prairie-lea-isd-028906
8,1184,4,115902,Sierra Blanca ISD,Hudspeth,C,10,97,https://txschools.net/district/sierra-blanca-isd-115902
8,1184,4,101881,Up Excellence Academy,Harris,F,10,116,https://txschools.net/district/up-excellence-academy-101881
13,1184,7,198902,Calvert ISD,Robertson,D,11,143,https://txschools.net/district/calvert-isd-198902
13,1184,7,169910,Forestburg ISD,Montague,B,11,172,https://txschools.net/district/forestburg-isd-169910
13,1184,7,109908,Malone ISD,Hill,F,11,64,https://txschools.net/district/malone-isd-109908
13,1184,7,177901,Roscoe Collegiate ISD,Nolan,F,11,14905,https://txschools.net/district/roscoe-collegiate-isd-177901
13,1184,7,022004,Terlingua CSD,Brewster,D,11,140,https://txschools.net/district/terlingua-csd-022004
13,1184,7,071803,Triumph Public High Schools-West Texas,El Paso,B,11,348,https://txschools.net/district/triumph-public-high-schools-west-texas-071803
13,1184,7,153907,Wilson ISD,Lynn,C,11,120,https://txschools.net/district/wilson-isd-153907
13,1184,7,057828,Winfree Academy Charter Schools,Dallas,B,11,1051,https://txschools.net/district/winfree-academy-charter-schools-057828
21,1184,2,057806,Advantage Academy,Dallas,C,12,909,https://txschools.net/district/advantage-academy-057806
21,1184,2,140901,Amherst ISD,Lamb,B,12,102,https://txschools.net/district/amherst-isd-140901
21,1184,2,057804,Texans Can Academies,Dallas,B,12,2880,https://txschools.net/district/texans-can-academies-057804
24,1184,2,014902,Bartlett ISD,Bell,C,13,399,https://txschools.net/district/bartlett-isd-014902
24,1184,2,166907,Buckholts ISD,Milam,C,13,107,https://txschools.net/district/buckholts-isd-166907
24,1184,2,186902,Fort Stockton ISD,Pecos,C,13,11681,https://txschools.net/district/fort-stockton-isd-186902
27,1184,3,101874,Legacy School of Sport Sciences,Harris,D,14,550,https://txschools.net/district/legacy-school-of-sport-sciences-101874
27,1184,3,070909,Milford ISD,Ellis,C,14,277,https://txschools.net/district/milford-isd-070909
27,1184,3,042905,Panther Creek CISD,Coleman,B,14,139,https://txschools.net/district/panther-creek-cisd-042905
27,1184,3,015814,Positive Solutions Charter School,Bexar,B,14,91,https://txschools.net/district/positive-solutions-charter-school-015814
31,1184,2,169906,Gold Burg ISD,Montague,C,15,149,https://txschools.net/district/gold-burg-isd-169906
31,1184,2,057802,Pegasus School of Liberal Arts and Sciences,Dallas,D,15,277,https://txschools.net/district/pegasus-school-of-liberal-arts-and-sciences-057802
31,1184,2,015801,Por Vida Academy,Bexar,B,15,167,https://txschools.net/district/por-vida-academy-015801
34,1184,6,058902,Dawson ISD,Dawson,B,16,145,https://txschools.net/district/dawson-isd-058902
34,1184,6,102904,Hallsville ISD,Harrison,C,16,26808,https://txschools.net/district/hallsville-isd-102904
34,1184,6,201903,Laneville ISD,Rusk,D,16,104,https://txschools.net/district/laneville-isd-201903
34,1184,6,187906,Leggett ISD,Polk,C,16,204,https://txschools.net/district/leggett-isd-187906
34,1184,6,072801,Premier High Schools,Erath,B,16,8825,https://txschools.net/district/premier-high-schools-072801
34,1184,6,240801,Triumph Public High Schools Central Texas,Webb,B,16,362,https://txschools.net/district/triumph-public-high-schools-central-texas-240801
34,1184,6,057847,Village Tech Schools,Dallas,B,16,1330,https://txschools.net/district/village-tech-schools-057847
41,1184,4,178807,Corpus Christi Montessori School,Nueces,F,17,132,https://txschools.net/district/corpus-christi-montessori-school-178807
41,1184,4,072802,Erath Excels Academy Inc,Erath,B,17,111,https://txschools.net/district/erath-excels-academy-inc-072802
41,1184,4,015844,Essence Preparatory Charter School,Bexar,F,17,438,https://txschools.net/district/essence-preparatory-charter-school-015844
41,1184,4,057809,Nova Academy,Dallas,F,17,67,https://txschools.net/district/nova-academy-057809
41,1184,4,015807,Southwest Preparatory School,Bexar,C,17,849,https://txschools.net/district/southwest-preparatory-school-015807
46,1184,9,110901,Anton ISD,Hockley,C,18,171,https://txschools.net/district/anton-isd-110901
46,1184,9,101875,Bloom Academy Charter School,Harris,F,18,364,https://txschools.net/district/bloom-academy-charter-school-101875
46,1184,9,054901,Crosbyton CISD,Crosby,C,18,293,https://txschools.net/district/crosbyton-cisd-054901
46,1184,9,057834,Evolution Academy Charter School,Dallas,A,18,639,https://txschools.net/district/evolution-academy-charter-school-057834
46,1184,9,060914,Fannindel ISD,Delta,D,18,152,https://txschools.net/district/fannindel-isd-060914
46,1184,9,015802,George Gervin Academy,Bexar,B,18,744,https://txschools.net/district/george-gervin-academy-015802
46,1184,9,101821,Houston Heights High School,Harris,A,18,152,https://txschools.net/district/houston-heights-high-school-101821
46,1184,9,137901,Kingsville ISD,Kleberg,D,18,2341,https://txschools.net/district/kingsville-isd-137901
46,1184,9,018902,Meridian ISD,Bosque,C,18,354,https://txschools.net/district/meridian-isd-018902
46,1184,9,066005,Ramirez CSD,Duval,D,18,24,https://txschools.net/district/ramirez-csd-066005
56,1184,5,186901,Buena Vista ISD,Pecos,D,19,235,https://txschools.net/district/buena-vista-isd-186901
56,1184,5,070801,Faith Family Academy,Ellis,C,19,2883,https://txschools.net/district/faith-family-academy-070801
56,1184,5,228903,Trinity ISD,Trinity,D,19,1150,https://txschools.net/district/trinity-isd-228903
56,1184,5,232903,Uvalde CISD,Uvalde,F,19,3815,https://txschools.net/district/uvalde-cisd-232903
56,1184,5,049908,Walnut Bend ISD,Cooke,C,19,59,https://txschools.net/district/walnut-bend-isd-049908
56,1184,5,196902,Woodsboro ISD,Refugio,C,19,383,https://txschools.net/district/woodsboro-isd-196902
62,1184,12,055901,Culberson County-Allamoore ISD,Culberson,B,20,377,https://txschools.net/district/culberson-county-allamoore-isd-055901
62,1184,12,057831,Gateway Charter Academy,Dallas,D,20,430,https://txschools.net/district/gateway-charter-academy-057831
62,1184,12,101804,George I Sanchez Charter,Harris,C,20,941,https://txschools.net/district/george-i-sanchez-charter-101804
62,1184,12,161924,Hallsburg ISD,McLennan,F,20,106,https://txschools.net/district/hallsburg-isd-161924
62,1184,12,105801,Katherine Anne Porter School,Hays,D,20,76,https://txschools.net/district/katherine-anne-porter-school-105801
62,1184,12,125906,La Gloria ISD,Jim Wells,D,20,126,https://txschools.net/district/la-gloria-isd-125906
62,1184,12,167902,Mullin ISD,Mills,C,20,176,https://txschools.net/district/mullin-isd-167902
62,1184,12,048903,Paint Rock ISD,Concho,B,20,330,https://txschools.net/district/paint-rock-isd-048903
62,1184,12,015842,Royal Public Schools,Bexar,F,20,394,https://txschools.net/district/royal-public-schools-015842
62,1184,12,249908,Slidell ISD,Wise,B,20,515,https://txschools.net/district/slidell-isd-249908
62,1184,12,221905,Trent ISD,Taylor,B,20,118,https://txschools.net/district/trent-isd-221905
62,1184,12,037909,Wells ISD,Cherokee,B,20,235,https://txschools.net/district/wells-isd-037909
62,1184,12,241904,Wharton ISD,Wharton,F,20,1707,https://txschools.net/district/wharton-isd-241904
75,1184,6,152806,Betty M Condra School for Education Innovation,Lubbock,D,21,168,https://txschools.net/district/betty-m-condra-school-for-education-innovation-152806
75,1184,6,108810,Brillante Academy,Hidalgo,F,21,426,https://txschools.net/district/brillante-academy-108810
75,1184,6,109903,Covington ISD,Hill,C,21,351,https://txschools.net/district/covington-isd-109903
75,1184,6,057830,Inspired Vision Academy,Dallas,C,21,1103,https://txschools.net/district/inspired-vision-academy-057830
75,1184,6,214902,San Isidro ISD,Starr,B,21,151,https://txschools.net/district/san-isidro-isd-214902
75,1184,6,108804,Triumph Public High Schools-Rio Grande Valley,Hidalgo,B,21,477,https://txschools.net/district/triumph-public-high-schools-rio-grande-valley-108804
75,1184,6,001908,Westwood ISD,Anderson,D,21,1300,https://txschools.net/district/westwood-isd-001908
82,1184,9,146901,Cleveland ISD,Liberty,D,22,12648,https://txschools.net/district/cleveland-isd-146901
82,1184,9,161921,Connally ISD,McLennan,D,22,2031,https://txschools.net/district/connally-isd-161921
82,1184,9,067904,Gorman ISD,Eastland,C,22,210,https://txschools.net/district/gorman-isd-067904
82,1184,9,084908,Hitchcock ISD,Galveston,D,22,1937,https://txschools.net/district/hitchcock-isd-084908
82,1184,9,146905,Hull-Daisetta ISD,Liberty,D,22,425,https://txschools.net/district/hull-daisetta-isd-146905
82,1184,9,084802,Odyssey Academy Inc,Galveston,C,22,1778,https://txschools.net/district/odyssey-academy-inc-084802
82,1184,9,042903,Santa Anna ISD,Coleman,C,22,245,https://txschools.net/district/santa-anna-isd-042903
82,1184,9,101840,Two Dimensions Preparatory Academy,Harris,D,22,342,https://txschools.net/district/two-dimensions-preparatory-academy-101840
82,1184,9,161914,Waco ISD,McLennan,D,22,12892,https://txschools.net/district/waco-isd-161914
82,1184,9,018905,Walnut Springs ISD,Bosque,C,22,152,https://txschools.net/district/walnut-springs-isd-018905
92,1184,18,228905,Apple Springs ISD,Trinity,D,23,156,https://txschools.net/district/apple-springs-isd-228905
92,1184,18,194904,Clarksville ISD,Red River,D,23,504,https://txschools.net/district/clarksville-isd-194904
92,1184,18,116903,Commerce ISD,Hunt,D,23,1526,https://txschools.net/district/commerce-isd-116903
92,1184,18,113901,Crockett ISD,Houston,D,23,1098,https://txschools.net/district/crockett-isd-113901
92,1184,18,011902,Elgin ISD,Bastrop,D,23,6221,https://txschools.net/district/elgin-isd-011902
92,1184,18,246905,Granger ISD,Williamson,C,23,573,https://txschools.net/district/granger-isd-246905
92,1184,18,109907,Itasca ISD,Hill,C,23,652,https://txschools.net/district/itasca-isd-109907
92,1184,18,248901,Kermit ISD,Winkler,D,23,1255,https://txschools.net/district/kermit-isd-248901
92,1184,18,077902,Lockney ISD,Floyd,D,23,387,https://txschools.net/district/lockney-isd-077902
92,1184,18,227907,Manor ISD,Travis,D,23,9826,https://txschools.net/district/manor-isd-227907
92,1184,18,073903,Marlin ISD,Falls,D,23,796,https://txschools.net/district/marlin-isd-073903
92,1184,18,018903,Morgan ISD,Bosque,C,23,138,https://txschools.net/district/morgan-isd-018903
92,1184,18,201908,Overton ISD,Rusk,C,23,534,https://txschools.net/district/overton-isd-201908
92,1184,18,051901,Paducah ISD,Cottle,B,23,137,https://txschools.net/district/paducah-isd-051901
92,1184,18,054903,Ralls ISD,Crosby,C,23,318,https://txschools.net/district/ralls-isd-054903
92,1184,18,067907,Ranger ISD,Eastland,D,23,262,https://txschools.net/district/ranger-isd-067907
92,1184,18,178909,Robstown ISD,Nueces,D,23,2478,https://txschools.net/district/robstown-isd-178909
92,1184,18,107907,Trinidad ISD,Henderson,B,23,175,https://txschools.net/district/trinidad-isd-107907
92,1184,18,227831,Unparalleled Preparatory Academy,Travis,C,23,33,https://txschools.net/district/unparalleled-preparatory-academy-227831
111,1184,14,066901,Benavides ISD,Duval,D,24,352,https://txschools.net/district/benavides-isd-066901
111,1184,14,025908,Brookesmith ISD,Brown,C,24,508,https://txschools.net/district/brookesmith-isd-025908
111,1184,14,101842,Comquest Academy,Harris,B,24,35,https://txschools.net/district/comquest-academy-101842
111,1184,14,148905,Darrouzett ISD,Lipscomb,D,24,97,https://txschools.net/district/darrouzett-isd-148905
111,1184,14,071810,El Paso Leadership Academy,El Paso,F,24,665,https://txschools.net/district/el-paso-leadership-academy-071810
111,1184,14,101877,Elevate Collegiate Charter School,Harris,C,24,224,https://txschools.net/district/elevate-collegiate-charter-school-101877
111,1184,14,198905,Hearne ISD,Robertson,D,24,719,https://txschools.net/district/hearne-isd-198905
111,1184,14,015808,Inspire Academies,Bexar,C,24,1158,https://txschools.net/district/inspire-academies-015808
111,1184,14,168902,Loraine ISD,Mitchell,C,24,133,https://txschools.net/district/loraine-isd-168902
111,1184,14,244905,Northside ISD,Wilbarger,B,24,246,https://txschools.net/district/northside-isd-244905
111,1184,14,190903,Rains ISD,Rains,C,24,1664,https://txschools.net/district/rains-isd-190903
111,1184,14,015830,Somerset Academies of Texas,Bexar,B,24,2682,https://txschools.net/district/somerset-academies-of-texas-015830
111,1184,14,226801,Texas Leadership Public Schools,Tom Green,B,24,4070,https://txschools.net/district/texas-leadership-public-schools-226801
111,1184,14,202905,West Sabine ISD,Sabine,C,24,659,https://txschools.net/district/west-sabine-isd-202905
111,1184,14,212910,Winona ISD,Smith,C,24,1122,https://txschools.net/district/winona-isd-212910
126,1184,14,123910,Beaumont ISD,Jefferson,D,25,15838,https://txschools.net/district/beaumont-isd-123910
126,1184,14,108809,Excellence In Leadership Academy,Hidalgo,D,25,168,https://txschools.net/district/excellence-in-leadership-academy-108809
126,1184,14,146904,Hardin ISD,Liberty,C,25,1175,https://txschools.net/district/hardin-isd-146904
126,1184,14,134901,Junction ISD,Kimble,C,25,552,https://txschools.net/district/junction-isd-134901
126,1184,14,161906,La Vega ISD,McLennan,C,25,3079,https://txschools.net/district/la-vega-isd-161906
126,1184,14,058906,Lamesa ISD,Dawson,C,25,1373,https://txschools.net/district/lamesa-isd-058906
126,1184,14,201904,Leveretts Chapel ISD,Rusk,C,25,233,https://txschools.net/district/leveretts-chapel-isd-201904
126,1184,14,019908,Liberty-Eylau ISD,Bowie,D,25,1784,https://txschools.net/district/liberty-eylau-isd-019908
126,1184,14,040901,Morton ISD,Cochran,B,25,350,https://txschools.net/district/morton-isd-040901
126,1184,14,163903,Natalia ISD,Medina,C,25,1301,https://txschools.net/district/natalia-isd-163903
126,1184,14,007906,Poteet ISD,Atascosa,D,25,1867,https://txschools.net/district/poteet-isd-007906
126,1184,14,031911,Rio Hondo ISD,Cameron,C,25,1312,https://txschools.net/district/rio-hondo-isd-031911
126,1184,14,128903,Runge ISD,Karnes,C,25,172,https://txschools.net/district/runge-isd-128903
126,1184,14,220801,Treetops School International,Tarrant,C,25,186,https://txschools.net/district/treetops-school-international-220801
126,1184,14,101873,Yellowstone College Preparatory,Harris,D,25,361,https://txschools.net/district/yellowstone-college-preparatory-101873
141,1184,20,127901,Anson ISD,Jones,C,26,702,https://txschools.net/district/anson-isd-127901
141,1184,20,227825,Austin Achieve Public Schools,Travis,C,26,2852,https://txschools.net/district/austin-achieve-public-schools-227825
141,1184,20,070901,Avalon ISD,Ellis,B,26,316,https://txschools.net/district/avalon-isd-070901
141,1184,20,099902,Chillicothe ISD,Hardeman,B,26,172,https://txschools.net/district/chillicothe-isd-099902
141,1184,20,184801,Crosstimbers Academy,Parker,A,26,114,https://txschools.net/district/crosstimbers-academy-184801
141,1184,20,227910,Del Valle ISD,Travis,D,26,11766,https://txschools.net/district/del-valle-isd-227910
141,1184,20,144903,Dime Box ISD,Lee,B,26,169,https://txschools.net/district/dime-box-isd-144903
141,1184,20,178801,Dr M L Garza-Gonzalez Charter School,Nueces,B,26,154,https://txschools.net/district/dr-m-l-garza-gonzalez-charter-school-178801
141,1184,20,015905,Edgewood ISD,Bexar,D,26,7670,https://txschools.net/district/edgewood-isd-015905
141,1184,20,220904,Everman ISD,Tarrant,C,26,4704,https://txschools.net/district/everman-isd-220904
141,1184,20,116905,Greenville ISD,Hunt,C,26,5435,https://txschools.net/district/greenville-isd-116905
141,1184,20,236902,Huntsville ISD,Walker,C,26,11504,https://txschools.net/district/huntsville-isd-236902
141,1184,20,050909,Jonesboro ISD,Coryell,C,26,317,https://txschools.net/district/jonesboro-isd-050909
141,1184,20,220910,Lake Worth ISD,Tarrant,D,26,3165,https://txschools.net/district/lake-worth-isd-220910
141,1184,20,189901,Marfa ISD,Presidio,D,26,339,https://txschools.net/district/marfa-isd-189901
141,1184,20,072910,Morgan Mill ISD,Erath,F,26,132,https://txschools.net/district/morgan-mill-isd-072910
141,1184,20,015839,Promesa Academy Charter School,Bexar,D,26,275,https://txschools.net/district/promesa-academy-charter-school-015839
141,1184,20,227805,Texas Empowerment Academy,Travis,F,26,760,https://txschools.net/district/texas-empowerment-academy-227805
141,1184,20,101814,The Varnett Public School,Harris,D,26,1084,https://txschools.net/district/the-varnett-public-school-101814
141,1184,20,219903,Tulia ISD,Swisher,C,26,730,https://txschools.net/district/tulia-isd-219903
